gen >0, new best = 604.700
gen >0, new best = 596.100
gen >0, new best = 595.400
gen >0, new best = 583.800
gen: 0 best: 583.8 mean: 668.9034825870647
gen: 1 best: 583.8 mean: 667.5273631840796
gen: 2 best: 583.8 mean: 668.2885572139304
gen: 3 best: 583.8 mean: 669.3388059701492
gen: 4 best: 583.8 mean: 666.7597014925373
gen: 5 best: 583.8 mean: 666.9880597014925
gen: 6 best: 583.8 mean: 667.4960199004975
gen: 7 best: 583.8 mean: 664.8820895522388
gen: 8 best: 583.8 mean: 662.8945273631841
gen: 9 best: 583.8 mean: 665.9109452736318
gen: 10 best: 583.8 mean: 663.8492537313433
gen: 11 best: 583.8 mean: 664.2407960199005
gen: 12 best: 583.8 mean: 664.6139303482587
gen: 13 best: 583.8 mean: 661.592039800995
gen >14, new best = 534.300
gen: 14 best: 534.3 mean: 662.3049751243781
gen: 15 best: 534.3 mean: 661.2716417910448
gen: 16 best: 534.3 mean: 661.9915422885572
gen: 17 best: 534.3 mean: 659.9781094527364
gen: 18 best: 534.3 mean: 659.276119402985
gen: 19 best: 534.3 mean: 658.8398009950249
gen: 20 best: 534.3 mean: 660.1373134328359
gen: 21 best: 534.3 mean: 660.6606965174129
gen: 22 best: 534.3 mean: 658.7149253731343
gen: 23 best: 534.3 mean: 659.110447761194
gen: 24 best: 534.3 mean: 656.9084577114428
gen: 25 best: 534.3 mean: 657.1920398009951
gen: 26 best: 534.3 mean: 656.2731343283582
gen: 27 best: 534.3 mean: 654.4611940298507
gen: 28 best: 534.3 mean: 655.2756218905473
gen: 29 best: 534.3 mean: 652.4039800995025
gen: 30 best: 534.3 mean: 654.3373134328358
gen: 31 best: 534.3 mean: 654.0701492537313
gen: 32 best: 534.3 mean: 652.6248756218905
gen: 33 best: 534.3 mean: 651.7398009950249
gen: 34 best: 534.3 mean: 651.5646766169154
gen: 35 best: 534.3 mean: 651.4626865671642
gen: 36 best: 534.3 mean: 648.7855721393034
gen: 37 best: 534.3 mean: 651.5726368159204
gen: 38 best: 534.3 mean: 649.0592039800995
gen: 39 best: 534.3 mean: 646.8159203980099
gen: 40 best: 534.3 mean: 648.018407960199
gen: 41 best: 534.3 mean: 647.1208955223881
gen: 42 best: 534.3 mean: 647.534328358209
gen: 43 best: 534.3 mean: 646.9328358208955
gen: 44 best: 534.3 mean: 648.1139303482587
gen: 45 best: 534.3 mean: 646.7452736318407
gen: 46 best: 534.3 mean: 647.0830845771144
gen: 47 best: 534.3 mean: 646.3134328358209
gen: 48 best: 534.3 mean: 645.826368159204
gen: 49 best: 534.3 mean: 645.5820895522388
gen: 50 best: 534.3 mean: 644.8009950248756
gen: 51 best: 534.3 mean: 645.3636815920398
gen: 52 best: 534.3 mean: 644.5044776119403
gen: 53 best: 534.3 mean: 644.3557213930349
gen: 54 best: 534.3 mean: 642.7039800995025
gen: 55 best: 534.3 mean: 642.0895522388059
gen: 56 best: 534.3 mean: 642.0995024875622
gen: 57 best: 534.3 mean: 641.8915422885572
gen: 58 best: 534.3 mean: 642.1378109452736
gen: 59 best: 534.3 mean: 641.6850746268657
gen: 60 best: 534.3 mean: 641.397512437811
gen: 61 best: 534.3 mean: 641.1437810945274
gen: 62 best: 534.3 mean: 640.7532338308457
gen: 63 best: 534.3 mean: 640.3850746268656
gen: 64 best: 534.3 mean: 639.0014925373134
gen: 65 best: 534.3 mean: 639.5104477611941
gen: 66 best: 534.3 mean: 636.6432835820896
gen: 67 best: 534.3 mean: 637.9512437810945
gen: 68 best: 534.3 mean: 637.8139303482587
gen: 69 best: 534.3 mean: 639.2726368159204
gen: 70 best: 534.3 mean: 638.5527363184079
gen: 71 best: 534.3 mean: 638.7348258706468
gen: 72 best: 534.3 mean: 636.3855721393035
gen: 73 best: 534.3 mean: 636.0487562189055
gen: 74 best: 534.3 mean: 637.1039800995025
gen: 75 best: 534.3 mean: 635.2935323383084
gen: 76 best: 534.3 mean: 637.1223880597015
gen: 77 best: 534.3 mean: 636.9432835820895
gen: 78 best: 534.3 mean: 637.4084577114428
gen: 79 best: 534.3 mean: 635.2034825870646
gen: 80 best: 534.3 mean: 636.7686567164179
gen: 81 best: 534.3 mean: 637.4059701492537
gen: 82 best: 534.3 mean: 635.3169154228856
gen: 83 best: 534.3 mean: 636.0427860696517
gen: 84 best: 534.3 mean: 634.4980099502487
gen: 85 best: 534.3 mean: 636.371144278607
gen: 86 best: 534.3 mean: 635.7666666666667
gen: 87 best: 534.3 mean: 634.3417910447761
gen: 88 best: 534.3 mean: 636.0497512437811
gen: 89 best: 534.3 mean: 633.4039800995025
gen: 90 best: 534.3 mean: 634.6019900497513
gen: 91 best: 534.3 mean: 633.7532338308457
gen: 92 best: 534.3 mean: 632.6597014925374
gen: 93 best: 534.3 mean: 632.5223880597015
gen: 94 best: 534.3 mean: 631.9726368159204
gen: 95 best: 534.3 mean: 632.1621890547264
gen: 96 best: 534.3 mean: 633.9512437810945
gen: 97 best: 534.3 mean: 629.963184079602
gen: 98 best: 534.3 mean: 633.5353233830846
gen: 99 best: 534.3 mean: 632.8761194029851
