gen >0, new best = 639.600
gen >0, new best = 639.100
gen >0, new best = 567.800
gen: 0 best: 567.8 mean: 650.1126865671641
gen: 1 best: 567.8 mean: 649.3731343283582
gen: 2 best: 567.8 mean: 645.0621890547263
gen >3, new best = 554.000
gen: 3 best: 554.0 mean: 645.2169154228856
gen: 4 best: 554.0 mean: 641.6597014925374
gen: 5 best: 554.0 mean: 640.9592039800995
gen: 6 best: 554.0 mean: 639.3960199004975
gen: 7 best: 554.0 mean: 636.0303482587065
gen: 8 best: 554.0 mean: 633.8109452736319
gen: 9 best: 554.0 mean: 632.426368159204
gen: 10 best: 554.0 mean: 631.5333333333333
gen: 11 best: 554.0 mean: 628.7338308457712
gen >12, new best = 552.400
gen: 12 best: 552.4 mean: 627.6651741293532
gen: 13 best: 552.4 mean: 628.868656716418
gen: 14 best: 552.4 mean: 624.8601990049751
gen: 15 best: 552.4 mean: 625.631343283582
gen: 16 best: 552.4 mean: 624.8935323383084
gen: 17 best: 552.4 mean: 623.5074626865671
gen: 18 best: 552.4 mean: 620.8024875621891
gen: 19 best: 552.4 mean: 621.9557213930349
gen: 20 best: 552.4 mean: 621.710447761194
gen: 21 best: 552.4 mean: 620.9597014925373
gen >22, new best = 501.800
gen: 22 best: 501.8 mean: 619.5303482587065
gen: 23 best: 501.8 mean: 620.179104477612
gen: 24 best: 501.8 mean: 618.6626865671642
gen: 25 best: 501.8 mean: 617.7149253731343
gen: 26 best: 501.8 mean: 618.1164179104478
gen: 27 best: 501.8 mean: 616.618407960199
gen: 28 best: 501.8 mean: 616.6636815920398
gen: 29 best: 501.8 mean: 614.5348258706467
gen: 30 best: 501.8 mean: 615.707960199005
gen: 31 best: 501.8 mean: 615.1616915422885
gen: 32 best: 501.8 mean: 614.9213930348259
gen: 33 best: 501.8 mean: 611.8810945273632
gen: 34 best: 501.8 mean: 611.9059701492538
gen: 35 best: 501.8 mean: 609.7741293532338
gen: 36 best: 501.8 mean: 610.926368159204
gen: 37 best: 501.8 mean: 607.8701492537314
gen: 38 best: 501.8 mean: 607.920895522388
gen: 39 best: 501.8 mean: 608.4641791044776
gen: 40 best: 501.8 mean: 607.2890547263681
gen: 41 best: 501.8 mean: 606.5577114427861
gen: 42 best: 501.8 mean: 607.3
gen: 43 best: 501.8 mean: 603.9810945273632
gen: 44 best: 501.8 mean: 603.7074626865672
gen: 45 best: 501.8 mean: 604.1522388059701
gen: 46 best: 501.8 mean: 604.8925373134329
gen: 47 best: 501.8 mean: 602.8781094527363
gen: 48 best: 501.8 mean: 603.289552238806
gen: 49 best: 501.8 mean: 599.7880597014926
gen: 50 best: 501.8 mean: 601.5014925373134
gen: 51 best: 501.8 mean: 599.1875621890547
gen: 52 best: 501.8 mean: 598.405472636816
gen: 53 best: 501.8 mean: 600.9621890547264
gen: 54 best: 501.8 mean: 601.0203980099502
gen: 55 best: 501.8 mean: 600.4845771144279
gen: 56 best: 501.8 mean: 600.6233830845771
gen: 57 best: 501.8 mean: 600.6611940298508
gen: 58 best: 501.8 mean: 601.5467661691542
gen: 59 best: 501.8 mean: 602.1134328358208
gen: 60 best: 501.8 mean: 597.4039800995025
gen: 61 best: 501.8 mean: 598.8383084577115
gen: 62 best: 501.8 mean: 599.8457711442786
gen: 63 best: 501.8 mean: 597.2059701492537
gen: 64 best: 501.8 mean: 596.710447761194
gen: 65 best: 501.8 mean: 593.7810945273632
gen: 66 best: 501.8 mean: 599.2542288557214
gen: 67 best: 501.8 mean: 597.0557213930348
gen: 68 best: 501.8 mean: 597.8532338308457
gen: 69 best: 501.8 mean: 595.7751243781095
gen: 70 best: 501.8 mean: 598.8562189054726
gen: 71 best: 501.8 mean: 598.0875621890548
gen: 72 best: 501.8 mean: 598.9084577114428
gen: 73 best: 501.8 mean: 595.2582089552238
gen: 74 best: 501.8 mean: 598.2343283582089
gen: 75 best: 501.8 mean: 597.3487562189055
gen: 76 best: 501.8 mean: 598.2328358208955
gen: 77 best: 501.8 mean: 597.110447761194
gen: 78 best: 501.8 mean: 598.9885572139303
gen: 79 best: 501.8 mean: 596.0641791044776
gen: 80 best: 501.8 mean: 596.2686567164179
gen: 81 best: 501.8 mean: 596.0572139303482
gen: 82 best: 501.8 mean: 595.1258706467662
gen >83, new best = 488.100
gen: 83 best: 488.1 mean: 596.8532338308457
gen: 84 best: 488.1 mean: 596.8502487562189
gen: 85 best: 488.1 mean: 595.2691542288558
gen: 86 best: 488.1 mean: 597.8258706467661
gen: 87 best: 488.1 mean: 596.1691542288557
gen: 88 best: 488.1 mean: 594.1731343283582
gen: 89 best: 488.1 mean: 595.1363184079602
gen: 90 best: 488.1 mean: 593.5393034825871
gen: 91 best: 488.1 mean: 595.3194029850746
gen: 92 best: 488.1 mean: 593.918407960199
gen: 93 best: 488.1 mean: 596.5502487562189
gen: 94 best: 488.1 mean: 596.0766169154228
gen: 95 best: 488.1 mean: 593.7179104477611
gen: 96 best: 488.1 mean: 594.3363184079602
gen: 97 best: 488.1 mean: 594.7741293532338
gen: 98 best: 488.1 mean: 591.9462686567164
gen: 99 best: 488.1 mean: 592.6417910447761
