Generation,mean,best
0,649.7694029850746,590.8
1,649.8825870646766,590.8
2,648.0517412935324,577.9
3,647.1497512437811,577.9
4,646.1149253731344,577.9
5,643.3164179104477,577.9
6,643.4074626865672,577.9
7,641.8462686567165,574.9
8,641.4373134328358,574.9
9,641.9885572139303,574.9
10,641.4860696517413,565.0
11,639.5786069651741,565.0
12,637.2537313432836,565.0
13,636.8885572139303,559.5
14,638.5621890547263,559.5
15,637.9338308457711,559.5
16,638.0666666666667,559.5
17,636.5044776119403,559.5
18,635.8482587064676,559.5
19,634.8850746268657,559.5
20,632.8388059701492,559.5
21,634.610447761194,559.5
22,632.7562189054727,559.5
23,630.5895522388059,559.5
24,630.6482587064677,552.2
25,629.9139303482588,552.2
26,629.6487562189054,552.2
27,629.9562189054726,552.2
28,628.9611940298507,548.1
29,627.7557213930348,548.1
30,627.1781094527363,548.1
31,625.5567164179105,548.1
32,625.4681592039801,548.1
33,623.6298507462686,548.1
34,622.8492537313433,548.1
35,621.1716417910447,548.1
36,621.2487562189054,542.4
37,619.5940298507463,542.4
38,618.3930348258707,542.4
39,618.6945273631841,542.4
40,618.0039800995025,542.4
41,618.5134328358209,542.4
42,616.2208955223881,542.4
43,615.344776119403,542.4
44,614.0865671641791,542.4
45,614.3726368159204,536.7
46,613.5965174129353,536.7
47,613.0577114427861,536.7
48,612.1427860696517,536.7
49,612.0890547263682,536.7
50,610.9383084577114,536.7
51,609.687064676617,536.7
52,610.6985074626866,536.7
53,608.9820895522388,536.7
54,609.5965174129353,536.7
55,610.6940298507462,536.7
56,609.3636815920398,536.7
57,608.6213930348259,536.7
58,607.2293532338308,536.7
59,607.0437810945274,536.7
60,606.3791044776119,536.7
61,606.8776119402985,536.4
62,605.9990049751244,536.4
63,604.8950248756219,536.4
64,605.2149253731343,536.4
65,605.3865671641792,518.5
66,604.6651741293532,518.5
67,603.5238805970149,518.5
68,603.5169154228855,518.5
69,604.3771144278606,518.5
70,602.3691542288557,518.5
71,602.5199004975125,518.5
72,602.9422885572139,518.5
73,602.2154228855721,518.5
74,602.5825870646767,498.5
75,600.5810945273632,498.5
76,601.7880597014926,498.5
77,599.6701492537313,498.5
78,602.0164179104478,498.5
79,600.5641791044776,498.5
80,600.255223880597,498.5
81,599.4726368159204,498.5
82,599.2835820895523,498.5
83,601.3233830845771,498.5
84,600.7064676616916,498.5
85,598.4686567164179,498.5
86,598.636815920398,498.5
87,601.1716417910447,498.5
88,598.092039800995,498.5
89,599.4024875621891,498.5
90,597.7422885572139,498.5
91,597.7333333333333,498.5
92,597.4059701492537,498.5
93,597.2363184079602,498.5
94,596.8800995024876,498.5
95,596.5462686567164,498.5
96,596.7228855721393,498.5
97,595.7701492537313,498.5
98,596.7094527363184,498.5
99,596.8587064676617,498.5
random,"([[18], [588, 725, 963], [100, 171, 215, 289, 366, 416, 824, 954], [16, 30, 40, 55, 60, 70, 74, 82, 107, 108, 114, 128, 139, 147, 157, 158, 159, 168, 178, 192, 196, 198, 205, 209, 210, 218, 229, 250, 253, 261, 277, 284, 292, 300, 305, 307, 310, 326, 334, 335, 341, 363, 367, 372, 373, 374, 409, 414, 434, 441, 452, 470, 477, 479, 491, 497, 499, 500, 502, 510, 513, 518, 523, 529, 530, 536, 547, 548, 571, 589, 601, 602, 607, 660, 678, 681, 682, 684, 700, 704, 710, 713, 719, 721, 723, 737, 745, 756, 761, 763, 767, 777, 790, 801, 841, 857, 907, 922, 937, 940, 952, 957, 970, 980, 997, 1002, 1017, 1023], [0, 8, 20, 36, 37, 38, 43, 53, 64, 65, 67, 77, 84, 85, 86, 94, 99, 103, 120, 123, 124, 127, 133, 135, 155, 183, 194, 197, 199, 206, 212, 213, 230, 232, 236, 238, 240, 262, 267, 268, 278, 280, 283, 285, 286, 298, 313, 314, 324, 332, 336, 339, 343, 345, 348, 351, 354, 362, 368, 369, 370, 377, 381, 383, 384, 388, 396, 399, 403, 407, 411, 412, 415, 417, 419, 423, 426, 427, 428, 436, 446, 447, 454, 456, 461, 464, 465, 476, 485, 489, 494, 501, 511, 526, 532, 533, 534, 538, 544, 557, 558, 565, 566, 569, 574, 591, 596, 597, 605, 612, 615, 616, 624, 646, 655, 659, 666, 668, 679, 691, 699, 701, 711, 722, 730, 736, 742, 749, 752, 762, 765, 768, 772, 775, 776, 780, 787, 789, 794, 795, 799, 810, 813, 820, 821, 826, 835, 838, 847, 853, 855, 869, 876, 879, 883, 885, 886, 896, 901, 904, 923, 927, 930, 931, 938, 941, 950, 960, 962, 976, 977, 978, 981, 986, 987, 992, 1010, 1018], [4, 5, 7, 17, 23, 24, 25, 42, 54, 58, 71, 75, 90, 93, 101, 116, 118, 119, 121, 129, 134, 144, 145, 151, 162, 166, 173, 174, 175, 177, 203, 204, 219, 221, 222, 224, 227, 231, 233, 239, 242, 249, 264, 275, 282, 290, 295, 301, 308, 344, 349, 361, 378, 380, 385, 387, 394, 408, 410, 413, 421, 440, 442, 450, 460, 473, 474, 475, 498, 505, 519, 525, 541, 545, 552, 568, 579, 583, 584, 590, 592, 599, 600, 610, 629, 630, 632, 637, 647, 650, 653, 656, 671, 680, 683, 686, 695, 696, 705, 706, 714, 717, 739, 740, 750, 764, 769, 781, 782, 783, 803, 804, 807, 812, 814, 825, 831, 836, 849, 854, 860, 861, 865, 870, 875, 877, 878, 880, 887, 889, 895, 903, 905, 916, 919, 924, 939, 943, 958, 959, 966, 967, 968, 969, 974, 975, 982, 983, 995, 1001, 1019, 1020], [10, 13, 14, 19, 27, 31, 33, 50, 59, 61, 66, 76, 79, 104, 115, 131, 137, 140, 142, 153, 161, 182, 217, 225, 237, 243, 256, 257, 259, 263, 266, 302, 303, 306, 321, 327, 328, 331, 338, 342, 350, 398, 422, 432, 439, 451, 453, 455, 467, 471, 472, 487, 503, 507, 514, 550, 554, 563, 575, 576, 587, 594, 598, 606, 608, 609, 611, 625, 634, 661, 662, 669, 685, 687, 689, 692, 693, 698, 702, 703, 735, 738, 805, 823, 832, 837, 845, 850, 851, 871, 912, 946, 953, 965, 972, 979, 988, 1009, 1012], [11, 45, 98, 122, 149, 167, 181, 214, 281, 296, 312, 320, 329, 347, 355, 357, 364, 365, 375, 420, 508, 516, 561, 613, 639, 641, 712, 715, 753, 771, 778, 808, 819, 844, 862, 866, 873, 899, 917, 1006, 1015], [95, 150, 184, 241, 317, 322, 323, 400, 573, 580, 658, 728, 759, 760, 888, 911], [6, 68, 333, 352, 390, 406, 478, 520, 560, 603, 642, 665, 864, 874], [32, 154, 311, 382, 392, 395, 404, 527, 585, 676, 802, 902, 971, 989], [63, 106, 112, 156, 252, 376, 389, 517, 617, 640, 663, 667, 746, 908, 998], [51, 117, 126, 132, 136, 180, 244, 270, 279, 340, 539, 748, 833], [195, 223, 418, 425, 444, 490, 856], [201, 371, 797], []], 672, 3, 8)"
