gen >0, new best = 580.300
gen >0, new best = 571.600
gen >0, new best = 562.200
gen >0, new best = 557.200
gen: 0 best: 557.2 mean: 630.4681592039801
gen: 1 best: 557.2 mean: 629.7228855721393
gen: 2 best: 557.2 mean: 629.7412935323383
gen: 3 best: 557.2 mean: 628.6228855721394
gen: 4 best: 557.2 mean: 628.5069651741294
gen: 5 best: 557.2 mean: 625.855223880597
gen: 6 best: 557.2 mean: 625.7597014925373
gen >7, new best = 516.500
gen: 7 best: 516.5 mean: 624.671144278607
gen: 8 best: 516.5 mean: 622.5751243781094
gen: 9 best: 516.5 mean: 622.1731343283582
gen: 10 best: 516.5 mean: 620.6810945273631
gen: 11 best: 516.5 mean: 620.4646766169154
gen: 12 best: 516.5 mean: 618.3432835820895
gen: 13 best: 516.5 mean: 616.9273631840796
gen: 14 best: 516.5 mean: 617.8706467661691
gen: 15 best: 516.5 mean: 617.3955223880597
gen: 16 best: 516.5 mean: 616.2069651741293
gen: 17 best: 516.5 mean: 615.1402985074627
gen: 18 best: 516.5 mean: 612.6756218905473
gen: 19 best: 516.5 mean: 613.7199004975124
gen: 20 best: 516.5 mean: 610.5985074626866
gen: 21 best: 516.5 mean: 609.3601990049751
gen: 22 best: 516.5 mean: 608.8303482587065
gen: 23 best: 516.5 mean: 607.9825870646766
gen: 24 best: 516.5 mean: 609.1283582089552
gen: 25 best: 516.5 mean: 606.781592039801
gen: 26 best: 516.5 mean: 607.4402985074627
gen: 27 best: 516.5 mean: 603.9427860696518
gen: 28 best: 516.5 mean: 603.6034825870647
gen: 29 best: 516.5 mean: 603.0383084577114
gen: 30 best: 516.5 mean: 601.563184079602
gen: 31 best: 516.5 mean: 601.4437810945274
gen: 32 best: 516.5 mean: 598.9388059701492
gen: 33 best: 516.5 mean: 600.202487562189
gen: 34 best: 516.5 mean: 598.3
gen: 35 best: 516.5 mean: 597.5303482587065
gen: 36 best: 516.5 mean: 596.6049751243781
gen: 37 best: 516.5 mean: 595.1064676616916
gen: 38 best: 516.5 mean: 594.3671641791045
gen: 39 best: 516.5 mean: 593.1701492537313
gen >40, new best = 507.900
gen: 40 best: 507.9 mean: 592.5781094527363
gen: 41 best: 507.9 mean: 592.4820895522388
gen: 42 best: 507.9 mean: 591.4910447761195
gen: 43 best: 507.9 mean: 590.9900497512438
gen: 44 best: 507.9 mean: 587.868656716418
gen: 45 best: 507.9 mean: 587.8298507462687
gen: 46 best: 507.9 mean: 587.8706467661691
gen: 47 best: 507.9 mean: 587.2487562189054
gen: 48 best: 507.9 mean: 586.1014925373134
gen: 49 best: 507.9 mean: 588.455223880597
gen: 50 best: 507.9 mean: 586.2781094527363
gen: 51 best: 507.9 mean: 586.826368159204
gen: 52 best: 507.9 mean: 584.5298507462686
gen: 53 best: 507.9 mean: 583.4676616915423
gen: 54 best: 507.9 mean: 584.0084577114428
gen: 55 best: 507.9 mean: 583.773631840796
gen: 56 best: 507.9 mean: 580.6970149253731
gen: 57 best: 507.9 mean: 582.073631840796
gen: 58 best: 507.9 mean: 581.4353233830846
gen: 59 best: 507.9 mean: 580.3034825870647
gen: 60 best: 507.9 mean: 578.1741293532339
gen: 61 best: 507.9 mean: 579.4189054726368
gen >62, new best = 503.000
gen: 62 best: 503.0 mean: 576.4512437810945
gen: 63 best: 503.0 mean: 577.5572139303482
gen: 64 best: 503.0 mean: 576.0855721393035
gen: 65 best: 503.0 mean: 577.1452736318408
gen: 66 best: 503.0 mean: 576.8597014925373
gen: 67 best: 503.0 mean: 573.9
gen: 68 best: 503.0 mean: 574.2671641791045
gen: 69 best: 503.0 mean: 573.663184079602
gen: 70 best: 503.0 mean: 574.4731343283582
gen: 71 best: 503.0 mean: 573.852736318408
gen: 72 best: 503.0 mean: 572.6517412935324
gen: 73 best: 503.0 mean: 572.0303482587065
gen: 74 best: 503.0 mean: 572.0109452736318
gen: 75 best: 503.0 mean: 572.9273631840796
gen >76, new best = 495.900
gen: 76 best: 495.9 mean: 571.8243781094527
gen: 77 best: 495.9 mean: 570.4875621890548
gen: 78 best: 495.9 mean: 569.5174129353234
gen: 79 best: 495.9 mean: 568.4537313432836
gen >80, new best = 492.900
gen: 80 best: 492.9 mean: 567.7955223880597
gen: 81 best: 492.9 mean: 566.3661691542288
gen: 82 best: 492.9 mean: 567.4129353233831
gen: 83 best: 492.9 mean: 566.5333333333333
gen: 84 best: 492.9 mean: 566.944776119403
gen: 85 best: 492.9 mean: 565.2199004975124
gen: 86 best: 492.9 mean: 564.7547263681593
gen: 87 best: 492.9 mean: 565.0452736318408
gen: 88 best: 492.9 mean: 564.347263681592
gen: 89 best: 492.9 mean: 564.0044776119403
gen: 90 best: 492.9 mean: 563.4333333333333
gen: 91 best: 492.9 mean: 563.8860696517413
gen >92, new best = 488.400
gen >92, new best = 487.500
gen: 92 best: 487.5 mean: 561.9611940298507
gen: 93 best: 487.5 mean: 562.5124378109452
gen: 94 best: 487.5 mean: 562.8019900497512
gen: 95 best: 487.5 mean: 562.2039800995025
gen: 96 best: 487.5 mean: 562.1547263681592
gen: 97 best: 487.5 mean: 561.1109452736318
gen: 98 best: 487.5 mean: 561.3736318407961
gen: 99 best: 487.5 mean: 560.5537313432836
