Generation,mean,best
0,575.5383084577114,449.0
1,561.3741293532338,449.0
2,554.9855721393035,441.8
3,557.6462686567164,441.8
4,549.5119402985075,441.8
5,547.136815920398,441.8
6,540.4442786069652,441.8
7,537.6218905472637,441.8
8,531.0786069651741,436.4
9,526.6696517412935,436.4
10,530.9845771144279,421.0
11,523.7791044776119,421.0
12,521.760696517413,421.0
13,521.0253731343283,421.0
14,521.0119402985075,421.0
15,518.8154228855722,421.0
16,519.3517412935323,421.0
17,517.7313432835821,421.0
18,514.4154228855722,421.0
19,514.2452736318407,421.0
20,512.3119402985075,421.0
21,514.2039800995025,421.0
22,512.1457711442786,421.0
23,507.0189054726368,421.0
24,504.4502487562189,421.0
25,508.13283582089554,421.0
26,506.410447761194,421.0
27,501.0492537313433,412.3
28,500.6084577114428,409.0
29,497.5532338308458,393.4
30,492.04477611940297,393.4
31,496.5094527363184,393.4
32,490.31592039800995,393.4
33,493.96567164179106,393.4
34,493.4507462686567,393.4
35,488.92885572139306,393.4
36,495.29950248756217,393.4
37,488.0218905472637,393.4
38,491.67064676616917,393.4
39,486.06119402985075,393.4
40,486.20248756218905,393.4
41,483.97164179104476,382.0
42,487.7945273631841,382.0
43,482.98955223880597,382.0
44,484.5507462686567,382.0
45,480.0567164179104,382.0
46,481.1099502487562,382.0
47,481.00796019900497,382.0
48,480.2273631840796,382.0
49,481.2457711442786,382.0
50,477.6039800995025,382.0
51,475.1283582089552,382.0
52,475.4582089552239,382.0
53,477.6,382.0
54,475.7990049751244,382.0
55,476.19154228855723,382.0
56,473.7437810945274,382.0
57,473.90398009950246,382.0
58,475.28905472636814,382.0
59,471.8407960199005,382.0
60,471.12537313432836,382.0
61,474.11442786069654,382.0
62,472.2716417910448,382.0
63,469.9213930348259,382.0
64,471.11990049751245,382.0
65,469.8776119402985,380.5
66,469.7034825870647,380.5
67,475.11243781094527,380.5
68,468.64726368159205,380.5
69,470.18358208955226,380.5
70,467.1577114427861,380.5
71,469.38855721393037,380.5
72,468.08706467661693,380.5
73,467.1358208955224,380.5
74,466.77512437810947,380.5
75,466.5965174129353,376.1
76,466.5039800995025,376.1
77,465.4412935323383,376.1
78,466.73333333333335,376.1
79,464.7592039800995,376.1
80,467.752736318408,371.6
81,467.7840796019901,371.6
82,465.0398009950249,371.6
83,463.46567164179106,371.6
84,466.3646766169154,371.6
85,464.4726368159204,371.6
86,469.1641791044776,371.6
87,468.46666666666664,371.6
88,464.44776119402985,371.6
89,467.055223880597,371.6
90,468.65472636815923,371.6
91,466.8402985074627,371.6
92,465.426368159204,371.6
93,463.97114427860697,371.6
94,467.2716417910448,371.6
95,468.13084577114427,371.6
96,466.0258706467662,371.6
97,466.18059701492535,371.6
98,465.82139303482586,371.6
99,464.1029850746269,371.6
