gen >0, new best = 646.400
gen >0, new best = 602.000
gen: 0 best: 602.0 mean: 659.5393034825871
gen: 1 best: 602.0 mean: 659.2288557213931
gen: 2 best: 602.0 mean: 656.7283582089552
gen: 3 best: 602.0 mean: 656.581592039801
gen: 4 best: 602.0 mean: 655.7517412935323
gen: 5 best: 602.0 mean: 654.3064676616915
gen: 6 best: 602.0 mean: 653.0412935323383
gen: 7 best: 602.0 mean: 652.7283582089552
gen: 8 best: 602.0 mean: 651.6706467661692
gen: 9 best: 602.0 mean: 650.352736318408
gen: 10 best: 602.0 mean: 651.1268656716418
gen: 11 best: 602.0 mean: 648.9626865671642
gen: 12 best: 602.0 mean: 647.7905472636816
gen: 13 best: 602.0 mean: 649.2850746268657
gen >14, new best = 581.400
gen: 14 best: 581.4 mean: 646.3467661691542
gen: 15 best: 581.4 mean: 644.9114427860696
gen: 16 best: 581.4 mean: 643.3696517412935
gen: 17 best: 581.4 mean: 645.2402985074627
gen: 18 best: 581.4 mean: 643.4124378109452
gen: 19 best: 581.4 mean: 642.8751243781095
gen: 20 best: 581.4 mean: 642.9557213930349
gen: 21 best: 581.4 mean: 640.7004975124378
gen: 22 best: 581.4 mean: 638.3995024875622
gen: 23 best: 581.4 mean: 638.481592039801
gen: 24 best: 581.4 mean: 638.0283582089552
gen: 25 best: 581.4 mean: 636.371144278607
gen: 26 best: 581.4 mean: 636.0532338308458
gen: 27 best: 581.4 mean: 635.9646766169154
gen: 28 best: 581.4 mean: 635.2830845771144
gen >29, new best = 575.200
gen: 29 best: 575.2 mean: 634.8656716417911
gen: 30 best: 575.2 mean: 633.6920398009951
gen >31, new best = 570.500
gen: 31 best: 570.5 mean: 633.2417910447762
gen >32, new best = 554.500
gen: 32 best: 554.5 mean: 632.1268656716418
gen: 33 best: 554.5 mean: 630.8542288557214
gen: 34 best: 554.5 mean: 629.5358208955224
gen: 35 best: 554.5 mean: 629.4094527363184
gen: 36 best: 554.5 mean: 629.5417910447761
gen: 37 best: 554.5 mean: 628.0930348258706
gen: 38 best: 554.5 mean: 628.18407960199
gen: 39 best: 554.5 mean: 626.0935323383085
gen: 40 best: 554.5 mean: 625.3253731343284
gen: 41 best: 554.5 mean: 623.2492537313433
gen: 42 best: 554.5 mean: 623.7990049751244
gen >43, new best = 548.500
gen: 43 best: 548.5 mean: 622.6487562189054
gen: 44 best: 548.5 mean: 622.6482587064677
gen: 45 best: 548.5 mean: 621.6074626865671
gen: 46 best: 548.5 mean: 619.7174129353234
gen: 47 best: 548.5 mean: 619.2751243781095
gen: 48 best: 548.5 mean: 618.536815920398
gen: 49 best: 548.5 mean: 618.6860696517413
gen: 50 best: 548.5 mean: 618.5457711442787
gen: 51 best: 548.5 mean: 617.1731343283582
gen: 52 best: 548.5 mean: 617.7965174129354
gen: 53 best: 548.5 mean: 615.9407960199005
gen: 54 best: 548.5 mean: 618.1228855721394
gen: 55 best: 548.5 mean: 617.3935323383084
gen: 56 best: 548.5 mean: 616.6333333333333
gen: 57 best: 548.5 mean: 617.0796019900498
gen: 58 best: 548.5 mean: 617.3417910447761
gen: 59 best: 548.5 mean: 614.3990049751244
gen: 60 best: 548.5 mean: 615.9303482587064
gen: 61 best: 548.5 mean: 616.8656716417911
gen: 62 best: 548.5 mean: 613.9666666666667
gen: 63 best: 548.5 mean: 615.4661691542289
gen: 64 best: 548.5 mean: 615.6562189054727
gen: 65 best: 548.5 mean: 614.994527363184
gen: 66 best: 548.5 mean: 615.0845771144278
gen: 67 best: 548.5 mean: 614.5990049751243
gen: 68 best: 548.5 mean: 614.7223880597015
gen: 69 best: 548.5 mean: 612.352736318408
gen >70, new best = 538.700
gen: 70 best: 538.7 mean: 610.8636815920398
gen: 71 best: 538.7 mean: 612.4915422885572
gen: 72 best: 538.7 mean: 613.4223880597015
gen: 73 best: 538.7 mean: 611.571144278607
gen: 74 best: 538.7 mean: 611.107960199005
gen: 75 best: 538.7 mean: 610.4203980099503
gen: 76 best: 538.7 mean: 611.8079601990049
gen: 77 best: 538.7 mean: 609.2567164179104
gen: 78 best: 538.7 mean: 610.9099502487562
gen: 79 best: 538.7 mean: 610.0875621890548
gen: 80 best: 538.7 mean: 610.0597014925373
gen: 81 best: 538.7 mean: 611.5363184079602
gen: 82 best: 538.7 mean: 609.5960199004975
gen: 83 best: 538.7 mean: 608.8
gen: 84 best: 538.7 mean: 607.8179104477612
gen: 85 best: 538.7 mean: 607.8402985074626
gen: 86 best: 538.7 mean: 608.1044776119403
gen: 87 best: 538.7 mean: 608.0457711442787
gen >88, new best = 535.600
gen: 88 best: 535.6 mean: 607.5537313432836
gen: 89 best: 535.6 mean: 606.4880597014925
gen: 90 best: 535.6 mean: 608.092039800995
gen: 91 best: 535.6 mean: 607.4572139303483
gen: 92 best: 535.6 mean: 604.6970149253731
gen: 93 best: 535.6 mean: 606.7766169154229
gen: 94 best: 535.6 mean: 606.2054726368159
gen: 95 best: 535.6 mean: 606.8791044776119
gen: 96 best: 535.6 mean: 607.3124378109453
gen: 97 best: 535.6 mean: 605.2497512437811
gen >98, new best = 532.600
gen: 98 best: 532.6 mean: 606.6587064676617
gen: 99 best: 532.6 mean: 605.5378109452736
