Generation,mean,best
0,687.2497512437811,666.5
1,687.6189054726368,662.9
2,685.2636815920398,619.2
3,684.0248756218906,619.2
4,681.8492537313433,607.3
5,681.4248756218906,607.3
6,681.2800995024876,607.3
7,680.8243781094527,607.3
8,679.7532338308457,607.3
9,680.4104477611941,607.3
10,678.4970149253732,607.3
11,676.8044776119403,607.3
12,677.457711442786,607.3
13,677.844776119403,607.3
14,674.9084577114428,604.7
15,675.5706467661691,604.7
16,675.4681592039801,604.7
17,674.8393034825871,604.7
18,672.4980099502487,604.7
19,672.5308457711443,604.7
20,671.9676616915423,604.7
21,670.8,604.7
22,669.5537313432836,604.7
23,668.6293532338309,604.7
24,668.736815920398,604.7
25,667.6432835820896,604.7
26,665.8587064676617,604.7
27,666.4597014925373,604.7
28,665.136815920398,604.7
29,665.4417910447761,595.3
30,663.2218905472637,595.3
31,662.7890547263681,595.3
32,661.5134328358209,595.3
33,662.2348258706468,595.3
34,661.6268656716418,595.3
35,661.5233830845771,595.3
36,661.2537313432836,595.3
37,661.5796019900497,595.3
38,660.0228855721393,595.3
39,658.5039800995025,595.3
40,659.0990049751243,595.3
41,658.2810945273632,595.3
42,656.3407960199005,579.5
43,657.8646766169154,579.5
44,657.347263681592,579.5
45,656.5676616915423,579.5
46,655.763184079602,579.5
47,656.2348258706468,579.5
48,654.6850746268657,579.5
49,654.7189054726368,579.5
50,653.263184079602,579.5
51,652.8651741293532,579.5
52,652.1179104477612,579.5
53,651.7417910447762,579.5
54,652.8442786069652,579.5
55,650.1820895522388,579.5
56,651.0179104477612,579.5
57,649.355223880597,579.5
58,649.4626865671642,579.5
59,649.2004975124378,579.5
60,648.9174129353233,579.5
61,649.1507462686567,579.5
62,647.781592039801,579.5
63,648.9567164179105,579.5
64,646.592039800995,576.0
65,646.3383084577115,576.0
66,645.349751243781,576.0
67,644.3338308457711,576.0
68,643.631343283582,576.0
69,643.8482587064676,576.0
70,644.4567164179105,573.8
71,642.1517412935324,560.0
72,642.7582089552238,560.0
73,643.5980099502488,560.0
74,642.5840796019901,560.0
75,641.5666666666667,560.0
76,641.0626865671642,560.0
77,641.8845771144279,560.0
78,640.1950248756219,560.0
79,640.5587064676616,560.0
80,639.1885572139304,560.0
81,637.9333333333333,560.0
82,638.6,560.0
83,638.3786069651741,560.0
84,638.9910447761195,560.0
85,637.8328358208955,560.0
86,635.5407960199005,560.0
87,637.795024875622,560.0
88,637.4651741293533,560.0
89,636.1283582089552,560.0
90,636.8761194029851,560.0
91,634.7298507462687,560.0
92,636.0248756218906,560.0
93,635.3671641791045,560.0
94,635.0044776119403,560.0
95,633.6716417910447,560.0
96,633.4696517412935,560.0
97,632.6960199004975,560.0
98,634.3402985074626,560.0
99,633.9935323383085,560.0
