Generation,mean,best
0,167.87114427860698,140.7
1,166.75771144278607,140.7
2,167.40995024875622,140.7
3,166.7179104477612,140.7
4,165.50696517412936,140.7
5,164.8626865671642,140.7
6,164.36019900497513,140.7
7,164.2810945273632,140.7
8,164.74825870646765,140.7
9,164.12885572139302,140.7
10,163.3134328358209,140.7
11,163.7452736318408,140.7
12,161.88457711442786,140.7
13,162.13980099502487,140.7
14,161.34029850746268,140.7
15,160.52089552238806,140.7
16,159.51990049751242,135.0
17,159.34179104477613,135.0
18,158.3313432835821,135.0
19,158.8169154228856,135.0
20,158.35721393034825,135.0
21,158.1134328358209,135.0
22,157.5990049751244,135.0
23,157.12039800995024,135.0
24,157.29601990049753,135.0
25,156.2731343283582,135.0
26,155.96019900497512,135.0
27,155.91343283582088,135.0
28,154.36169154228855,135.0
29,154.40547263681592,135.0
30,154.04278606965175,134.4
31,153.67860696517414,134.4
32,153.1905472636816,133.8
33,152.6995024875622,133.8
34,152.56915422885572,133.8
35,152.49850746268658,125.5
36,151.7582089552239,125.5
37,151.68855721393035,125.5
38,151.52089552238806,125.5
39,151.463184079602,125.5
40,151.60099502487563,125.5
41,150.1407960199005,125.5
42,150.00348258706467,125.5
43,149.6776119402985,125.5
44,149.45174129353234,125.5
45,149.20646766169153,125.5
46,149.06069651741294,125.5
47,148.79800995024877,125.5
48,148.8363184079602,125.5
49,148.05373134328357,125.5
50,146.8582089552239,125.5
51,147.3910447761194,125.5
52,146.87910447761195,125.5
53,146.5955223880597,125.5
54,146.5089552238806,123.9
55,145.6034825870647,123.9
56,145.31741293532338,123.5
57,145.06119402985075,123.5
58,145.12835820895523,123.5
59,145.35024875621892,123.5
60,145.01890547263682,123.5
61,144.30696517412935,123.5
62,144.07114427860697,123.5
63,143.82189054726368,123.5
64,142.97014925373134,120.9
65,144.2955223880597,120.9
66,142.69701492537314,120.9
67,142.68855721393035,120.9
68,141.8766169154229,120.9
69,141.1417910447761,120.9
70,141.7233830845771,120.9
71,142.6417910447761,120.9
72,142.0597014925373,120.9
73,140.9686567164179,120.9
74,140.79850746268656,117.4
75,141.7860696517413,117.4
76,139.46965174129352,117.4
77,140.67014925373135,117.4
78,141.292039800995,117.4
79,139.91144278606964,117.4
80,139.93830845771143,117.4
81,139.84228855721392,117.4
82,137.9597014925373,117.4
83,138.47562189054727,117.4
84,138.86616915422886,117.4
85,138.53084577114427,117.4
86,138.03880597014924,116.8
87,139.78358208955223,116.8
88,138.09203980099502,116.8
89,139.18258706467662,116.8
90,138.85572139303483,116.8
91,138.0721393034826,116.8
92,137.25870646766168,116.8
93,138.14975124378108,116.8
94,138.16616915422887,116.8
95,136.61940298507463,116.2
96,137.25970149253732,116.2
97,137.64278606965175,116.2
98,136.56567164179106,116.2
99,137.23980099502486,116.2
random,"([[10], [14], [4, 18, 32, 51, 58, 138, 139, 146, 152, 180, 208], [22, 31, 60, 61, 85, 90, 104, 107, 112, 120, 157, 163, 186, 206, 214, 223, 225, 236, 251, 252], [0, 3, 45, 48, 57, 63, 119, 140, 155, 170, 174, 201, 203, 242, 250], [5, 7, 27, 52, 69, 76, 86, 126, 137, 143, 168, 238], [21, 26, 50, 56, 68, 74, 91, 97, 108, 117, 165, 202, 218, 220, 228, 244], [12, 15, 28, 33, 44, 62, 84, 121, 122, 124, 141, 153, 156, 213, 226, 227, 231], [1, 2, 13, 19, 70, 72, 73, 115, 127, 150, 179, 189, 205, 210, 222, 248, 249], [29, 38, 42, 59, 77, 96, 105, 109, 132, 181, 229, 232], [11, 54, 102, 125, 164, 194, 198, 200, 240, 243], [100, 158, 246], [113, 255], [145, 177, 204], [83, 101, 106, 195, 245], [43, 46], []], 147, 3, 11)"
