Generation,mean,best
0,153.31069651741294,128.4
1,153.54825870646766,111.4
2,153.4592039800995,108.0
3,152.5228855721393,108.0
4,152.17263681592038,108.0
5,150.72139303482587,108.0
6,150.48109452736318,108.0
7,150.44378109452737,108.0
8,150.62587064676617,99.5
9,150.38805970149255,99.5
10,149.32039800995025,99.5
11,150.4278606965174,99.5
12,151.50497512437812,99.5
13,146.9318407960199,99.5
14,149.2134328358209,99.5
15,148.3278606965174,99.5
16,148.936815920398,99.5
17,148.39850746268658,99.5
18,147.06169154228857,99.5
19,147.6223880597015,91.7
20,148.3995024875622,91.7
21,147.21741293532338,91.7
22,145.76019900497514,89.2
23,145.10298507462687,89.2
24,144.77910447761195,89.2
25,147.17014925373135,89.2
26,145.626368159204,89.2
27,144.86169154228855,89.2
28,146.06467661691542,89.2
29,143.7278606965174,89.2
30,140.14975124378108,89.2
31,143.60796019900496,89.2
32,142.72885572139305,89.2
33,141.49253731343285,75.3
34,141.6860696517413,75.3
35,143.86766169154228,75.3
36,141.28407960199004,75.3
37,143.71293532338308,56.0
38,139.37164179104477,56.0
39,143.10099502487563,56.0
40,136.07810945273633,56.0
41,135.76716417910447,56.0
42,133.77014925373135,56.0
43,133.39601990049752,56.0
44,136.80248756218904,42.4
45,137.03034825870645,42.4
46,137.37860696517413,42.4
47,133.03731343283582,42.4
48,133.25572139303483,42.4
49,133.71592039800996,42.4
50,130.35572139303483,42.4
51,129.37462686567164,42.4
52,126.07810945273631,42.4
53,125.14079601990049,42.4
54,125.3955223880597,42.4
55,126.99054726368159,42.4
56,124.73532338308458,33.1
57,122.31592039800995,33.1
58,120.59502487562189,32.0
59,117.1268656716418,32.0
60,115.33930348258707,32.0
61,115.51940298507462,32.0
62,116.75124378109453,32.0
63,117.6,32.0
64,114.00945273631841,32.0
65,112.31442786069651,32.0
66,118.0636815920398,32.0
67,114.64925373134328,32.0
68,111.8865671641791,32.0
69,115.83333333333333,32.0
70,114.62885572139304,32.0
71,112.71691542288558,32.0
72,111.30199004975124,32.0
73,113.70696517412935,32.0
74,115.19601990049752,32.0
75,107.39303482587064,32.0
76,110.96318407960199,32.0
77,111.7318407960199,32.0
78,110.26865671641791,32.0
79,109.64875621890548,32.0
80,112.25472636815921,32.0
81,108.05273631840797,32.0
82,110.44577114427861,32.0
83,110.28457711442786,32.0
84,111.80845771144278,32.0
85,110.84925373134328,32.0
86,110.51741293532338,32.0
87,107.5910447761194,32.0
88,111.84129353233831,32.0
89,107.00796019900497,32.0
90,106.73781094527364,32.0
91,106.82039800995025,32.0
92,106.70547263681593,32.0
93,105.3955223880597,32.0
94,107.98557213930349,32.0
95,105.02437810945274,32.0
96,106.8268656716418,32.0
97,105.82437810945274,32.0
98,103.91094527363184,32.0
99,104.16019900497513,31.4
random,"([[10], [14], [4, 18, 32, 51, 58, 138, 139, 146, 152, 180, 208], [24, 31, 39, 61, 69, 85, 104, 105, 107, 112, 119, 120, 203, 214, 223, 252], [0, 7, 28, 36, 81, 88, 111, 129, 131, 143, 153, 155, 165, 170, 218, 225, 250], [5, 26, 27, 42, 65, 72, 75, 86, 93, 97, 103, 108, 137, 154, 160, 173, 176, 236, 238], [41, 50, 60, 62, 63, 68, 82, 91, 95, 99, 102, 117, 123, 125, 130, 141, 167, 190, 191, 200, 205, 221, 222, 224, 226, 227, 230, 231, 235, 237, 241, 243], [9, 12, 15, 19, 29, 33, 38, 44, 46, 57, 70, 71, 76, 77, 101, 121, 132, 133, 193, 206, 229, 234, 251], [90, 106, 113, 127, 134, 145, 150, 169, 183, 186, 188, 210, 220, 228, 240, 253], [3, 6, 8, 84, 87, 118, 122, 128, 171, 177, 181, 184, 189, 195, 201, 219], [13, 17, 73, 232, 245], [66, 187, 204], []], 160, 2, 128)"
