Generation,mean,best
0,181.96467661691543,145.4
1,181.56019900497512,140.9
2,180.07164179104478,140.9
3,178.4228855721393,138.3
4,175.72189054726368,138.3
5,172.8592039800995,138.3
6,173.06965174129354,137.0
7,170.73034825870647,137.0
8,170.2094527363184,135.4
9,169.91442786069652,133.3
10,170.14278606965175,133.3
11,169.07512437810945,133.3
12,164.66218905472635,127.5
13,166.1318407960199,127.5
14,165.23482587064677,127.5
15,161.94378109452737,125.6
16,162.62388059701493,125.6
17,161.9228855721393,125.6
18,160.85273631840795,125.6
19,160.8726368159204,125.6
20,160.45771144278606,125.6
21,159.49751243781094,125.6
22,157.9278606965174,123.4
23,157.81094527363183,123.4
24,157.27164179104477,123.4
25,155.3084577114428,123.4
26,155.17910447761193,123.4
27,155.3900497512438,116.5
28,154.32935323383086,116.5
29,154.71194029850747,116.5
30,154.6776119402985,116.5
31,153.3865671641791,116.5
32,153.82487562189056,116.5
33,154.08308457711442,116.5
34,154.30746268656716,116.5
35,152.32935323383086,116.5
36,153.54079601990048,116.5
37,152.86766169154228,116.5
38,152.818407960199,116.5
39,153.83432835820895,116.5
40,152.2,116.5
41,153.1174129353234,116.5
42,153.04278606965175,116.5
43,151.8766169154229,116.5
44,149.9587064676617,116.5
45,151.58407960199006,116.5
46,151.85273631840795,116.5
47,150.5452736318408,116.5
48,150.45273631840797,116.5
49,149.4049751243781,116.5
50,151.96567164179103,116.5
51,149.17064676616914,116.5
52,148.59751243781093,116.5
53,148.91044776119404,116.5
54,148.07164179104478,116.5
55,148.15074626865672,116.5
56,148.65721393034826,116.5
57,147.91940298507464,116.5
58,148.62487562189054,116.5
59,148.4636815920398,116.5
60,146.49502487562188,116.5
61,145.99900497512436,114.6
62,145.7094527363184,114.6
63,147.9587064676617,114.6
64,146.71194029850747,114.6
65,148.3582089552239,114.6
66,147.8507462686567,114.6
67,146.41243781094528,114.6
68,146.5512437810945,114.6
69,146.52089552238806,114.6
70,147.78358208955223,114.6
71,146.39203980099504,114.6
72,147.26069651741292,114.6
73,146.1134328358209,114.2
74,146.05621890547263,114.2
75,145.87910447761195,114.2
76,145.78855721393035,114.2
77,145.80547263681592,114.2
78,144.68955223880596,114.2
79,145.67263681592038,114.2
80,146.7363184079602,114.2
81,145.04925373134327,114.2
82,145.74278606965174,106.9
83,144.73880597014926,106.9
84,146.17064676616914,106.9
85,145.6004975124378,106.9
86,144.01691542288557,106.9
87,144.62089552238805,106.9
88,145.19253731343284,106.9
89,144.2502487562189,106.9
90,144.97960199004976,106.9
91,145.1766169154229,106.9
92,143.91044776119404,106.9
93,145.25870646766168,106.9
94,145.0328358208955,106.9
95,144.83383084577113,106.9
96,143.7318407960199,106.9
97,145.43432835820894,106.9
98,145.87014925373134,106.9
99,144.0,106.9
random,"([[10], []], 1, 0, 128)"
