Generation,mean,best
0,188.80099502487562,162.8
1,188.44925373134328,158.9
2,186.3547263681592,143.2
3,184.75621890547265,143.2
4,184.55174129353233,143.2
5,183.6995024875622,143.2
6,181.97014925373134,143.2
7,181.69850746268656,143.2
8,181.2278606965174,143.2
9,179.73333333333335,143.2
10,179.43532338308458,143.2
11,178.84776119402986,143.2
12,177.6358208955224,143.2
13,177.626368159204,143.2
14,178.04228855721394,143.2
15,175.95273631840797,143.2
16,175.33930348258707,143.2
17,174.69900497512438,143.2
18,174.11492537313433,143.2
19,173.30547263681592,143.2
20,173.31144278606965,143.2
21,173.01044776119403,143.2
22,172.55373134328357,140.0
23,171.455223880597,140.0
24,172.45323383084576,140.0
25,171.59353233830845,140.0
26,170.23283582089553,140.0
27,169.67810945273632,140.0
28,169.936815920398,140.0
29,169.97363184079603,140.0
30,169.22587064676617,140.0
31,168.23930348258708,140.0
32,168.74029850746268,140.0
33,169.87164179104477,140.0
34,168.09800995024875,140.0
35,168.90547263681592,140.0
36,167.84676616915422,140.0
37,167.53034825870645,140.0
38,166.67910447761193,140.0
39,166.7353233830846,140.0
40,167.42089552238807,140.0
41,165.9592039800995,138.9
42,165.3363184079602,138.9
43,164.1373134328358,138.9
44,165.05771144278606,138.9
45,165.08507462686566,138.9
46,166.13283582089554,138.9
47,164.7233830845771,138.9
48,164.72935323383084,138.9
49,164.40796019900498,135.2
50,164.04825870646766,135.2
51,164.52985074626866,135.2
52,164.82587064676616,135.2
53,164.55273631840797,135.2
54,163.8781094527363,135.2
55,163.36865671641792,135.2
56,163.32985074626865,135.2
57,163.26019900497514,135.2
58,163.90796019900498,135.2
59,162.918407960199,135.2
60,161.87213930348258,135.2
61,162.72039800995026,135.2
62,162.5084577114428,135.2
63,163.42537313432837,135.2
64,163.13781094527363,135.2
65,162.292039800995,135.2
66,162.77164179104477,132.5
67,162.19701492537314,132.5
68,161.93333333333334,132.5
69,163.80597014925374,132.5
70,162.02238805970148,132.5
71,162.27562189054726,132.5
72,161.33084577114428,132.5
73,162.24328358208956,132.5
74,161.50646766169154,132.5
75,160.3825870646766,132.5
76,161.48855721393033,132.5
77,161.50199004975124,132.5
78,162.11990049751245,132.5
79,160.84378109452737,132.5
80,161.6502487562189,132.5
81,161.5820895522388,132.5
82,161.64726368159205,132.5
83,161.24427860696517,132.5
84,162.5721393034826,132.5
85,161.1179104477612,132.5
86,160.72487562189053,132.5
87,160.58358208955224,132.5
88,160.99601990049752,132.5
89,159.91641791044776,132.5
90,159.7308457711443,132.5
91,160.6865671641791,132.5
92,160.58059701492536,132.5
93,161.21442786069653,132.5
94,160.663184079602,132.5
95,160.91890547263682,132.5
96,161.23383084577114,132.5
97,160.7139303482587,132.5
98,161.42835820895522,132.5
99,160.45323383084576,131.3
random,"([[10], [14], [18, 32, 47, 51, 58, 138, 139, 146, 152], [4, 31, 39, 48, 60, 61, 63, 69, 90, 104, 112, 120, 137, 163, 206, 214, 223, 251, 252], [0, 3, 28, 34, 76, 81, 88, 99, 111, 119, 129, 157, 160, 174, 192, 201, 202, 203, 208, 236, 242, 250], [5, 7, 8, 35, 36, 40, 42, 53, 65, 75, 79, 83, 86, 92, 93, 108, 116, 123, 126, 143, 154, 170, 173, 190, 238, 254], [71, 82, 91, 102, 114, 117, 162, 165, 176, 191, 218, 227, 228, 235, 241, 243, 244, 247, 248], [20, 26, 77, 133, 141, 151, 153, 209], [1, 21, 25, 27, 45, 70, 84, 98, 103, 105, 121, 122, 131, 148, 166, 196, 213, 231, 234, 246], [9, 13, 15, 17, 33, 50, 52, 54, 59, 66, 68, 73, 85, 96, 100, 113, 127, 136, 164, 175, 179, 189, 204, 222, 249], [11, 30, 37, 38, 41, 44, 101, 109, 115, 132, 134, 144, 147, 150, 158, 169, 177, 183, 187, 195, 197, 200, 205, 212, 226, 229, 232, 240, 255], [43, 56, 97, 106, 140, 172, 181, 185, 188, 194, 198, 211, 245], [12, 46, 49, 130, 142, 168], [159], [178], []], 200, 5, 7)"
