gen >0, new best = 195.400
gen >0, new best = 159.000
gen >0, new best = 142.000
gen >0, new best = 134.400
gen >0, new best = 125.800
gen: 0 best: 125.8 mean: 176.4037313432836
gen: 1 best: 125.8 mean: 175.207960199005
gen: 2 best: 125.8 mean: 173.1766169154229
gen >3, new best = 122.400
gen: 3 best: 122.4 mean: 171.79751243781095
gen: 4 best: 122.4 mean: 171.07562189054727
gen: 5 best: 122.4 mean: 167.01542288557215
gen >6, new best = 117.500
gen: 6 best: 117.5 mean: 164.7452736318408
gen: 7 best: 117.5 mean: 163.4
gen >8, new best = 110.600
gen: 8 best: 110.6 mean: 160.43830845771143
gen: 9 best: 110.6 mean: 159.43880597014925
gen: 10 best: 110.6 mean: 159.95124378109452
gen: 11 best: 110.6 mean: 157.8955223880597
gen: 12 best: 110.6 mean: 159.04925373134327
gen: 13 best: 110.6 mean: 157.9363184079602
gen: 14 best: 110.6 mean: 156.13482587064678
gen: 15 best: 110.6 mean: 155.55671641791045
gen: 16 best: 110.6 mean: 152.1960199004975
gen >17, new best = 107.000
gen: 17 best: 107.0 mean: 152.49800995024876
gen: 18 best: 107.0 mean: 152.66169154228857
gen: 19 best: 107.0 mean: 152.3313432835821
gen: 20 best: 107.0 mean: 153.56268656716418
gen: 21 best: 107.0 mean: 149.70845771144278
gen >22, new best = 96.700
gen: 22 best: 96.7 mean: 150.78159203980098
gen: 23 best: 96.7 mean: 149.26865671641792
gen: 24 best: 96.7 mean: 149.28756218905474
gen: 25 best: 96.7 mean: 146.97562189054727
gen: 26 best: 96.7 mean: 147.18507462686568
gen: 27 best: 96.7 mean: 146.86119402985074
gen: 28 best: 96.7 mean: 146.11044776119402
gen: 29 best: 96.7 mean: 146.463184079602
gen: 30 best: 96.7 mean: 144.88855721393034
gen: 31 best: 96.7 mean: 142.53930348258706
gen: 32 best: 96.7 mean: 143.26965174129353
gen: 33 best: 96.7 mean: 142.8323383084577
gen: 34 best: 96.7 mean: 142.36218905472637
gen: 35 best: 96.7 mean: 142.45223880597015
gen: 36 best: 96.7 mean: 141.20348258706468
gen: 37 best: 96.7 mean: 141.53482587064676
gen: 38 best: 96.7 mean: 138.36318407960198
gen: 39 best: 96.7 mean: 138.6134328358209
gen: 40 best: 96.7 mean: 139.97661691542288
gen: 41 best: 96.7 mean: 138.4547263681592
gen: 42 best: 96.7 mean: 138.51890547263682
gen: 43 best: 96.7 mean: 139.37064676616916
gen: 44 best: 96.7 mean: 138.7582089552239
gen: 45 best: 96.7 mean: 137.0313432835821
gen: 46 best: 96.7 mean: 136.12835820895523
gen: 47 best: 96.7 mean: 136.18507462686568
gen: 48 best: 96.7 mean: 138.11492537313433
gen: 49 best: 96.7 mean: 136.39353233830846
gen: 50 best: 96.7 mean: 137.39253731343283
gen: 51 best: 96.7 mean: 136.40049751243782
gen: 52 best: 96.7 mean: 136.7905472636816
gen: 53 best: 96.7 mean: 135.45373134328358
gen: 54 best: 96.7 mean: 135.30348258706468
gen: 55 best: 96.7 mean: 135.792039800995
gen: 56 best: 96.7 mean: 134.56467661691542
gen >57, new best = 96.200
gen: 57 best: 96.2 mean: 134.05771144278606
gen: 58 best: 96.2 mean: 135.2810945273632
gen: 59 best: 96.2 mean: 132.67810945273632
gen: 60 best: 96.2 mean: 134.8582089552239
gen: 61 best: 96.2 mean: 134.69353233830844
gen: 62 best: 96.2 mean: 134.19552238805971
gen: 63 best: 96.2 mean: 133.94278606965173
gen: 64 best: 96.2 mean: 132.37313432835822
gen: 65 best: 96.2 mean: 134.6402985074627
gen: 66 best: 96.2 mean: 132.96019900497512
gen: 67 best: 96.2 mean: 132.6089552238806
gen: 68 best: 96.2 mean: 132.41990049751243
gen: 69 best: 96.2 mean: 132.42885572139303
gen: 70 best: 96.2 mean: 131.75124378109453
gen: 71 best: 96.2 mean: 129.47462686567164
gen: 72 best: 96.2 mean: 129.67860696517414
gen: 73 best: 96.2 mean: 128.31492537313432
gen: 74 best: 96.2 mean: 128.28308457711444
gen: 75 best: 96.2 mean: 129.66467661691541
gen: 76 best: 96.2 mean: 129.51492537313433
gen: 77 best: 96.2 mean: 130.4363184079602
gen: 78 best: 96.2 mean: 130.11492537313433
gen: 79 best: 96.2 mean: 128.88706467661692
gen: 80 best: 96.2 mean: 129.20199004975123
gen: 81 best: 96.2 mean: 128.73930348258708
gen: 82 best: 96.2 mean: 129.50696517412936
gen: 83 best: 96.2 mean: 129.21940298507462
gen: 84 best: 96.2 mean: 128.70995024875623
gen: 85 best: 96.2 mean: 129.00348258706467
gen: 86 best: 96.2 mean: 128.726368159204
gen: 87 best: 96.2 mean: 128.2004975124378
gen: 88 best: 96.2 mean: 130.77412935323383
gen: 89 best: 96.2 mean: 130.2865671641791
gen: 90 best: 96.2 mean: 127.3905472636816
gen: 91 best: 96.2 mean: 128.91243781094528
gen: 92 best: 96.2 mean: 128.77860696517413
gen: 93 best: 96.2 mean: 126.35373134328358
gen: 94 best: 96.2 mean: 128.43333333333334
gen: 95 best: 96.2 mean: 126.62039800995025
gen: 96 best: 96.2 mean: 128.69701492537314
gen: 97 best: 96.2 mean: 127.5915422885572
gen: 98 best: 96.2 mean: 129.17810945273632
gen: 99 best: 96.2 mean: 127.90597014925373
