gen >0, new best = 336.100
gen >0, new best = 314.900
gen >0, new best = 307.400
gen: 0 best: 307.4 mean: 345.5012437810945
gen: 1 best: 307.4 mean: 345.42437810945273
gen: 2 best: 307.4 mean: 344.62935323383084
gen >3, new best = 304.600
gen >3, new best = 302.100
gen: 3 best: 302.1 mean: 343.9945273631841
gen: 4 best: 302.1 mean: 343.83084577114425
gen: 5 best: 302.1 mean: 343.29800995024874
gen: 6 best: 302.1 mean: 342.6194029850746
gen: 7 best: 302.1 mean: 342.4636815920398
gen: 8 best: 302.1 mean: 342.7840796019901
gen: 9 best: 302.1 mean: 341.3422885572139
gen >10, new best = 301.700
gen: 10 best: 301.7 mean: 339.9910447761194
gen: 11 best: 301.7 mean: 339.55174129353236
gen: 12 best: 301.7 mean: 339.33482587064674
gen >13, new best = 299.900
gen: 13 best: 299.9 mean: 339.27562189054726
gen >14, new best = 294.100
gen: 14 best: 294.1 mean: 337.7268656716418
gen: 15 best: 294.1 mean: 337.855223880597
gen: 16 best: 294.1 mean: 337.5766169154229
gen: 17 best: 294.1 mean: 337.0636815920398
gen: 18 best: 294.1 mean: 337.1641791044776
gen >19, new best = 287.800
gen: 19 best: 287.8 mean: 336.33233830845774
gen: 20 best: 287.8 mean: 335.9761194029851
gen: 21 best: 287.8 mean: 334.5293532338308
gen: 22 best: 287.8 mean: 334.15820895522387
gen: 23 best: 287.8 mean: 334.6517412935323
gen >24, new best = 284.700
gen: 24 best: 284.7 mean: 333.5233830845771
gen: 25 best: 284.7 mean: 333.34776119402983
gen: 26 best: 284.7 mean: 333.5273631840796
gen: 27 best: 284.7 mean: 333.40398009950246
gen: 28 best: 284.7 mean: 331.99701492537315
gen: 29 best: 284.7 mean: 332.22039800995026
gen: 30 best: 284.7 mean: 333.4034825870647
gen: 31 best: 284.7 mean: 331.65820895522387
gen: 32 best: 284.7 mean: 331.763184079602
gen >33, new best = 264.800
gen: 33 best: 264.8 mean: 330.28109452736317
gen: 34 best: 264.8 mean: 330.58855721393036
gen: 35 best: 264.8 mean: 331.33432835820895
gen: 36 best: 264.8 mean: 330.763184079602
gen: 37 best: 264.8 mean: 330.8412935323383
gen: 38 best: 264.8 mean: 330.31094527363183
gen: 39 best: 264.8 mean: 330.07611940298506
gen: 40 best: 264.8 mean: 328.681592039801
gen: 41 best: 264.8 mean: 327.8502487562189
gen: 42 best: 264.8 mean: 328.892039800995
gen: 43 best: 264.8 mean: 328.326368159204
gen: 44 best: 264.8 mean: 327.76069651741295
gen: 45 best: 264.8 mean: 327.2398009950249
gen: 46 best: 264.8 mean: 327.236815920398
gen: 47 best: 264.8 mean: 326.23830845771147
gen: 48 best: 264.8 mean: 325.6597014925373
gen: 49 best: 264.8 mean: 325.4194029850746
gen: 50 best: 264.8 mean: 325.1029850746269
gen: 51 best: 264.8 mean: 325.4
gen: 52 best: 264.8 mean: 323.4636815920398
gen: 53 best: 264.8 mean: 323.8278606965174
gen: 54 best: 264.8 mean: 324.228855721393
gen: 55 best: 264.8 mean: 324.16766169154226
gen: 56 best: 264.8 mean: 323.0601990049751
gen: 57 best: 264.8 mean: 323.763184079602
gen: 58 best: 264.8 mean: 323.23731343283583
gen: 59 best: 264.8 mean: 323.32537313432834
gen: 60 best: 264.8 mean: 321.9721393034826
gen: 61 best: 264.8 mean: 323.15721393034823
gen: 62 best: 264.8 mean: 321.9721393034826
gen: 63 best: 264.8 mean: 320.4547263681592
gen: 64 best: 264.8 mean: 321.5039800995025
gen: 65 best: 264.8 mean: 321.62039800995024
gen: 66 best: 264.8 mean: 320.5716417910448
gen: 67 best: 264.8 mean: 320.1820895522388
gen: 68 best: 264.8 mean: 321.00597014925376
gen: 69 best: 264.8 mean: 319.84328358208955
gen: 70 best: 264.8 mean: 320.03781094527363
gen: 71 best: 264.8 mean: 321.1502487562189
gen: 72 best: 264.8 mean: 320.23830845771147
gen: 73 best: 264.8 mean: 320.1537313432836
gen: 74 best: 264.8 mean: 319.31641791044774
gen: 75 best: 264.8 mean: 318.6756218905473
gen: 76 best: 264.8 mean: 318.3174129353234
gen: 77 best: 264.8 mean: 319.03333333333336
gen: 78 best: 264.8 mean: 318.8636815920398
gen: 79 best: 264.8 mean: 318.9273631840796
gen: 80 best: 264.8 mean: 318.21144278606965
gen: 81 best: 264.8 mean: 317.02636815920397
gen: 82 best: 264.8 mean: 318.5044776119403
gen: 83 best: 264.8 mean: 318.173631840796
gen: 84 best: 264.8 mean: 318.43880597014925
gen: 85 best: 264.8 mean: 319.3004975124378
gen: 86 best: 264.8 mean: 318.3721393034826
gen: 87 best: 264.8 mean: 319.06716417910445
gen: 88 best: 264.8 mean: 317.7378109452736
gen: 89 best: 264.8 mean: 318.37810945273634
gen: 90 best: 264.8 mean: 318.37462686567164
gen: 91 best: 264.8 mean: 317.82487562189056
gen: 92 best: 264.8 mean: 317.1353233830846
gen: 93 best: 264.8 mean: 316.8258706467662
gen: 94 best: 264.8 mean: 317.036815920398
gen: 95 best: 264.8 mean: 316.3388059701493
gen: 96 best: 264.8 mean: 316.64179104477614
gen: 97 best: 264.8 mean: 315.5860696517413
gen: 98 best: 264.8 mean: 317.03880597014927
gen: 99 best: 264.8 mean: 315.64328358208957
