gen >0, new best = 312.100
gen >0, new best = 299.300
gen >0, new best = 294.700
gen >0, new best = 284.700
gen: 0 best: 284.7 mean: 315.35149253731345
gen >1, new best = 281.500
gen: 1 best: 281.5 mean: 315.0363184079602
gen: 2 best: 281.5 mean: 315.1323383084577
gen >3, new best = 281.200
gen: 3 best: 281.2 mean: 314.4303482587065
gen: 4 best: 281.2 mean: 314.2457711442786
gen >5, new best = 277.200
gen: 5 best: 277.2 mean: 313.163184079602
gen: 6 best: 277.2 mean: 312.9139303482587
gen >7, new best = 265.400
gen: 7 best: 265.4 mean: 313.1592039800995
gen: 8 best: 265.4 mean: 313.4502487562189
gen: 9 best: 265.4 mean: 311.8358208955224
gen: 10 best: 265.4 mean: 312.9134328358209
gen: 11 best: 265.4 mean: 309.76666666666665
gen: 12 best: 265.4 mean: 310.94776119402985
gen: 13 best: 265.4 mean: 309.3149253731343
gen >14, new best = 264.100
gen: 14 best: 264.1 mean: 309.1323383084577
gen: 15 best: 264.1 mean: 308.6980099502488
gen: 16 best: 264.1 mean: 306.7139303482587
gen: 17 best: 264.1 mean: 306.70298507462684
gen: 18 best: 264.1 mean: 306.5776119402985
gen >19, new best = 246.700
gen: 19 best: 246.7 mean: 306.59203980099505
gen: 20 best: 246.7 mean: 305.6412935323383
gen: 21 best: 246.7 mean: 305.1641791044776
gen: 22 best: 246.7 mean: 304.5582089552239
gen: 23 best: 246.7 mean: 303.5233830845771
gen: 24 best: 246.7 mean: 303.6577114427861
gen: 25 best: 246.7 mean: 303.1577114427861
gen: 26 best: 246.7 mean: 302.9273631840796
gen: 27 best: 246.7 mean: 301.93134328358207
gen: 28 best: 246.7 mean: 301.9398009950249
gen: 29 best: 246.7 mean: 301.0751243781095
gen: 30 best: 246.7 mean: 299.72636815920396
gen: 31 best: 246.7 mean: 298.6208955223881
gen: 32 best: 246.7 mean: 299.2716417910448
gen >33, new best = 234.500
gen: 33 best: 234.5 mean: 298.9283582089552
gen: 34 best: 234.5 mean: 297.6810945273632
gen: 35 best: 234.5 mean: 296.77512437810947
gen: 36 best: 234.5 mean: 297.57462686567163
gen: 37 best: 234.5 mean: 296.15323383084575
gen: 38 best: 234.5 mean: 295.9925373134328
gen: 39 best: 234.5 mean: 296.4467661691542
gen: 40 best: 234.5 mean: 295.9910447761194
gen: 41 best: 234.5 mean: 295.79353233830847
gen: 42 best: 234.5 mean: 295.60547263681593
gen: 43 best: 234.5 mean: 294.94228855721394
gen: 44 best: 234.5 mean: 294.55572139303484
gen: 45 best: 234.5 mean: 294.96965174129355
gen: 46 best: 234.5 mean: 294.3676616915423
gen >47, new best = 228.600
gen: 47 best: 228.6 mean: 293.05223880597015
gen: 48 best: 228.6 mean: 293.6910447761194
gen: 49 best: 228.6 mean: 293.3502487562189
gen: 50 best: 228.6 mean: 292.84378109452734
gen: 51 best: 228.6 mean: 292.48258706467664
gen: 52 best: 228.6 mean: 291.41592039801
gen: 53 best: 228.6 mean: 292.3238805970149
gen: 54 best: 228.6 mean: 291.62139303482587
gen: 55 best: 228.6 mean: 291.85074626865674
gen: 56 best: 228.6 mean: 291.02537313432833
gen: 57 best: 228.6 mean: 290.3144278606965
gen: 58 best: 228.6 mean: 290.08308457711445
gen: 59 best: 228.6 mean: 290.66915422885575
gen: 60 best: 228.6 mean: 290.8298507462687
gen: 61 best: 228.6 mean: 289.6208955223881
gen: 62 best: 228.6 mean: 289.90696517412937
gen: 63 best: 228.6 mean: 289.02985074626866
gen: 64 best: 228.6 mean: 288.77064676616914
gen: 65 best: 228.6 mean: 288.934328358209
gen: 66 best: 228.6 mean: 289.74477611940296
gen: 67 best: 228.6 mean: 288.4363184079602
gen: 68 best: 228.6 mean: 286.8686567164179
gen: 69 best: 228.6 mean: 288.2253731343284
gen: 70 best: 228.6 mean: 287.23731343283583
gen: 71 best: 228.6 mean: 286.27611940298505
gen: 72 best: 228.6 mean: 286.0422885572139
gen: 73 best: 228.6 mean: 285.0189054726368
gen: 74 best: 228.6 mean: 284.9577114427861
gen: 75 best: 228.6 mean: 284.3179104477612
gen: 76 best: 228.6 mean: 284.247263681592
gen: 77 best: 228.6 mean: 285.2014925373134
gen: 78 best: 228.6 mean: 284.69850746268656
gen: 79 best: 228.6 mean: 284.09751243781096
gen: 80 best: 228.6 mean: 284.5726368159204
gen: 81 best: 228.6 mean: 285.5995024875622
gen: 82 best: 228.6 mean: 285.1557213930348
gen: 83 best: 228.6 mean: 283.5950248756219
gen: 84 best: 228.6 mean: 282.7746268656716
gen: 85 best: 228.6 mean: 282.55970149253733
gen: 86 best: 228.6 mean: 283.11243781094527
gen: 87 best: 228.6 mean: 282.692039800995
gen: 88 best: 228.6 mean: 281.98407960199006
gen: 89 best: 228.6 mean: 282.7786069651741
gen: 90 best: 228.6 mean: 281.5462686567164
gen: 91 best: 228.6 mean: 282.51542288557215
gen: 92 best: 228.6 mean: 281.40199004975125
gen: 93 best: 228.6 mean: 281.85671641791043
gen: 94 best: 228.6 mean: 280.7437810945274
gen: 95 best: 228.6 mean: 280.34527363184077
gen: 96 best: 228.6 mean: 280.8144278606965
gen: 97 best: 228.6 mean: 280.0348258706468
gen: 98 best: 228.6 mean: 281.17164179104475
gen: 99 best: 228.6 mean: 278.8940298507463
