gen >0, new best = 333.300
gen >0, new best = 322.900
gen >0, new best = 322.800
gen >0, new best = 301.800
gen >0, new best = 301.300
gen >0, new best = 280.600
gen: 0 best: 280.6 mean: 332.1149253731343
gen: 1 best: 280.6 mean: 331.4905472636816
gen: 2 best: 280.6 mean: 330.76616915422886
gen: 3 best: 280.6 mean: 329.8676616915423
gen: 4 best: 280.6 mean: 330.3179104477612
gen: 5 best: 280.6 mean: 328.7268656716418
gen >6, new best = 279.600
gen: 6 best: 279.6 mean: 329.53432835820894
gen: 7 best: 279.6 mean: 327.6278606965174
gen: 8 best: 279.6 mean: 325.8686567164179
gen: 9 best: 279.6 mean: 327.25174129353235
gen: 10 best: 279.6 mean: 325.2487562189055
gen >11, new best = 262.800
gen: 11 best: 262.8 mean: 324.23930348258705
gen: 12 best: 262.8 mean: 323.2532338308458
gen: 13 best: 262.8 mean: 323.4144278606965
gen: 14 best: 262.8 mean: 322.6611940298507
gen: 15 best: 262.8 mean: 321.4194029850746
gen: 16 best: 262.8 mean: 320.13084577114427
gen: 17 best: 262.8 mean: 320.43830845771146
gen: 18 best: 262.8 mean: 317.97014925373134
gen: 19 best: 262.8 mean: 317.1960199004975
gen: 20 best: 262.8 mean: 318.86716417910446
gen: 21 best: 262.8 mean: 317.69353233830844
gen: 22 best: 262.8 mean: 319.10348258706466
gen: 23 best: 262.8 mean: 317.53582089552236
gen: 24 best: 262.8 mean: 316.6597014925373
gen: 25 best: 262.8 mean: 318.23532338308456
gen: 26 best: 262.8 mean: 316.10199004975124
gen: 27 best: 262.8 mean: 316.87412935323385
gen: 28 best: 262.8 mean: 316.644776119403
gen: 29 best: 262.8 mean: 315.6681592039801
gen: 30 best: 262.8 mean: 314.8169154228856
gen: 31 best: 262.8 mean: 314.19303482587065
gen: 32 best: 262.8 mean: 313.25572139303483
gen: 33 best: 262.8 mean: 312.6636815920398
gen: 34 best: 262.8 mean: 312.1194029850746
gen: 35 best: 262.8 mean: 314.30298507462686
gen: 36 best: 262.8 mean: 312.3791044776119
gen: 37 best: 262.8 mean: 311.64726368159205
gen: 38 best: 262.8 mean: 311.0348258706468
gen: 39 best: 262.8 mean: 310.3661691542288
gen: 40 best: 262.8 mean: 310.29203980099504
gen: 41 best: 262.8 mean: 311.2348258706468
gen: 42 best: 262.8 mean: 310.2283582089552
gen: 43 best: 262.8 mean: 310.8820895522388
gen: 44 best: 262.8 mean: 310.1283582089552
gen: 45 best: 262.8 mean: 310.67313432835823
gen: 46 best: 262.8 mean: 310.99751243781094
gen: 47 best: 262.8 mean: 310.69651741293535
gen: 48 best: 262.8 mean: 309.3174129353234
gen: 49 best: 262.8 mean: 310.0348258706468
gen: 50 best: 262.8 mean: 310.79253731343283
gen >51, new best = 261.600
gen: 51 best: 261.6 mean: 309.7487562189055
gen: 52 best: 261.6 mean: 308.5582089552239
gen: 53 best: 261.6 mean: 309.11442786069654
gen: 54 best: 261.6 mean: 309.17164179104475
gen: 55 best: 261.6 mean: 308.88855721393037
gen: 56 best: 261.6 mean: 307.76965174129356
gen: 57 best: 261.6 mean: 306.7800995024876
gen >58, new best = 254.900
gen: 58 best: 254.9 mean: 307.76666666666665
gen: 59 best: 254.9 mean: 308.6139303482587
gen >60, new best = 240.700
gen: 60 best: 240.7 mean: 308.4268656716418
gen: 61 best: 240.7 mean: 308.1024875621891
gen: 62 best: 240.7 mean: 307.82338308457713
gen: 63 best: 240.7 mean: 306.6333333333333
gen: 64 best: 240.7 mean: 306.99701492537315
gen: 65 best: 240.7 mean: 307.38855721393037
gen: 66 best: 240.7 mean: 306.92985074626864
gen: 67 best: 240.7 mean: 306.47860696517415
gen: 68 best: 240.7 mean: 306.7597014925373
gen: 69 best: 240.7 mean: 305.78457711442786
gen: 70 best: 240.7 mean: 305.32537313432834
gen: 71 best: 240.7 mean: 305.5014925373134
gen: 72 best: 240.7 mean: 305.53880597014927
gen: 73 best: 240.7 mean: 306.336815920398
gen: 74 best: 240.7 mean: 304.13980099502487
gen: 75 best: 240.7 mean: 302.76169154228853
gen: 76 best: 240.7 mean: 305.8512437810945
gen: 77 best: 240.7 mean: 305.34726368159204
gen: 78 best: 240.7 mean: 304.46417910447764
gen: 79 best: 240.7 mean: 304.1303482587065
gen: 80 best: 240.7 mean: 303.4233830845771
gen: 81 best: 240.7 mean: 305.50995024875624
gen: 82 best: 240.7 mean: 304.77512437810947
gen: 83 best: 240.7 mean: 304.0402985074627
gen: 84 best: 240.7 mean: 303.87512437810943
gen: 85 best: 240.7 mean: 304.3646766169154
gen: 86 best: 240.7 mean: 304.0810945273632
gen: 87 best: 240.7 mean: 303.88706467661694
gen: 88 best: 240.7 mean: 302.963184079602
gen: 89 best: 240.7 mean: 303.3059701492537
gen: 90 best: 240.7 mean: 303.1303482587065
gen: 91 best: 240.7 mean: 303.7417910447761
gen: 92 best: 240.7 mean: 301.9537313432836
gen: 93 best: 240.7 mean: 303.3273631840796
gen: 94 best: 240.7 mean: 304.04129353233833
gen: 95 best: 240.7 mean: 302.9676616915423
gen: 96 best: 240.7 mean: 304.46069651741294
gen: 97 best: 240.7 mean: 302.89303482587064
gen: 98 best: 240.7 mean: 302.63781094527366
gen: 99 best: 240.7 mean: 303.05621890547263
