Generation,mean,best
0,516.4820895522388,494.4
1,515.5333333333333,492.9
2,517.0442786069651,492.9
3,514.1636815920398,489.6
4,513.8726368159204,489.6
5,512.2388059701492,487.6
6,512.9781094527364,487.6
7,511.49004975124376,487.0
8,509.39800995024876,487.0
9,511.1059701492537,487.0
10,508.77363184079604,485.0
11,508.6353233830846,484.7
12,507.0860696517413,484.1
13,507.12338308457714,484.1
14,506.1810945273632,484.1
15,505.2407960199005,483.9
16,505.17114427860696,476.8
17,504.6462686567164,476.8
18,504.426368159204,476.8
19,503.34328358208955,476.8
20,501.5636815920398,476.8
21,501.85223880597016,475.3
22,501.5273631840796,475.3
23,500.6154228855721,472.8
24,500.1502487562189,472.8
25,498.0676616915423,464.1
26,496.9084577114428,464.1
27,497.74825870646765,464.1
28,497.65472636815923,464.1
29,494.8179104477612,464.1
30,494.5129353233831,464.1
31,493.836815920398,464.1
32,493.7621890547264,464.1
33,492.0124378109453,464.1
34,492.2497512437811,464.1
35,491.8039800995025,464.1
36,492.2363184079602,463.6
37,490.0641791044776,463.6
38,490.6960199004975,463.6
39,489.69502487562187,463.6
40,490.80497512437813,463.6
41,488.2054726368159,463.6
42,488.6323383084577,463.6
43,488.8661691542288,463.6
44,486.7452736318408,452.9
45,486.9034825870647,452.9
46,486.05273631840794,452.9
47,484.93830845771146,452.9
48,485.7134328358209,452.9
49,485.03781094527363,452.9
50,483.88855721393037,452.9
51,484.54875621890545,452.9
52,483.90696517412937,452.9
53,483.70995024875623,452.9
54,482.6537313432836,449.0
55,483.50796019900497,449.0
56,483.53333333333336,449.0
57,482.4522388059701,449.0
58,481.49751243781094,449.0
59,480.17164179104475,449.0
60,480.7910447761194,449.0
61,480.27910447761195,449.0
62,480.0044776119403,449.0
63,479.5407960199005,449.0
64,480.1940298507463,449.0
65,479.22437810945274,449.0
66,478.68009950248756,449.0
67,478.72487562189053,449.0
68,477.0696517412935,449.0
69,477.1363184079602,443.4
70,476.4925373134328,443.4
71,477.35572139303486,443.4
72,476.0089552238806,443.4
73,476.37462686567164,443.4
74,475.5786069651741,443.4
75,474.6671641791045,443.4
76,475.1666666666667,443.4
77,475.55572139303484,443.4
78,474.0587064676617,443.4
79,474.307960199005,443.4
80,473.30845771144277,437.7
81,473.19751243781093,437.7
82,471.5582089552239,437.7
83,473.7592039800995,437.7
84,472.56119402985075,437.7
85,472.49004975124376,437.7
86,473.73333333333335,437.7
87,472.5691542288557,437.7
88,471.87014925373137,437.7
89,471.45870646766167,437.7
90,469.83432835820895,437.7
91,470.66069651741293,437.7
92,471.16567164179105,437.7
93,471.9875621890547,437.7
94,470.565671641791,437.7
95,470.0537313432836,437.7
96,470.43830845771146,437.7
97,469.81194029850747,437.7
98,469.23731343283583,437.7
99,469.9213930348259,437.7
