Generation,mean,best
0,669.3960199004975,603.4
1,666.7318407960199,595.4
2,667.9238805970149,595.4
3,665.9502487562189,595.4
4,665.5442786069651,595.4
5,663.4835820895522,574.9
6,662.5970149253732,574.9
7,661.1701492537313,574.9
8,663.420895522388,574.9
9,662.3512437810946,573.5
10,661.352736318408,573.5
11,661.0885572139304,573.5
12,662.1343283582089,573.5
13,660.6298507462686,573.5
14,660.0597014925373,573.5
15,659.7776119402985,573.5
16,657.2522388059701,573.5
17,659.0378109452737,573.5
18,656.4865671641791,573.5
19,656.0243781094528,573.5
20,655.81592039801,573.5
21,656.1716417910447,573.5
22,652.7641791044776,573.5
23,653.5761194029851,573.5
24,654.1955223880597,573.5
25,653.3492537313433,573.5
26,652.7985074626865,573.5
27,652.9751243781094,573.5
28,650.7582089552238,573.5
29,650.4587064676617,573.5
30,649.5935323383085,573.5
31,650.707960199005,573.5
32,650.4253731343283,573.5
33,647.739303482587,573.5
34,648.5452736318408,573.5
35,646.7213930348258,560.1
36,646.81592039801,560.1
37,646.289552238806,560.1
38,646.9925373134329,560.1
39,646.5955223880597,560.1
40,645.9835820895522,560.1
41,645.510447761194,552.4
42,647.3611940298507,552.4
43,646.1402985074627,552.4
44,646.5417910447761,552.4
45,646.1865671641791,552.4
46,644.3154228855722,552.4
47,646.0268656716418,552.4
48,644.2537313432836,552.4
49,645.3119402985075,552.4
50,644.2930348258707,552.4
51,644.2776119402985,552.4
52,643.1751243781094,508.3
53,644.818407960199,508.3
54,642.9567164179105,508.3
55,642.8169154228856,508.3
56,640.4069651741294,508.3
57,644.2781094527363,508.3
58,643.5169154228855,508.3
59,641.9701492537314,508.3
60,643.4358208955224,508.3
61,643.602487562189,508.3
62,642.8109452736319,508.3
63,642.7014925373135,508.3
64,642.9417910447761,508.3
65,641.1666666666666,508.3
66,641.0597014925373,508.3
67,641.1512437810945,508.3
68,641.789552238806,508.3
69,640.2985074626865,508.3
70,641.3358208955224,508.3
71,641.2313432835821,508.3
72,640.3303482587065,508.3
73,640.8502487562189,508.3
74,639.4004975124378,508.3
75,641.036815920398,508.3
76,640.2890547263681,508.3
77,638.6935323383085,508.3
78,638.7512437810946,508.3
79,638.8223880597014,508.3
80,638.1263681592039,508.3
81,639.0049751243781,508.3
82,639.7383084577115,508.3
83,638.9487562189055,508.3
84,639.8741293532338,508.3
85,638.2283582089552,508.3
86,639.9746268656717,508.3
87,638.0870646766169,508.3
88,640.8492537313433,508.3
89,639.4930348258706,508.3
90,637.5835820895522,508.3
91,639.0273631840796,508.3
92,638.1134328358208,508.3
93,639.3776119402985,508.3
94,638.9517412935323,508.3
95,639.0995024875622,508.3
96,641.0741293532338,508.3
97,639.579104477612,508.3
98,638.8860696517413,508.3
99,638.9791044776119,508.3
random,"([[18], [588], [171, 215], [168, 210, 845, 957], [44, 277, 435, 525, 570, 615, 712, 723, 792, 943], [10, 42, 50, 64, 66, 123, 183, 189, 206, 229, 269, 283, 298, 324, 346, 362, 383, 411, 419, 423, 439, 453, 468, 481, 485, 529, 533, 541, 548, 559, 603, 619, 649, 707, 739, 780, 784, 786, 855, 876, 877, 903, 937, 960, 988, 995, 1003, 1018], [20, 25, 31, 32, 36, 37, 38, 47, 49, 59, 67, 72, 76, 78, 84, 85, 93, 104, 109, 113, 118, 127, 139, 150, 153, 161, 162, 174, 175, 188, 194, 241, 248, 282, 293, 300, 306, 316, 320, 323, 326, 332, 337, 345, 351, 354, 356, 358, 375, 377, 385, 394, 398, 404, 407, 415, 427, 428, 432, 437, 442, 443, 445, 446, 450, 456, 460, 461, 464, 475, 476, 483, 492, 502, 534, 538, 544, 546, 550, 555, 557, 565, 567, 574, 578, 587, 606, 613, 623, 628, 632, 653, 655, 664, 669, 695, 702, 715, 719, 721, 726, 731, 736, 738, 743, 747, 752, 766, 769, 770, 776, 781, 795, 796, 809, 810, 818, 819, 835, 840, 842, 846, 858, 864, 868, 871, 872, 875, 890, 891, 918, 922, 941, 948, 949, 954, 967, 969, 972, 974, 977, 984, 990, 994, 998, 1004, 1007, 1013, 1015, 1023], [1, 3, 11, 24, 30, 51, 61, 75, 82, 89, 96, 122, 128, 129, 132, 134, 148, 157, 158, 166, 178, 182, 198, 202, 204, 205, 213, 220, 221, 230, 233, 234, 238, 245, 268, 276, 287, 296, 309, 310, 317, 321, 335, 348, 350, 352, 353, 357, 366, 367, 369, 373, 374, 382, 387, 389, 397, 401, 402, 405, 414, 420, 430, 433, 436, 447, 451, 454, 457, 462, 467, 469, 471, 472, 477, 478, 482, 490, 500, 504, 509, 513, 514, 516, 519, 524, 526, 545, 556, 569, 575, 579, 582, 583, 585, 589, 598, 600, 616, 620, 629, 630, 640, 660, 661, 674, 676, 679, 681, 682, 684, 687, 690, 698, 704, 706, 709, 713, 714, 716, 720, 724, 725, 730, 740, 746, 758, 764, 773, 775, 782, 787, 788, 802, 813, 814, 816, 822, 826, 834, 838, 857, 859, 861, 862, 863, 866, 880, 886, 894, 907, 914, 923, 925, 927, 942, 956, 963, 965, 993, 997, 1001, 1010, 1012, 1019, 1020], [5, 7, 8, 45, 48, 55, 56, 60, 65, 74, 79, 87, 95, 107, 108, 114, 125, 141, 147, 172, 186, 196, 201, 208, 222, 224, 242, 253, 256, 257, 261, 262, 267, 271, 274, 285, 288, 289, 294, 295, 307, 311, 333, 334, 339, 355, 371, 372, 399, 410, 412, 416, 422, 438, 441, 463, 479, 489, 491, 494, 497, 498, 510, 521, 523, 536, 549, 552, 573, 593, 604, 605, 611, 618, 636, 638, 643, 645, 647, 651, 652, 658, 671, 673, 680, 683, 691, 693, 694, 700, 703, 728, 748, 755, 757, 763, 772, 807, 815, 824, 836, 844, 869, 882, 883, 888, 901, 920, 921, 929, 934, 938, 950, 952, 953, 971, 973, 978, 980, 981, 982, 986, 996, 1014, 1022], [0, 26, 29, 62, 68, 71, 73, 81, 92, 105, 106, 164, 173, 193, 195, 199, 209, 214, 218, 240, 246, 250, 259, 260, 308, 325, 327, 328, 330, 331, 341, 342, 349, 384, 391, 393, 424, 466, 486, 501, 518, 553, 563, 564, 566, 576, 608, 633, 646, 650, 656, 663, 699, 701, 705, 735, 745, 762, 767, 771, 783, 794, 820, 821, 828, 832, 839, 841, 847, 865, 889, 899, 904, 906, 946, 947, 962, 976, 979, 1016, 1017], [23, 35, 70, 135, 151, 165, 203, 217, 249, 263, 361, 364, 396, 403, 409, 429, 434, 440, 449, 493, 531, 532, 551, 577, 610, 689, 717, 749, 756, 761, 793, 853, 879, 885, 887, 905, 916, 930, 944, 992, 1002, 1006], [22, 101, 117, 120, 187, 191, 197, 219, 280, 365, 413, 421, 487, 488, 506, 586, 617, 641, 675, 696, 710, 798, 850, 909, 928, 939, 1005], [43, 97, 110, 154, 177, 216, 244, 301, 363, 540, 558, 581, 592, 599, 851, 935, 1009], [2, 112, 137, 138, 329, 360, 378, 455, 624, 642, 774, 804, 856, 983], [140, 149, 270, 340, 408, 571, 594, 800, 959], [126, 136, 252, 336, 444, 480, 496, 539, 831], [53, 102, 142, 319, 425, 753, 765, 808, 833, 936], [143, 291, 635], []], 719, 6, 11)"
