gen >0, new best = 673.700
gen >0, new best = 670.800
gen >0, new best = 656.100
gen >0, new best = 650.700
gen >0, new best = 635.100
gen >0, new best = 606.500
gen >0, new best = 588.400
gen: 0 best: 588.4 mean: 668.5731343283582
gen: 1 best: 588.4 mean: 668.8119402985075
gen: 2 best: 588.4 mean: 668.1621890547264
gen >3, new best = 582.900
gen >3, new best = 581.700
gen: 3 best: 581.7 mean: 665.8970149253731
gen: 4 best: 581.7 mean: 665.0621890547263
gen: 5 best: 581.7 mean: 664.9995024875622
gen: 6 best: 581.7 mean: 665.0477611940298
gen: 7 best: 581.7 mean: 663.3273631840796
gen: 8 best: 581.7 mean: 664.0691542288557
gen: 9 best: 581.7 mean: 662.6268656716418
gen: 10 best: 581.7 mean: 662.2621890547264
gen: 11 best: 581.7 mean: 660.202487562189
gen: 12 best: 581.7 mean: 661.6741293532339
gen >13, new best = 540.100
gen: 13 best: 540.1 mean: 659.7756218905473
gen: 14 best: 540.1 mean: 660.150248756219
gen: 15 best: 540.1 mean: 657.5786069651741
gen: 16 best: 540.1 mean: 656.6651741293532
gen: 17 best: 540.1 mean: 656.4925373134329
gen: 18 best: 540.1 mean: 655.1850746268657
gen: 19 best: 540.1 mean: 655.028855721393
gen: 20 best: 540.1 mean: 657.9512437810945
gen: 21 best: 540.1 mean: 655.7223880597015
gen: 22 best: 540.1 mean: 655.8199004975124
gen: 23 best: 540.1 mean: 654.189552238806
gen: 24 best: 540.1 mean: 654.4283582089553
gen: 25 best: 540.1 mean: 651.7845771144279
gen: 26 best: 540.1 mean: 652.1676616915423
gen: 27 best: 540.1 mean: 651.5407960199005
gen: 28 best: 540.1 mean: 650.5766169154228
gen: 29 best: 540.1 mean: 649.5537313432836
gen: 30 best: 540.1 mean: 649.8014925373134
gen: 31 best: 540.1 mean: 649.6900497512438
gen: 32 best: 540.1 mean: 647.8731343283582
gen: 33 best: 540.1 mean: 648.0
gen: 34 best: 540.1 mean: 647.4726368159204
gen: 35 best: 540.1 mean: 646.428855721393
gen: 36 best: 540.1 mean: 644.9159203980099
gen: 37 best: 540.1 mean: 646.3233830845771
gen: 38 best: 540.1 mean: 645.676119402985
gen: 39 best: 540.1 mean: 645.0378109452736
gen: 40 best: 540.1 mean: 645.5925373134328
gen: 41 best: 540.1 mean: 644.618407960199
gen: 42 best: 540.1 mean: 645.1348258706468
gen: 43 best: 540.1 mean: 642.6402985074627
gen: 44 best: 540.1 mean: 642.3890547263682
gen: 45 best: 540.1 mean: 641.971144278607
gen: 46 best: 540.1 mean: 640.7845771144279
gen: 47 best: 540.1 mean: 642.3109452736319
gen: 48 best: 540.1 mean: 640.4766169154229
gen: 49 best: 540.1 mean: 641.6373134328359
gen: 50 best: 540.1 mean: 639.7363184079602
gen: 51 best: 540.1 mean: 641.5641791044776
gen: 52 best: 540.1 mean: 640.5970149253732
gen: 53 best: 540.1 mean: 639.9094527363184
gen: 54 best: 540.1 mean: 639.8855721393035
gen: 55 best: 540.1 mean: 637.2567164179104
gen: 56 best: 540.1 mean: 638.0004975124378
gen: 57 best: 540.1 mean: 638.3562189054726
gen: 58 best: 540.1 mean: 638.3154228855722
gen: 59 best: 540.1 mean: 638.176119402985
gen: 60 best: 540.1 mean: 637.9353233830846
gen: 61 best: 540.1 mean: 635.6970149253731
gen: 62 best: 540.1 mean: 636.639303482587
gen: 63 best: 540.1 mean: 633.5577114427861
gen: 64 best: 540.1 mean: 634.7830845771144
gen: 65 best: 540.1 mean: 635.542288557214
gen: 66 best: 540.1 mean: 633.9139303482588
gen: 67 best: 540.1 mean: 632.092039800995
gen: 68 best: 540.1 mean: 633.4094527363184
gen: 69 best: 540.1 mean: 634.1965174129353
gen: 70 best: 540.1 mean: 633.4029850746268
gen: 71 best: 540.1 mean: 632.1960199004975
gen: 72 best: 540.1 mean: 631.8651741293532
gen: 73 best: 540.1 mean: 632.1432835820896
gen: 74 best: 540.1 mean: 631.6432835820896
gen: 75 best: 540.1 mean: 631.4363184079602
gen: 76 best: 540.1 mean: 630.8328358208955
gen: 77 best: 540.1 mean: 629.3985074626866
gen: 78 best: 540.1 mean: 631.4129353233831
gen: 79 best: 540.1 mean: 631.6383084577114
gen: 80 best: 540.1 mean: 629.2273631840796
gen: 81 best: 540.1 mean: 630.8492537313433
gen: 82 best: 540.1 mean: 628.3154228855722
gen: 83 best: 540.1 mean: 626.8701492537314
gen: 84 best: 540.1 mean: 628.5895522388059
gen: 85 best: 540.1 mean: 630.3154228855722
gen: 86 best: 540.1 mean: 626.9373134328358
gen: 87 best: 540.1 mean: 628.8611940298507
gen: 88 best: 540.1 mean: 627.9761194029851
gen: 89 best: 540.1 mean: 627.868656716418
gen: 90 best: 540.1 mean: 628.5572139303482
gen: 91 best: 540.1 mean: 626.5567164179105
gen: 92 best: 540.1 mean: 625.7696517412935
gen: 93 best: 540.1 mean: 626.4094527363184
gen: 94 best: 540.1 mean: 628.3388059701492
gen: 95 best: 540.1 mean: 626.6233830845771
gen: 96 best: 540.1 mean: 623.8880597014926
gen: 97 best: 540.1 mean: 625.3791044776119
gen: 98 best: 540.1 mean: 627.6004975124379
gen: 99 best: 540.1 mean: 624.9333333333333
