gen >0, new best = 523.400
gen >0, new best = 506.400
gen >0, new best = 504.600
gen >0, new best = 473.900
gen: 0 best: 473.9 mean: 579.3059701492538
gen >1, new best = 468.200
gen: 1 best: 468.2 mean: 570.4432835820895
gen >2, new best = 447.500
gen: 2 best: 447.5 mean: 556.3383084577115
gen: 3 best: 447.5 mean: 556.0572139303482
gen >4, new best = 418.400
gen: 4 best: 418.4 mean: 544.2701492537313
gen: 5 best: 418.4 mean: 545.2457711442786
gen: 6 best: 418.4 mean: 539.5213930348259
gen: 7 best: 418.4 mean: 532.9019900497512
gen: 8 best: 418.4 mean: 534.4606965174129
gen: 9 best: 418.4 mean: 535.5203980099502
gen: 10 best: 418.4 mean: 531.3218905472637
gen: 11 best: 418.4 mean: 530.2830845771144
gen: 12 best: 418.4 mean: 532.7427860696517
gen: 13 best: 418.4 mean: 524.736815920398
gen: 14 best: 418.4 mean: 527.1601990049751
gen: 15 best: 418.4 mean: 524.928855721393
gen: 16 best: 418.4 mean: 523.1348258706468
gen: 17 best: 418.4 mean: 519.5810945273632
gen: 18 best: 418.4 mean: 518.0442786069651
gen: 19 best: 418.4 mean: 515.6358208955224
gen: 20 best: 418.4 mean: 510.9542288557214
gen: 21 best: 418.4 mean: 514.1442786069651
gen: 22 best: 418.4 mean: 513.4268656716417
gen: 23 best: 418.4 mean: 511.2164179104478
gen: 24 best: 418.4 mean: 506.3641791044776
gen >25, new best = 415.200
gen: 25 best: 415.2 mean: 499.89253731343285
gen: 26 best: 415.2 mean: 502.77412935323383
gen: 27 best: 415.2 mean: 497.5134328358209
gen: 28 best: 415.2 mean: 502.3358208955224
gen >29, new best = 397.300
gen: 29 best: 397.3 mean: 497.565671641791
gen: 30 best: 397.3 mean: 497.681592039801
gen: 31 best: 397.3 mean: 496.5318407960199
gen: 32 best: 397.3 mean: 495.0641791044776
gen: 33 best: 397.3 mean: 494.6049751243781
gen: 34 best: 397.3 mean: 494.452736318408
gen: 35 best: 397.3 mean: 491.2009950248756
gen: 36 best: 397.3 mean: 493.6796019900498
gen: 37 best: 397.3 mean: 486.89104477611943
gen: 38 best: 397.3 mean: 486.8089552238806
gen: 39 best: 397.3 mean: 487.57412935323384
gen: 40 best: 397.3 mean: 486.11641791044775
gen: 41 best: 397.3 mean: 485.32885572139304
gen: 42 best: 397.3 mean: 483.83781094527365
gen >43, new best = 388.400
gen: 43 best: 388.4 mean: 482.918407960199
gen: 44 best: 388.4 mean: 484.6407960199005
gen: 45 best: 388.4 mean: 483.87462686567164
gen: 46 best: 388.4 mean: 482.65621890547266
gen: 47 best: 388.4 mean: 481.1925373134328
gen: 48 best: 388.4 mean: 480.5786069651741
gen: 49 best: 388.4 mean: 481.0149253731343
gen: 50 best: 388.4 mean: 478.0139303482587
gen: 51 best: 388.4 mean: 480.57014925373136
gen: 52 best: 388.4 mean: 478.93930348258704
gen: 53 best: 388.4 mean: 478.87810945273634
gen: 54 best: 388.4 mean: 477.3557213930348
gen: 55 best: 388.4 mean: 476.7507462686567
gen: 56 best: 388.4 mean: 476.5363184079602
gen: 57 best: 388.4 mean: 476.30248756218907
gen: 58 best: 388.4 mean: 476.66218905472635
gen: 59 best: 388.4 mean: 476.1044776119403
gen: 60 best: 388.4 mean: 475.3721393034826
gen: 61 best: 388.4 mean: 477.52288557213933
gen: 62 best: 388.4 mean: 478.67313432835823
gen: 63 best: 388.4 mean: 479.1910447761194
gen: 64 best: 388.4 mean: 476.3243781094527
gen: 65 best: 388.4 mean: 479.1194029850746
gen: 66 best: 388.4 mean: 476.9965174129353
gen: 67 best: 388.4 mean: 474.7965174129353
gen: 68 best: 388.4 mean: 477.09203980099505
gen: 69 best: 388.4 mean: 478.18457711442784
gen: 70 best: 388.4 mean: 475.89452736318407
gen: 71 best: 388.4 mean: 477.83781094527365
gen: 72 best: 388.4 mean: 475.0681592039801
gen: 73 best: 388.4 mean: 475.98407960199006
gen: 74 best: 388.4 mean: 475.4189054726368
gen: 75 best: 388.4 mean: 471.15820895522387
gen: 76 best: 388.4 mean: 472.56467661691545
gen: 77 best: 388.4 mean: 472.4134328358209
gen: 78 best: 388.4 mean: 473.96069651741294
gen: 79 best: 388.4 mean: 475.4303482587065
gen: 80 best: 388.4 mean: 471.5512437810945
gen: 81 best: 388.4 mean: 473.2348258706468
gen: 82 best: 388.4 mean: 470.79800995024874
gen: 83 best: 388.4 mean: 471.9721393034826
gen: 84 best: 388.4 mean: 473.93333333333334
gen: 85 best: 388.4 mean: 473.6830845771144
gen: 86 best: 388.4 mean: 469.7228855721393
gen: 87 best: 388.4 mean: 472.9592039800995
gen: 88 best: 388.4 mean: 470.11044776119405
gen: 89 best: 388.4 mean: 474.4766169154229
gen: 90 best: 388.4 mean: 471.16069651741293
gen: 91 best: 388.4 mean: 472.2835820895522
gen: 92 best: 388.4 mean: 465.7820895522388
gen: 93 best: 388.4 mean: 472.547263681592
gen: 94 best: 388.4 mean: 469.6542288557214
gen: 95 best: 388.4 mean: 468.00696517412933
gen: 96 best: 388.4 mean: 469.1820895522388
gen: 97 best: 388.4 mean: 469.57064676616915
gen: 98 best: 388.4 mean: 470.5776119402985
gen: 99 best: 388.4 mean: 468.126368159204
