gen >0, new best = 693.300
gen >0, new best = 691.600
gen >0, new best = 686.800
gen >0, new best = 685.800
gen: 0 best: 685.8 mean: 711.9114427860696
gen >1, new best = 672.700
gen: 1 best: 672.7 mean: 711.2467661691542
gen: 2 best: 672.7 mean: 710.5268656716418
gen >3, new best = 672.600
gen: 3 best: 672.6 mean: 707.7373134328358
gen: 4 best: 672.6 mean: 706.5840796019901
gen: 5 best: 672.6 mean: 705.9537313432836
gen >6, new best = 667.400
gen: 6 best: 667.4 mean: 706.4124378109452
gen >7, new best = 627.400
gen: 7 best: 627.4 mean: 705.0557213930348
gen >8, new best = 622.900
gen: 8 best: 622.9 mean: 704.9611940298507
gen: 9 best: 622.9 mean: 705.3313432835821
gen: 10 best: 622.9 mean: 704.9472636815921
gen: 11 best: 622.9 mean: 704.4278606965174
gen: 12 best: 622.9 mean: 703.7398009950249
gen: 13 best: 622.9 mean: 702.8383084577115
gen: 14 best: 622.9 mean: 703.4203980099502
gen: 15 best: 622.9 mean: 704.028855721393
gen: 16 best: 622.9 mean: 702.997512437811
gen: 17 best: 622.9 mean: 702.2094527363184
gen: 18 best: 622.9 mean: 701.5407960199005
gen: 19 best: 622.9 mean: 703.455223880597
gen: 20 best: 622.9 mean: 701.4820895522388
gen: 21 best: 622.9 mean: 701.3099502487562
gen: 22 best: 622.9 mean: 700.718407960199
gen: 23 best: 622.9 mean: 700.4029850746268
gen: 24 best: 622.9 mean: 699.920895522388
gen: 25 best: 622.9 mean: 699.681592039801
gen: 26 best: 622.9 mean: 699.1119402985074
gen: 27 best: 622.9 mean: 700.0
gen: 28 best: 622.9 mean: 698.3462686567165
gen: 29 best: 622.9 mean: 698.0452736318408
gen: 30 best: 622.9 mean: 698.9074626865672
gen: 31 best: 622.9 mean: 697.8597014925373
gen: 32 best: 622.9 mean: 698.0766169154228
gen: 33 best: 622.9 mean: 698.1323383084577
gen: 34 best: 622.9 mean: 696.481592039801
gen: 35 best: 622.9 mean: 696.5970149253732
gen: 36 best: 622.9 mean: 697.4905472636816
gen: 37 best: 622.9 mean: 696.6482587064677
gen: 38 best: 622.9 mean: 696.7756218905473
gen: 39 best: 622.9 mean: 696.9417910447761
gen: 40 best: 622.9 mean: 695.6517412935324
gen >41, new best = 616.400
gen: 41 best: 616.4 mean: 696.2109452736319
gen: 42 best: 616.4 mean: 695.5452736318408
gen: 43 best: 616.4 mean: 696.7915422885573
gen: 44 best: 616.4 mean: 696.3348258706468
gen: 45 best: 616.4 mean: 695.4522388059702
gen: 46 best: 616.4 mean: 695.8835820895522
gen: 47 best: 616.4 mean: 694.9258706467662
gen: 48 best: 616.4 mean: 694.823880597015
gen: 49 best: 616.4 mean: 693.6089552238806
gen: 50 best: 616.4 mean: 694.1606965174129
gen: 51 best: 616.4 mean: 694.6716417910447
gen: 52 best: 616.4 mean: 694.5766169154228
gen >53, new best = 613.300
gen: 53 best: 613.3 mean: 694.868656716418
gen: 54 best: 613.3 mean: 693.139303482587
gen: 55 best: 613.3 mean: 694.3940298507463
gen: 56 best: 613.3 mean: 694.473631840796
gen: 57 best: 613.3 mean: 693.3930348258707
gen: 58 best: 613.3 mean: 694.1820895522388
gen: 59 best: 613.3 mean: 694.4517412935323
gen: 60 best: 613.3 mean: 694.0960199004975
gen: 61 best: 613.3 mean: 694.1572139303482
gen: 62 best: 613.3 mean: 694.6890547263681
gen: 63 best: 613.3 mean: 693.7995024875622
gen: 64 best: 613.3 mean: 693.6318407960199
gen: 65 best: 613.3 mean: 691.9109452736318
gen: 66 best: 613.3 mean: 693.4721393034825
gen: 67 best: 613.3 mean: 693.3353233830845
gen: 68 best: 613.3 mean: 692.1333333333333
gen: 69 best: 613.3 mean: 693.6771144278607
gen: 70 best: 613.3 mean: 694.3721393034826
gen: 71 best: 613.3 mean: 692.8019900497512
gen: 72 best: 613.3 mean: 694.9800995024875
gen: 73 best: 613.3 mean: 693.2985074626865
gen: 74 best: 613.3 mean: 693.0218905472636
gen: 75 best: 613.3 mean: 695.6432835820896
gen: 76 best: 613.3 mean: 692.5457711442787
gen: 77 best: 613.3 mean: 692.1
gen: 78 best: 613.3 mean: 690.4766169154229
gen: 79 best: 613.3 mean: 692.0393034825871
gen: 80 best: 613.3 mean: 693.2746268656716
gen: 81 best: 613.3 mean: 692.3517412935323
gen: 82 best: 613.3 mean: 692.2686567164179
gen: 83 best: 613.3 mean: 691.16815920398
gen: 84 best: 613.3 mean: 692.3880597014926
gen: 85 best: 613.3 mean: 692.371144278607
gen: 86 best: 613.3 mean: 692.5417910447761
gen: 87 best: 613.3 mean: 692.2597014925373
gen: 88 best: 613.3 mean: 692.4034825870647
gen: 89 best: 613.3 mean: 690.8109452736319
gen: 90 best: 613.3 mean: 692.7820895522389
gen: 91 best: 613.3 mean: 690.2686567164179
gen: 92 best: 613.3 mean: 691.0373134328358
gen: 93 best: 613.3 mean: 690.3696517412935
gen: 94 best: 613.3 mean: 693.2985074626865
gen: 95 best: 613.3 mean: 691.2701492537313
gen: 96 best: 613.3 mean: 690.8014925373134
gen: 97 best: 613.3 mean: 690.8064676616915
gen: 98 best: 613.3 mean: 691.2791044776119
gen: 99 best: 613.3 mean: 690.6776119402986
