Generation,mean,best
0,594.2512437810946,486.8
1,587.4621890547263,482.2
2,578.102487562189,482.2
3,576.8293532338308,482.2
4,576.4601990049752,439.3
5,573.5686567164179,439.3
6,567.752736318408,439.3
7,569.5691542288557,439.3
8,561.5965174129353,439.3
9,559.7363184079602,426.1
10,556.544776119403,426.1
11,555.6741293532339,426.1
12,551.3865671641792,426.1
13,547.8572139303483,426.1
14,547.542288557214,426.1
15,545.465671641791,426.1
16,539.1925373134328,426.1
17,541.1825870646766,426.1
18,536.4024875621891,426.1
19,537.905472636816,426.1
20,534.0029850746268,426.1
21,531.6990049751244,426.1
22,529.9293532338309,426.1
23,526.1263681592039,426.1
24,520.955223880597,420.1
25,523.4716417910448,386.5
26,519.3666666666667,386.5
27,517.6263681592039,386.5
28,517.9925373134329,386.5
29,514.3820895522388,386.5
30,511.61144278606963,386.5
31,516.5189054726368,386.5
32,513.2074626865672,386.5
33,511.0089552238806,386.5
34,512.4706467661691,386.5
35,506.3328358208955,386.5
36,508.93333333333334,386.5
37,506.9248756218905,386.5
38,514.1119402985074,386.5
39,506.15621890547266,386.5
40,508.7800995024876,386.5
41,505.0402985074627,386.5
42,505.7950248756219,386.5
43,500.60746268656715,386.5
44,498.12935323383084,386.5
45,501.27512437810947,386.5
46,499.8995024875622,386.5
47,497.5805970149254,386.5
48,497.14726368159205,386.5
49,497.092039800995,386.5
50,493.9681592039801,386.5
51,495.69353233830844,386.5
52,496.5641791044776,386.5
53,495.62935323383084,386.5
54,497.07910447761196,386.5
55,492.9691542288557,386.5
56,495.71492537313435,386.5
57,493.34328358208955,386.5
58,492.44726368159206,386.5
59,490.5223880597015,386.5
60,493.5567164179104,386.5
61,487.5199004975124,386.5
62,494.6487562189055,386.5
63,491.25174129353235,386.5
64,490.28457711442786,386.5
65,492.2542288557214,386.5
66,490.41691542288555,386.5
67,489.1995024875622,386.5
68,487.1980099502488,386.5
69,485.9487562189055,386.5
70,486.98059701492537,386.5
71,486.0348258706468,386.5
72,485.84278606965177,386.5
73,483.62139303482587,386.5
74,482.3139303482587,386.5
75,486.27910447761195,386.5
76,484.9965174129353,386.5
77,484.74278606965174,386.5
78,481.25174129353235,386.5
79,483.17860696517414,386.5
80,480.5716417910448,386.5
81,482.2034825870647,386.5
82,484.6830845771144,386.5
83,481.8776119402985,386.5
84,480.5189054726368,386.5
85,480.5004975124378,386.5
86,479.90597014925373,386.5
87,480.7786069651741,386.5
88,479.27064676616914,386.5
89,480.6666666666667,386.5
90,481.4417910447761,386.5
91,483.60746268656715,386.5
92,481.8592039800995,386.5
93,478.84676616915425,386.5
94,476.70646766169153,386.5
95,477.7054726368159,386.5
96,475.9497512437811,386.5
97,475.65273631840796,386.5
98,476.63432835820896,386.5
99,477.37462686567164,386.5
