gen >0, new best = 622.600
gen: 0 best: 622.6 mean: 660.823880597015
gen >1, new best = 611.000
gen: 1 best: 611.0 mean: 659.0303482587065
gen >2, new best = 574.300
gen: 2 best: 574.3 mean: 655.7044776119403
gen: 3 best: 574.3 mean: 655.6611940298508
gen: 4 best: 574.3 mean: 655.7582089552238
gen: 5 best: 574.3 mean: 649.4348258706468
gen: 6 best: 574.3 mean: 651.0517412935324
gen: 7 best: 574.3 mean: 646.7407960199005
gen: 8 best: 574.3 mean: 644.4950248756219
gen: 9 best: 574.3 mean: 644.3776119402985
gen: 10 best: 574.3 mean: 641.0044776119403
gen: 11 best: 574.3 mean: 640.1950248756219
gen: 12 best: 574.3 mean: 636.1149253731344
gen >13, new best = 570.600
gen: 13 best: 570.6 mean: 635.3537313432836
gen >14, new best = 565.400
gen: 14 best: 565.4 mean: 633.9800995024875
gen: 15 best: 565.4 mean: 630.636815920398
gen: 16 best: 565.4 mean: 630.8024875621891
gen: 17 best: 565.4 mean: 628.2910447761194
gen: 18 best: 565.4 mean: 630.3004975124378
gen: 19 best: 565.4 mean: 627.7338308457712
gen >20, new best = 556.400
gen: 20 best: 556.4 mean: 623.789552238806
gen: 21 best: 556.4 mean: 623.5860696517412
gen: 22 best: 556.4 mean: 622.5109452736318
gen: 23 best: 556.4 mean: 620.4985074626866
gen: 24 best: 556.4 mean: 620.6308457711443
gen: 25 best: 556.4 mean: 618.676119402985
gen: 26 best: 556.4 mean: 617.6263681592039
gen: 27 best: 556.4 mean: 614.8174129353234
gen >28, new best = 539.500
gen: 28 best: 539.5 mean: 616.139303482587
gen: 29 best: 539.5 mean: 616.2328358208955
gen: 30 best: 539.5 mean: 614.9298507462687
gen: 31 best: 539.5 mean: 615.7820895522389
gen: 32 best: 539.5 mean: 612.9179104477612
gen: 33 best: 539.5 mean: 614.9726368159204
gen: 34 best: 539.5 mean: 613.9412935323384
gen: 35 best: 539.5 mean: 611.3467661691542
gen: 36 best: 539.5 mean: 614.3069651741293
gen >37, new best = 532.800
gen: 37 best: 532.8 mean: 610.8681592039801
gen: 38 best: 532.8 mean: 610.5218905472636
gen: 39 best: 532.8 mean: 611.5064676616915
gen: 40 best: 532.8 mean: 609.5109452736318
gen: 41 best: 532.8 mean: 610.7726368159204
gen: 42 best: 532.8 mean: 611.5278606965175
gen: 43 best: 532.8 mean: 609.9139303482588
gen: 44 best: 532.8 mean: 608.281592039801
gen: 45 best: 532.8 mean: 609.5129353233831
gen >46, new best = 523.900
gen: 46 best: 523.9 mean: 607.3358208955224
gen: 47 best: 523.9 mean: 606.5228855721393
gen: 48 best: 523.9 mean: 605.436815920398
gen: 49 best: 523.9 mean: 606.7805970149253
gen: 50 best: 523.9 mean: 606.1636815920398
gen: 51 best: 523.9 mean: 605.4985074626866
gen: 52 best: 523.9 mean: 606.4636815920398
gen: 53 best: 523.9 mean: 606.607960199005
gen: 54 best: 523.9 mean: 604.3432835820895
gen: 55 best: 523.9 mean: 606.9791044776119
gen: 56 best: 523.9 mean: 604.7084577114427
gen: 57 best: 523.9 mean: 603.2741293532339
gen: 58 best: 523.9 mean: 607.0781094527363
gen: 59 best: 523.9 mean: 606.9114427860696
gen: 60 best: 523.9 mean: 603.2661691542288
gen: 61 best: 523.9 mean: 604.8029850746269
gen: 62 best: 523.9 mean: 605.1044776119403
gen: 63 best: 523.9 mean: 602.3149253731343
gen: 64 best: 523.9 mean: 603.8572139303483
gen: 65 best: 523.9 mean: 604.4039800995025
gen: 66 best: 523.9 mean: 604.4412935323384
gen: 67 best: 523.9 mean: 600.4467661691542
gen: 68 best: 523.9 mean: 603.7865671641791
gen: 69 best: 523.9 mean: 602.7820895522389
gen: 70 best: 523.9 mean: 603.244776119403
gen: 71 best: 523.9 mean: 603.5378109452736
gen: 72 best: 523.9 mean: 602.3482587064676
gen: 73 best: 523.9 mean: 601.8601990049751
gen: 74 best: 523.9 mean: 602.1840796019901
gen >75, new best = 516.600
gen: 75 best: 516.6 mean: 601.8094527363185
gen: 76 best: 516.6 mean: 603.3328358208955
gen: 77 best: 516.6 mean: 602.2935323383084
gen: 78 best: 516.6 mean: 603.9298507462687
gen: 79 best: 516.6 mean: 601.8900497512437
gen: 80 best: 516.6 mean: 603.0124378109452
gen: 81 best: 516.6 mean: 602.5199004975125
gen: 82 best: 516.6 mean: 601.2616915422885
gen: 83 best: 516.6 mean: 598.5990049751243
gen: 84 best: 516.6 mean: 601.8223880597014
gen: 85 best: 516.6 mean: 600.3830845771145
gen: 86 best: 516.6 mean: 601.5671641791045
gen: 87 best: 516.6 mean: 601.2154228855721
gen: 88 best: 516.6 mean: 599.4293532338309
gen: 89 best: 516.6 mean: 601.7671641791045
gen: 90 best: 516.6 mean: 599.2398009950249
gen: 91 best: 516.6 mean: 599.9517412935323
gen: 92 best: 516.6 mean: 600.4741293532338
gen: 93 best: 516.6 mean: 599.9004975124378
gen: 94 best: 516.6 mean: 601.4139303482588
gen: 95 best: 516.6 mean: 598.7402985074627
gen: 96 best: 516.6 mean: 600.0671641791045
gen: 97 best: 516.6 mean: 600.1557213930348
gen: 98 best: 516.6 mean: 601.9472636815921
gen: 99 best: 516.6 mean: 598.0975124378109
