Generation,mean,best
0,626.1054726368159,567.8
1,622.4895522388059,551.8
2,614.9009950248757,551.8
3,612.8507462686567,518.9
4,607.3601990049751,518.9
5,605.236815920398,518.9
6,600.7820895522389,518.9
7,600.8761194029851,518.9
8,596.6383084577114,518.9
9,591.155223880597,518.9
10,589.4457711442786,518.9
11,586.8014925373134,511.5
12,583.3054726368159,511.5
13,577.0009950248756,511.3
14,577.9412935323384,511.3
15,577.1716417910447,511.3
16,574.4900497512438,511.3
17,571.2880597014926,511.3
18,568.4696517412935,505.9
19,565.9651741293533,505.9
20,565.0741293532338,505.9
21,565.0641791044776,481.1
22,562.9194029850746,481.1
23,563.0407960199005,481.1
24,561.4532338308458,481.1
25,560.142288557214,481.1
26,556.8109452736319,481.1
27,556.1099502487563,481.1
28,555.9666666666667,475.0
29,553.0129353233831,475.0
30,551.7711442786069,475.0
31,551.920895522388,475.0
32,550.7308457711442,475.0
33,549.4487562189055,475.0
34,549.4398009950248,475.0
35,547.9840796019901,475.0
36,545.3159203980099,475.0
37,544.9786069651741,475.0
38,545.3517412935323,475.0
39,543.7174129353234,449.8
40,543.9900497512438,449.8
41,541.4990049751244,449.8
42,541.9537313432836,449.8
43,540.4567164179105,449.8
44,540.4651741293533,449.8
45,542.0353233830846,449.8
46,539.4124378109452,449.8
47,540.3666666666667,449.8
48,538.5084577114428,449.8
49,536.9233830845772,449.8
50,538.1134328358208,449.8
51,534.6194029850747,449.8
52,536.0950248756219,449.8
53,536.3358208955224,449.8
54,536.0915422885572,449.8
55,535.5064676616915,449.8
56,532.4333333333334,449.8
57,533.9572139303483,449.8
58,534.2945273631841,449.8
59,534.0253731343283,449.8
60,531.7313432835821,449.8
61,535.3905472636816,449.8
62,534.2189054726368,449.8
63,534.565671641791,449.8
64,534.1004975124378,449.8
65,530.4835820895522,449.8
66,532.5238805970149,449.8
67,532.3169154228856,449.8
68,530.1547263681592,449.8
69,533.0990049751243,449.8
70,530.7940298507463,449.8
71,532.4800995024875,449.8
72,530.5855721393035,449.8
73,530.0129353233831,449.8
74,530.9855721393035,449.8
75,529.8696517412935,449.8
76,532.4860696517413,449.8
77,529.5437810945274,449.8
78,529.1338308457712,449.8
79,528.5925373134328,449.8
80,528.8970149253731,449.8
81,531.407960199005,449.8
82,528.3298507462687,449.8
83,527.8910447761194,449.8
84,527.9805970149254,449.8
85,530.1666666666666,449.8
86,529.1746268656716,449.8
87,525.5691542288557,449.8
88,527.9825870646766,449.8
89,526.0353233830846,449.8
90,526.4900497512438,449.8
91,527.4044776119403,449.8
92,527.8099502487562,449.8
93,527.3965174129353,449.8
94,527.3218905472637,449.8
95,526.3900497512437,437.2
96,526.71592039801,437.2
97,526.6646766169155,437.2
98,524.1810945273631,437.2
99,525.3099502487562,437.2
