gen >0, new best = 667.700
gen >0, new best = 650.700
gen >0, new best = 646.600
gen >0, new best = 645.200
gen: 0 best: 645.2 mean: 670.5868159203981
gen: 1 best: 645.2 mean: 670.5417910447761
gen: 2 best: 645.2 mean: 668.6960199004975
gen >3, new best = 638.000
gen: 3 best: 638.0 mean: 668.8462686567165
gen >4, new best = 605.300
gen: 4 best: 605.3 mean: 667.3109452736319
gen: 5 best: 605.3 mean: 664.7194029850746
gen: 6 best: 605.3 mean: 664.2646766169154
gen: 7 best: 605.3 mean: 663.8393034825871
gen: 8 best: 605.3 mean: 662.7253731343284
gen: 9 best: 605.3 mean: 663.3218905472637
gen: 10 best: 605.3 mean: 662.8691542288557
gen: 11 best: 605.3 mean: 661.3905472636816
gen: 12 best: 605.3 mean: 658.8388059701492
gen: 13 best: 605.3 mean: 659.1582089552239
gen: 14 best: 605.3 mean: 659.3004975124378
gen: 15 best: 605.3 mean: 656.7537313432836
gen >16, new best = 587.700
gen: 16 best: 587.7 mean: 657.0199004975125
gen: 17 best: 587.7 mean: 657.1398009950249
gen: 18 best: 587.7 mean: 655.5248756218906
gen: 19 best: 587.7 mean: 653.9417910447761
gen: 20 best: 587.7 mean: 654.2343283582089
gen: 21 best: 587.7 mean: 654.2681592039801
gen: 22 best: 587.7 mean: 651.8213930348259
gen: 23 best: 587.7 mean: 652.0626865671642
gen: 24 best: 587.7 mean: 650.0517412935324
gen >25, new best = 578.000
gen: 25 best: 578.0 mean: 648.7522388059701
gen: 26 best: 578.0 mean: 650.4253731343283
gen: 27 best: 578.0 mean: 649.5800995024875
gen: 28 best: 578.0 mean: 648.4318407960199
gen: 29 best: 578.0 mean: 646.9880597014925
gen: 30 best: 578.0 mean: 647.336815920398
gen: 31 best: 578.0 mean: 647.2114427860696
gen: 32 best: 578.0 mean: 645.0731343283583
gen: 33 best: 578.0 mean: 645.0512437810945
gen: 34 best: 578.0 mean: 644.7114427860696
gen: 35 best: 578.0 mean: 644.2791044776119
gen: 36 best: 578.0 mean: 643.0870646766169
gen: 37 best: 578.0 mean: 642.0402985074627
gen >38, new best = 573.900
gen: 38 best: 573.9 mean: 642.5577114427861
gen: 39 best: 573.9 mean: 640.1845771144278
gen: 40 best: 573.9 mean: 639.5273631840796
gen: 41 best: 573.9 mean: 639.1905472636815
gen: 42 best: 573.9 mean: 639.0164179104478
gen: 43 best: 573.9 mean: 638.8522388059702
gen: 44 best: 573.9 mean: 637.3139303482587
gen: 45 best: 573.9 mean: 637.618407960199
gen: 46 best: 573.9 mean: 636.6626865671642
gen: 47 best: 573.9 mean: 636.0601990049752
gen: 48 best: 573.9 mean: 636.3034825870647
gen: 49 best: 573.9 mean: 634.6348258706468
gen: 50 best: 573.9 mean: 634.6213930348258
gen: 51 best: 573.9 mean: 633.3353233830845
gen: 52 best: 573.9 mean: 632.9502487562189
gen: 53 best: 573.9 mean: 632.3666666666667
gen >54, new best = 560.500
gen: 54 best: 560.5 mean: 631.7880597014926
gen: 55 best: 560.5 mean: 630.889552238806
gen: 56 best: 560.5 mean: 629.8845771144279
gen: 57 best: 560.5 mean: 630.3671641791045
gen: 58 best: 560.5 mean: 629.4985074626866
gen: 59 best: 560.5 mean: 627.6955223880597
gen: 60 best: 560.5 mean: 629.218407960199
gen: 61 best: 560.5 mean: 627.0014925373134
gen: 62 best: 560.5 mean: 626.7940298507463
gen: 63 best: 560.5 mean: 626.6144278606965
gen: 64 best: 560.5 mean: 626.8870646766169
gen: 65 best: 560.5 mean: 628.3492537313433
gen: 66 best: 560.5 mean: 626.3512437810946
gen: 67 best: 560.5 mean: 627.0308457711443
gen: 68 best: 560.5 mean: 626.4761194029851
gen: 69 best: 560.5 mean: 626.8258706467661
gen: 70 best: 560.5 mean: 625.9761194029851
gen: 71 best: 560.5 mean: 625.1805970149254
gen: 72 best: 560.5 mean: 622.9074626865672
gen: 73 best: 560.5 mean: 624.063184079602
gen: 74 best: 560.5 mean: 622.2885572139304
gen: 75 best: 560.5 mean: 622.5318407960199
gen: 76 best: 560.5 mean: 624.2776119402985
gen: 77 best: 560.5 mean: 621.8442786069652
gen: 78 best: 560.5 mean: 622.2985074626865
gen: 79 best: 560.5 mean: 622.7592039800995
gen: 80 best: 560.5 mean: 621.7711442786069
gen: 81 best: 560.5 mean: 621.0323383084577
gen: 82 best: 560.5 mean: 621.6388059701493
gen: 83 best: 560.5 mean: 622.7179104477611
gen: 84 best: 560.5 mean: 621.0885572139304
gen: 85 best: 560.5 mean: 622.5522388059701
gen: 86 best: 560.5 mean: 620.326368159204
gen: 87 best: 560.5 mean: 621.3845771144279
gen: 88 best: 560.5 mean: 620.8114427860696
gen: 89 best: 560.5 mean: 620.055223880597
gen: 90 best: 560.5 mean: 620.3099502487562
gen: 91 best: 560.5 mean: 619.607960199005
gen >92, new best = 559.300
gen: 92 best: 559.3 mean: 618.7333333333333
gen: 93 best: 559.3 mean: 618.2343283582089
gen: 94 best: 559.3 mean: 616.9601990049752
gen: 95 best: 559.3 mean: 619.0517412935324
gen: 96 best: 559.3 mean: 619.4149253731343
gen: 97 best: 559.3 mean: 618.849751243781
gen >98, new best = 549.300
gen: 98 best: 549.3 mean: 617.7517412935323
gen: 99 best: 549.3 mean: 617.4477611940298
