gen >0, new best = 155.300
gen >0, new best = 96.700
gen >0, new best = 96.200
gen >0, new best = 83.800
gen >0, new best = 76.500
gen: 0 best: 76.5 mean: 130.04378109452736
gen >1, new best = 61.900
gen: 1 best: 61.9 mean: 129.64626865671642
gen: 2 best: 61.9 mean: 131.76865671641792
gen: 3 best: 61.9 mean: 130.04228855721394
gen: 4 best: 61.9 mean: 128.4084577114428
gen: 5 best: 61.9 mean: 127.11243781094527
gen: 6 best: 61.9 mean: 132.28855721393035
gen: 7 best: 61.9 mean: 129.68756218905472
gen: 8 best: 61.9 mean: 127.0407960199005
gen: 9 best: 61.9 mean: 124.76865671641791
gen: 10 best: 61.9 mean: 128.52437810945273
gen: 11 best: 61.9 mean: 127.92487562189055
gen: 12 best: 61.9 mean: 128.55223880597015
gen: 13 best: 61.9 mean: 127.04726368159204
gen: 14 best: 61.9 mean: 128.78059701492538
gen: 15 best: 61.9 mean: 122.14228855721393
gen: 16 best: 61.9 mean: 125.98955223880597
gen: 17 best: 61.9 mean: 125.07462686567165
gen: 18 best: 61.9 mean: 125.53333333333333
gen: 19 best: 61.9 mean: 126.15771144278607
gen: 20 best: 61.9 mean: 126.44676616915423
gen: 21 best: 61.9 mean: 126.21990049751244
gen: 22 best: 61.9 mean: 125.42437810945273
gen: 23 best: 61.9 mean: 126.8636815920398
gen >24, new best = 56.500
gen >24, new best = 50.100
gen: 24 best: 50.1 mean: 126.07014925373134
gen: 25 best: 50.1 mean: 122.281592039801
gen: 26 best: 50.1 mean: 123.87213930348258
gen: 27 best: 50.1 mean: 124.09800995024875
gen: 28 best: 50.1 mean: 123.89751243781095
gen: 29 best: 50.1 mean: 120.41542288557214
gen: 30 best: 50.1 mean: 124.13432835820896
gen: 31 best: 50.1 mean: 121.76666666666667
gen: 32 best: 50.1 mean: 119.90298507462687
gen: 33 best: 50.1 mean: 120.51691542288557
gen: 34 best: 50.1 mean: 116.68557213930349
gen: 35 best: 50.1 mean: 114.9318407960199
gen: 36 best: 50.1 mean: 120.3179104477612
gen >37, new best = 46.700
gen: 37 best: 46.7 mean: 119.47611940298508
gen: 38 best: 46.7 mean: 118.10099502487562
gen: 39 best: 46.7 mean: 119.07711442786069
gen: 40 best: 46.7 mean: 114.7318407960199
gen >41, new best = 40.200
gen: 41 best: 40.2 mean: 119.18656716417911
gen: 42 best: 40.2 mean: 113.98407960199005
gen: 43 best: 40.2 mean: 111.4865671641791
gen: 44 best: 40.2 mean: 111.55970149253731
gen: 45 best: 40.2 mean: 114.00895522388059
gen: 46 best: 40.2 mean: 112.8731343283582
gen >47, new best = 31.800
gen: 47 best: 31.8 mean: 113.38855721393035
gen: 48 best: 31.8 mean: 110.9865671641791
gen: 49 best: 31.8 mean: 112.52636815920398
gen: 50 best: 31.8 mean: 109.57562189054727
gen: 51 best: 31.8 mean: 109.00348258706468
gen: 52 best: 31.8 mean: 112.26716417910448
gen: 53 best: 31.8 mean: 110.21044776119403
gen: 54 best: 31.8 mean: 108.21741293532338
gen: 55 best: 31.8 mean: 111.42338308457711
gen >56, new best = 31.100
gen: 56 best: 31.1 mean: 106.50895522388059
gen: 57 best: 31.1 mean: 112.64776119402985
gen: 58 best: 31.1 mean: 105.47313432835821
gen: 59 best: 31.1 mean: 107.84925373134328
gen: 60 best: 31.1 mean: 105.69253731343284
gen: 61 best: 31.1 mean: 107.64925373134328
gen: 62 best: 31.1 mean: 107.59950248756219
gen: 63 best: 31.1 mean: 109.89751243781095
gen: 64 best: 31.1 mean: 105.27412935323383
gen: 65 best: 31.1 mean: 107.26268656716418
gen: 66 best: 31.1 mean: 104.41442786069652
gen: 67 best: 31.1 mean: 104.96766169154229
gen: 68 best: 31.1 mean: 107.18059701492537
gen: 69 best: 31.1 mean: 105.59651741293533
gen: 70 best: 31.1 mean: 109.26965174129353
gen: 71 best: 31.1 mean: 104.44228855721393
gen: 72 best: 31.1 mean: 105.64129353233831
gen: 73 best: 31.1 mean: 106.62288557213931
gen: 74 best: 31.1 mean: 104.51243781094527
gen: 75 best: 31.1 mean: 103.36666666666666
gen: 76 best: 31.1 mean: 103.10597014925374
gen: 77 best: 31.1 mean: 102.59402985074627
gen: 78 best: 31.1 mean: 105.77164179104477
gen: 79 best: 31.1 mean: 104.53333333333333
gen: 80 best: 31.1 mean: 103.07164179104478
gen: 81 best: 31.1 mean: 105.52089552238806
gen: 82 best: 31.1 mean: 103.75174129353233
gen: 83 best: 31.1 mean: 104.14825870646766
gen: 84 best: 31.1 mean: 105.33781094527363
gen: 85 best: 31.1 mean: 104.55472636815921
gen: 86 best: 31.1 mean: 106.42835820895522
gen: 87 best: 31.1 mean: 105.51940298507462
gen: 88 best: 31.1 mean: 107.18905472636816
gen: 89 best: 31.1 mean: 105.41492537313432
gen: 90 best: 31.1 mean: 105.68358208955225
gen: 91 best: 31.1 mean: 103.7910447761194
gen: 92 best: 31.1 mean: 102.40746268656716
gen: 93 best: 31.1 mean: 104.41592039800994
gen: 94 best: 31.1 mean: 106.45771144278606
gen: 95 best: 31.1 mean: 106.32835820895522
gen: 96 best: 31.1 mean: 103.20547263681593
gen: 97 best: 31.1 mean: 102.37114427860696
gen: 98 best: 31.1 mean: 101.47213930348259
gen: 99 best: 31.1 mean: 102.79253731343283
