Generation,mean,best
0,175.4273631840796,151.3
1,174.9094527363184,151.3
2,174.96119402985076,141.7
3,174.61990049751245,141.7
4,174.26019900497514,141.7
5,173.8582089552239,141.7
6,173.3313432835821,141.7
7,173.2233830845771,141.7
8,171.92388059701491,141.7
9,171.81691542288556,141.7
10,171.70298507462687,141.7
11,171.73383084577114,141.7
12,171.80348258706468,141.7
13,171.68756218905472,141.7
14,171.36019900497513,141.7
15,171.36567164179104,141.7
16,169.6592039800995,141.7
17,170.31741293532338,141.7
18,170.40696517412934,141.7
19,169.20298507462687,141.7
20,169.17860696517414,141.7
21,167.4129353233831,141.7
22,167.7646766169154,141.7
23,168.49651741293533,140.6
24,167.73134328358208,140.6
25,166.86218905472637,140.6
26,166.77562189054726,140.6
27,166.39452736318407,140.6
28,166.02935323383085,140.6
29,165.65671641791045,140.6
30,165.8228855721393,140.6
31,164.72587064676617,140.6
32,164.51940298507463,140.6
33,164.7139303482587,133.0
34,164.3726368159204,133.0
35,164.60945273631842,133.0
36,164.02437810945273,133.0
37,163.16915422885572,133.0
38,164.0412935323383,133.0
39,163.8039800995025,133.0
40,162.5358208955224,133.0
41,162.54079601990048,133.0
42,162.29004975124377,133.0
43,161.92537313432837,133.0
44,161.8547263681592,133.0
45,162.2089552238806,133.0
46,161.76567164179104,133.0
47,161.96119402985076,133.0
48,161.2363184079602,133.0
49,161.02587064676618,133.0
50,161.10298507462687,131.1
51,160.51194029850745,131.1
52,160.31144278606965,131.1
53,160.07412935323384,131.1
54,160.2134328358209,131.1
55,159.99203980099503,131.1
56,160.73930348258708,131.1
57,158.9825870646766,131.1
58,159.10497512437811,131.1
59,159.74029850746268,131.0
60,159.2308457711443,131.0
61,158.9412935323383,123.9
62,159.99203980099503,123.9
63,160.06268656716418,123.9
64,158.43930348258706,123.9
65,158.86218905472637,123.9
66,158.9318407960199,123.9
67,158.707960199005,123.9
68,159.0134328358209,123.9
69,159.00199004975124,123.9
70,157.25970149253732,123.9
71,158.04726368159203,123.9
72,157.59402985074627,123.9
73,157.08358208955224,123.9
74,157.1273631840796,123.9
75,157.4039800995025,123.9
76,157.49402985074627,123.9
77,157.97661691542288,123.9
78,156.59303482587066,123.9
79,157.30199004975125,123.9
80,157.41243781094528,123.9
81,156.3039800995025,123.9
82,157.10099502487563,123.9
83,156.9318407960199,123.9
84,155.51194029850745,123.9
85,155.94228855721394,123.9
86,156.1417910447761,123.9
87,156.40199004975125,123.9
88,156.4273631840796,123.9
89,156.7860696517413,123.9
90,155.9597014925373,123.9
91,155.82935323383086,123.9
92,154.72039800995026,123.2
93,155.663184079602,123.2
94,154.93880597014925,123.2
95,154.5960199004975,123.2
96,154.97661691542288,123.2
97,155.6174129353234,123.2
98,154.92388059701491,123.2
99,153.6179104477612,123.2
random,"([[22], [204], [83, 106, 113, 145, 166, 195, 244, 245], [5, 43, 58, 101, 110, 136, 151, 177, 209, 246], [38, 54, 68, 69, 71, 81, 94, 98, 102, 103, 142, 152, 153, 159, 203, 214, 221, 227, 228, 233, 234, 238, 248], [7, 8, 12, 14, 21, 24, 25, 26, 27, 31, 35, 42, 45, 46, 47, 48, 50, 51, 53, 56, 60, 74, 76, 85, 86, 88, 90, 93, 104, 108, 112, 114, 119, 128, 133, 143, 146, 148, 149, 160, 162, 163, 165, 173, 176, 197, 213, 217, 218, 225, 230, 231, 237, 243, 247, 251, 252, 254], [1, 3, 18, 33, 41, 44, 49, 59, 65, 66, 72, 73, 75, 99, 122, 125, 129, 135, 138, 157, 170, 178, 179, 181, 196, 206, 207, 215, 220, 223, 236, 250], [4, 11, 34, 36, 37, 55, 61, 63, 82, 100, 118, 120, 126, 137, 139, 154, 155, 158, 167, 174, 182, 185, 205, 249], [9, 10, 23, 32, 84, 134, 147, 164, 172, 186, 188, 202], [78, 127, 169, 189, 222, 232], [16, 39, 89, 109, 183, 212, 240], [6, 96, 144, 194, 198, 229], [132, 200], []], 190, 5, 9)"
