gen >0, new best = 366.300
gen >0, new best = 356.500
gen >0, new best = 352.000
gen >0, new best = 350.900
gen >0, new best = 349.800
gen >0, new best = 348.800
gen >0, new best = 328.300
gen >0, new best = 325.200
gen >0, new best = 325.000
gen: 0 best: 325.0 mean: 358.8845771144279
gen: 1 best: 325.0 mean: 359.5492537313433
gen >2, new best = 314.100
gen: 2 best: 314.1 mean: 357.52089552238806
gen: 3 best: 314.1 mean: 357.80348258706465
gen: 4 best: 314.1 mean: 357.48805970149255
gen: 5 best: 314.1 mean: 355.4283582089552
gen: 6 best: 314.1 mean: 354.8298507462687
gen: 7 best: 314.1 mean: 356.3457711442786
gen >8, new best = 288.900
gen: 8 best: 288.9 mean: 355.41641791044776
gen: 9 best: 288.9 mean: 354.79751243781095
gen: 10 best: 288.9 mean: 354.3462686567164
gen: 11 best: 288.9 mean: 354.2199004975124
gen: 12 best: 288.9 mean: 354.1980099502488
gen: 13 best: 288.9 mean: 353.4776119402985
gen: 14 best: 288.9 mean: 352.6726368159204
gen: 15 best: 288.9 mean: 352.8
gen: 16 best: 288.9 mean: 352.74228855721395
gen: 17 best: 288.9 mean: 351.2213930348259
gen: 18 best: 288.9 mean: 351.09800995024875
gen: 19 best: 288.9 mean: 351.5776119402985
gen: 20 best: 288.9 mean: 351.50099502487564
gen: 21 best: 288.9 mean: 349.57114427860694
gen: 22 best: 288.9 mean: 350.0786069651741
gen: 23 best: 288.9 mean: 350.7179104477612
gen: 24 best: 288.9 mean: 348.92985074626864
gen: 25 best: 288.9 mean: 348.8532338308458
gen: 26 best: 288.9 mean: 348.9582089552239
gen: 27 best: 288.9 mean: 349.06318407960197
gen: 28 best: 288.9 mean: 347.7009950248756
gen: 29 best: 288.9 mean: 348.20597014925374
gen: 30 best: 288.9 mean: 346.9726368159204
gen: 31 best: 288.9 mean: 347.6636815920398
gen: 32 best: 288.9 mean: 347.09800995024875
gen: 33 best: 288.9 mean: 346.5004975124378
gen: 34 best: 288.9 mean: 346.6333333333333
gen: 35 best: 288.9 mean: 345.7039800995025
gen: 36 best: 288.9 mean: 345.31592039800995
gen: 37 best: 288.9 mean: 345.41990049751246
gen: 38 best: 288.9 mean: 344.9487562189055
gen: 39 best: 288.9 mean: 344.2164179104478
gen: 40 best: 288.9 mean: 344.307960199005
gen: 41 best: 288.9 mean: 344.1825870646766
gen: 42 best: 288.9 mean: 343.7825870646766
gen: 43 best: 288.9 mean: 342.0626865671642
gen: 44 best: 288.9 mean: 341.89104477611943
gen: 45 best: 288.9 mean: 342.1577114427861
gen: 46 best: 288.9 mean: 342.5308457711443
gen: 47 best: 288.9 mean: 340.7945273631841
gen: 48 best: 288.9 mean: 339.85820895522386
gen: 49 best: 288.9 mean: 340.96218905472637
gen: 50 best: 288.9 mean: 340.89353233830843
gen: 51 best: 288.9 mean: 341.0039800995025
gen: 52 best: 288.9 mean: 340.4373134328358
gen: 53 best: 288.9 mean: 340.8139303482587
gen: 54 best: 288.9 mean: 341.35273631840795
gen: 55 best: 288.9 mean: 339.68059701492535
gen: 56 best: 288.9 mean: 340.3373134328358
gen: 57 best: 288.9 mean: 339.90597014925373
gen: 58 best: 288.9 mean: 338.84278606965177
gen: 59 best: 288.9 mean: 338.918407960199
gen: 60 best: 288.9 mean: 339.00995024875624
gen: 61 best: 288.9 mean: 338.9865671641791
gen: 62 best: 288.9 mean: 339.4049751243781
gen: 63 best: 288.9 mean: 339.7253731343284
gen: 64 best: 288.9 mean: 338.807960199005
gen: 65 best: 288.9 mean: 339.27412935323383
gen: 66 best: 288.9 mean: 339.3820895522388
gen: 67 best: 288.9 mean: 338.6636815920398
gen: 68 best: 288.9 mean: 339.136815920398
gen: 69 best: 288.9 mean: 338.163184079602
gen: 70 best: 288.9 mean: 338.3074626865672
gen: 71 best: 288.9 mean: 337.91144278606964
gen: 72 best: 288.9 mean: 337.4009950248756
gen: 73 best: 288.9 mean: 337.9323383084577
gen: 74 best: 288.9 mean: 337.59402985074627
gen: 75 best: 288.9 mean: 337.4004975124378
gen: 76 best: 288.9 mean: 337.64378109452736
gen: 77 best: 288.9 mean: 337.69353233830844
gen: 78 best: 288.9 mean: 337.7905472636816
gen: 79 best: 288.9 mean: 337.89800995024876
gen: 80 best: 288.9 mean: 336.66169154228857
gen: 81 best: 288.9 mean: 337.0502487562189
gen: 82 best: 288.9 mean: 337.00597014925376
gen: 83 best: 288.9 mean: 336.9412935323383
gen: 84 best: 288.9 mean: 337.281592039801
gen: 85 best: 288.9 mean: 335.82487562189056
gen: 86 best: 288.9 mean: 337.0233830845771
gen: 87 best: 288.9 mean: 334.7089552238806
gen: 88 best: 288.9 mean: 335.6686567164179
gen: 89 best: 288.9 mean: 335.87014925373137
gen: 90 best: 288.9 mean: 335.78457711442786
gen: 91 best: 288.9 mean: 335.11044776119405
gen: 92 best: 288.9 mean: 334.81641791044774
gen: 93 best: 288.9 mean: 334.5462686567164
gen: 94 best: 288.9 mean: 335.336815920398
gen: 95 best: 288.9 mean: 335.27910447761195
gen: 96 best: 288.9 mean: 334.69701492537314
gen: 97 best: 288.9 mean: 334.69751243781093
gen: 98 best: 288.9 mean: 335.0258706467662
gen: 99 best: 288.9 mean: 335.1810945273632
