gen >0, new best = 332.400
gen >0, new best = 324.900
gen >0, new best = 324.000
gen >0, new best = 323.800
gen >0, new best = 323.200
gen >0, new best = 321.400
gen >0, new best = 321.000
gen >0, new best = 320.600
gen >0, new best = 317.100
gen >0, new best = 289.000
gen: 0 best: 289.0 mean: 331.43532338308455
gen >1, new best = 255.800
gen: 1 best: 255.8 mean: 330.48407960199006
gen: 2 best: 255.8 mean: 329.381592039801
gen: 3 best: 255.8 mean: 328.9577114427861
gen: 4 best: 255.8 mean: 328.5592039800995
gen: 5 best: 255.8 mean: 328.2278606965174
gen: 6 best: 255.8 mean: 326.9029850746269
gen: 7 best: 255.8 mean: 327.08009950248754
gen: 8 best: 255.8 mean: 327.818407960199
gen: 9 best: 255.8 mean: 326.1208955223881
gen: 10 best: 255.8 mean: 327.1701492537313
gen: 11 best: 255.8 mean: 325.90696517412937
gen: 12 best: 255.8 mean: 325.4233830845771
gen: 13 best: 255.8 mean: 324.60895522388057
gen: 14 best: 255.8 mean: 325.0810945273632
gen: 15 best: 255.8 mean: 323.8189054726368
gen: 16 best: 255.8 mean: 322.6781094527363
gen: 17 best: 255.8 mean: 323.66616915422884
gen: 18 best: 255.8 mean: 323.2865671641791
gen: 19 best: 255.8 mean: 323.22985074626865
gen: 20 best: 255.8 mean: 321.80497512437813
gen: 21 best: 255.8 mean: 321.88756218905473
gen: 22 best: 255.8 mean: 321.5880597014925
gen: 23 best: 255.8 mean: 320.96019900497515
gen: 24 best: 255.8 mean: 321.14179104477614
gen: 25 best: 255.8 mean: 320.4960199004975
gen: 26 best: 255.8 mean: 320.2502487562189
gen: 27 best: 255.8 mean: 320.41293532338307
gen: 28 best: 255.8 mean: 319.8388059701492
gen: 29 best: 255.8 mean: 319.75671641791047
gen: 30 best: 255.8 mean: 318.9457711442786
gen: 31 best: 255.8 mean: 317.9850746268657
gen: 32 best: 255.8 mean: 317.85820895522386
gen: 33 best: 255.8 mean: 316.1666666666667
gen: 34 best: 255.8 mean: 316.18955223880596
gen: 35 best: 255.8 mean: 315.1094527363184
gen: 36 best: 255.8 mean: 315.2497512437811
gen: 37 best: 255.8 mean: 314.9776119402985
gen: 38 best: 255.8 mean: 314.53980099502485
gen: 39 best: 255.8 mean: 314.1870646766169
gen: 40 best: 255.8 mean: 313.63830845771145
gen: 41 best: 255.8 mean: 314.00597014925376
gen: 42 best: 255.8 mean: 312.56716417910445
gen: 43 best: 255.8 mean: 312.55621890547263
gen: 44 best: 255.8 mean: 313.3641791044776
gen: 45 best: 255.8 mean: 312.5915422885572
gen: 46 best: 255.8 mean: 313.43134328358207
gen: 47 best: 255.8 mean: 312.2238805970149
gen: 48 best: 255.8 mean: 312.67313432835823
gen: 49 best: 255.8 mean: 312.3407960199005
gen: 50 best: 255.8 mean: 312.49154228855724
gen: 51 best: 255.8 mean: 311.5323383084577
gen: 52 best: 255.8 mean: 311.5507462686567
gen: 53 best: 255.8 mean: 310.79751243781095
gen: 54 best: 255.8 mean: 310.0636815920398
gen: 55 best: 255.8 mean: 309.60696517412936
gen: 56 best: 255.8 mean: 309.7452736318408
gen: 57 best: 255.8 mean: 309.7716417910448
gen: 58 best: 255.8 mean: 310.66517412935326
gen: 59 best: 255.8 mean: 308.87810945273634
gen: 60 best: 255.8 mean: 309.94726368159206
gen: 61 best: 255.8 mean: 309.33432835820895
gen: 62 best: 255.8 mean: 309.7194029850746
gen: 63 best: 255.8 mean: 308.0223880597015
gen: 64 best: 255.8 mean: 308.0179104477612
gen: 65 best: 255.8 mean: 308.46119402985073
gen: 66 best: 255.8 mean: 309.0074626865672
gen: 67 best: 255.8 mean: 308.96666666666664
gen: 68 best: 255.8 mean: 307.39303482587064
gen: 69 best: 255.8 mean: 308.0417910447761
gen: 70 best: 255.8 mean: 307.56318407960197
gen: 71 best: 255.8 mean: 307.2915422885572
gen: 72 best: 255.8 mean: 306.72587064676617
gen: 73 best: 255.8 mean: 307.47860696517415
gen: 74 best: 255.8 mean: 307.81542288557216
gen: 75 best: 255.8 mean: 307.3388059701493
gen: 76 best: 255.8 mean: 306.64179104477614
gen: 77 best: 255.8 mean: 306.52985074626866
gen: 78 best: 255.8 mean: 306.6870646766169
gen: 79 best: 255.8 mean: 307.4676616915423
gen: 80 best: 255.8 mean: 307.7601990049751
gen: 81 best: 255.8 mean: 307.7
gen: 82 best: 255.8 mean: 308.0293532338308
gen: 83 best: 255.8 mean: 307.02139303482585
gen: 84 best: 255.8 mean: 307.2502487562189
gen: 85 best: 255.8 mean: 306.8756218905473
gen: 86 best: 255.8 mean: 306.47562189054725
gen: 87 best: 255.8 mean: 305.9034825870647
gen: 88 best: 255.8 mean: 306.2069651741294
gen: 89 best: 255.8 mean: 306.27562189054726
gen: 90 best: 255.8 mean: 305.82139303482586
gen: 91 best: 255.8 mean: 306.0512437810945
gen: 92 best: 255.8 mean: 306.2174129353234
gen: 93 best: 255.8 mean: 305.7800995024876
gen: 94 best: 255.8 mean: 305.9686567164179
gen: 95 best: 255.8 mean: 305.7323383084577
gen: 96 best: 255.8 mean: 305.3228855721393
gen: 97 best: 255.8 mean: 305.3905472636816
gen: 98 best: 255.8 mean: 304.9537313432836
gen: 99 best: 255.8 mean: 305.07114427860694
