gen >0, new best = 310.000
gen >0, new best = 307.400
gen >0, new best = 290.500
gen >0, new best = 289.300
gen >0, new best = 286.600
gen >0, new best = 273.900
gen: 0 best: 273.9 mean: 315.05646766169156
gen: 1 best: 273.9 mean: 315.2487562189055
gen: 2 best: 273.9 mean: 314.0721393034826
gen: 3 best: 273.9 mean: 314.1333333333333
gen >4, new best = 250.100
gen: 4 best: 250.1 mean: 312.6502487562189
gen: 5 best: 250.1 mean: 311.8592039800995
gen: 6 best: 250.1 mean: 311.8557213930348
gen: 7 best: 250.1 mean: 310.0417910447761
gen: 8 best: 250.1 mean: 311.1686567164179
gen: 9 best: 250.1 mean: 310.5820895522388
gen: 10 best: 250.1 mean: 309.83084577114425
gen: 11 best: 250.1 mean: 309.00995024875624
gen: 12 best: 250.1 mean: 308.1860696517413
gen: 13 best: 250.1 mean: 307.59800995024875
gen: 14 best: 250.1 mean: 307.2840796019901
gen: 15 best: 250.1 mean: 307.0004975124378
gen: 16 best: 250.1 mean: 305.7179104477612
gen: 17 best: 250.1 mean: 304.85771144278607
gen: 18 best: 250.1 mean: 304.29402985074626
gen: 19 best: 250.1 mean: 305.15721393034823
gen: 20 best: 250.1 mean: 303.5
gen: 21 best: 250.1 mean: 303.0089552238806
gen: 22 best: 250.1 mean: 302.1223880597015
gen: 23 best: 250.1 mean: 301.5766169154229
gen: 24 best: 250.1 mean: 302.31094527363183
gen: 25 best: 250.1 mean: 302.3676616915423
gen: 26 best: 250.1 mean: 301.4781094527363
gen: 27 best: 250.1 mean: 300.581592039801
gen: 28 best: 250.1 mean: 301.2601990049751
gen: 29 best: 250.1 mean: 300.3333333333333
gen: 30 best: 250.1 mean: 300.3318407960199
gen: 31 best: 250.1 mean: 298.5676616915423
gen: 32 best: 250.1 mean: 298.82139303482586
gen: 33 best: 250.1 mean: 298.3457711442786
gen: 34 best: 250.1 mean: 298.95323383084576
gen: 35 best: 250.1 mean: 297.6044776119403
gen: 36 best: 250.1 mean: 297.7129353233831
gen: 37 best: 250.1 mean: 295.42587064676616
gen: 38 best: 250.1 mean: 295.28805970149256
gen >39, new best = 250.000
gen: 39 best: 250.0 mean: 293.77562189054726
gen: 40 best: 250.0 mean: 293.23383084577114
gen: 41 best: 250.0 mean: 292.27363184079604
gen: 42 best: 250.0 mean: 291.7318407960199
gen: 43 best: 250.0 mean: 291.8537313432836
gen: 44 best: 250.0 mean: 290.18009950248756
gen: 45 best: 250.0 mean: 291.07960199004975
gen: 46 best: 250.0 mean: 291.45522388059703
gen >47, new best = 248.600
gen: 47 best: 248.6 mean: 290.75223880597014
gen: 48 best: 248.6 mean: 289.5497512437811
gen: 49 best: 248.6 mean: 290.0825870646766
gen: 50 best: 248.6 mean: 290.5233830845771
gen: 51 best: 248.6 mean: 289.22587064676617
gen: 52 best: 248.6 mean: 288.1825870646766
gen: 53 best: 248.6 mean: 288.52487562189054
gen: 54 best: 248.6 mean: 288.11243781094527
gen: 55 best: 248.6 mean: 287.5502487562189
gen: 56 best: 248.6 mean: 287.46069651741294
gen: 57 best: 248.6 mean: 288.19900497512435
gen: 58 best: 248.6 mean: 287.13880597014924
gen: 59 best: 248.6 mean: 288.1756218905473
gen: 60 best: 248.6 mean: 287.36517412935325
gen: 61 best: 248.6 mean: 287.55572139303484
gen: 62 best: 248.6 mean: 286.728855721393
gen: 63 best: 248.6 mean: 287.4119402985075
gen: 64 best: 248.6 mean: 287.0820895522388
gen: 65 best: 248.6 mean: 287.42437810945273
gen >66, new best = 244.100
gen: 66 best: 244.1 mean: 285.65721393034823
gen: 67 best: 244.1 mean: 287.5223880597015
gen >68, new best = 229.600
gen: 68 best: 229.6 mean: 286.1
gen: 69 best: 229.6 mean: 285.2910447761194
gen: 70 best: 229.6 mean: 286.6094527363184
gen: 71 best: 229.6 mean: 285.3810945273632
gen: 72 best: 229.6 mean: 286.32537313432834
gen: 73 best: 229.6 mean: 285.5502487562189
gen: 74 best: 229.6 mean: 286.44825870646764
gen: 75 best: 229.6 mean: 284.35621890547264
gen: 76 best: 229.6 mean: 284.75373134328356
gen: 77 best: 229.6 mean: 283.9094527363184
gen: 78 best: 229.6 mean: 283.4398009950249
gen: 79 best: 229.6 mean: 282.5268656716418
gen: 80 best: 229.6 mean: 282.536815920398
gen: 81 best: 229.6 mean: 282.6268656716418
gen: 82 best: 229.6 mean: 281.45124378109455
gen: 83 best: 229.6 mean: 282.0995024875622
gen: 84 best: 229.6 mean: 282.3223880597015
gen: 85 best: 229.6 mean: 281.49203980099503
gen: 86 best: 229.6 mean: 280.9616915422886
gen: 87 best: 229.6 mean: 281.61243781094527
gen: 88 best: 229.6 mean: 282.38407960199004
gen: 89 best: 229.6 mean: 280.6303482587065
gen: 90 best: 229.6 mean: 281.0542288557214
gen: 91 best: 229.6 mean: 280.6781094527363
gen: 92 best: 229.6 mean: 280.64328358208957
gen: 93 best: 229.6 mean: 280.1636815920398
gen: 94 best: 229.6 mean: 280.88955223880595
gen: 95 best: 229.6 mean: 280.33084577114425
gen: 96 best: 229.6 mean: 278.83830845771143
gen: 97 best: 229.6 mean: 279.5865671641791
gen: 98 best: 229.6 mean: 279.3731343283582
gen: 99 best: 229.6 mean: 279.14228855721393
