Generation,mean,best
0,315.2656716417911,282.0
1,314.74776119402986,278.6
2,314.62487562189057,278.6
3,314.01542288557215,278.6
4,313.2542288557214,278.6
5,313.68805970149253,278.6
6,312.573631840796,277.6
7,312.7746268656716,277.6
8,310.963184079602,269.2
9,311.6900497512438,269.2
10,310.2069651741294,269.2
11,310.734328358209,269.2
12,310.3512437810945,269.2
13,309.79353233830847,269.2
14,309.7771144278607,269.2
15,308.17661691542287,268.7
16,308.1462686567164,268.1
17,307.4945273631841,268.1
18,307.49800995024873,268.1
19,308.3407960199005,268.1
20,307.3094527363184,268.1
21,306.2044776119403,268.1
22,305.35671641791043,268.1
23,304.736815920398,265.9
24,304.9497512437811,265.9
25,304.06169154228854,265.9
26,303.47860696517415,245.0
27,303.7726368159204,245.0
28,304.2457711442786,245.0
29,302.6338308457712,245.0
30,302.0442786069652,245.0
31,300.91691542288555,245.0
32,301.4139303482587,245.0
33,301.05771144278606,245.0
34,300.602487562189,245.0
35,299.7781094527363,245.0
36,299.45124378109455,245.0
37,300.918407960199,245.0
38,299.59601990049754,245.0
39,298.92587064676616,245.0
40,298.38009950248755,245.0
41,299.1194029850746,245.0
42,296.5179104477612,245.0
43,297.00298507462685,245.0
44,297.5218905472637,245.0
45,295.66965174129353,245.0
46,296.41293532338307,245.0
47,295.65124378109454,245.0
48,296.5955223880597,245.0
49,296.4303482587065,245.0
50,295.68905472636817,245.0
51,294.4910447761194,245.0
52,294.5074626865672,245.0
53,294.8223880597015,245.0
54,294.11094527363184,245.0
55,294.0601990049751,245.0
56,292.49701492537315,245.0
57,292.37412935323385,245.0
58,292.79701492537316,245.0
59,292.03432835820894,245.0
60,291.33781094527365,245.0
61,291.336815920398,245.0
62,291.07462686567163,245.0
63,290.73034825870644,245.0
64,289.77014925373135,245.0
65,290.6517412935323,245.0
66,289.5606965174129,245.0
67,290.0532338308458,245.0
68,290.6820895522388,245.0
69,290.3258706467662,245.0
70,288.67462686567166,245.0
71,289.5144278606965,245.0
72,289.4761194029851,245.0
73,288.3850746268657,245.0
74,288.6223880597015,245.0
75,288.16218905472635,242.9
76,286.31791044776116,242.9
77,286.08308457711445,242.9
78,285.72636815920396,242.9
79,286.62487562189057,242.9
80,285.18059701492535,232.2
81,285.07562189054727,232.2
82,285.192039800995,232.2
83,285.78457711442786,232.2
84,284.77960199004974,232.2
85,285.91492537313434,232.2
86,283.73383084577114,232.2
87,283.9766169154229,232.2
88,285.7990049751244,232.2
89,285.41293532338307,232.2
90,285.1517412935323,232.2
91,285.28805970149256,232.2
92,285.1268656716418,232.2
93,285.0825870646766,232.2
94,284.92388059701494,232.2
95,284.0820895522388,232.2
96,284.1313432835821,232.2
97,284.0626865671642,232.2
98,284.30149253731344,232.2
99,282.60696517412936,232.2
random,"([[3], [142, 493], [389], [22, 81, 82, 121, 130, 296, 421, 497, 506], [108, 115, 143, 157, 159, 171, 234, 261, 276, 281, 289, 329, 347, 394, 461], [39, 95, 97, 111, 188, 205, 227, 231, 246, 290, 330, 414, 477, 480, 495, 503], [62, 158, 166, 241, 253, 267, 314, 369, 405, 425, 485], [76, 163, 204, 215, 222, 239, 274, 288, 378, 398, 434, 449, 455, 467, 471], [30, 47, 73, 74, 78, 119, 120, 146, 167, 172, 174, 180, 186, 207, 214, 228, 245, 280, 292, 346, 348, 353, 372, 387, 401, 413, 423, 456, 478], [5, 25, 27, 31, 48, 51, 72, 84, 92, 103, 110, 122, 123, 128, 141, 181, 209, 220, 226, 242, 243, 247, 250, 271, 286, 299, 310, 325, 328, 334, 335, 337, 373, 376, 379, 385, 439, 459, 483, 489, 491, 494, 509], [2, 21, 54, 85, 88, 109, 118, 149, 153, 155, 168, 175, 178, 182, 185, 193, 196, 198, 208, 216, 233, 251, 255, 282, 295, 297, 322, 327, 333, 339, 354, 367, 374, 400, 410, 412, 427, 441, 443, 448, 504, 508], [1, 4, 7, 8, 13, 17, 41, 46, 71, 75, 86, 94, 98, 99, 114, 126, 134, 144, 151, 154, 160, 162, 183, 229, 238, 256, 262, 291, 319, 323, 362, 390, 395, 403, 408, 411, 417, 442, 450, 458, 466, 470, 479, 496, 505], [26, 28, 32, 66, 87, 156, 212, 254, 272, 294, 306, 312, 321, 359, 360, 368, 381, 399, 406, 426, 428, 429, 437, 445, 453, 454, 460, 462, 463, 474, 476, 498], [0, 56, 61, 63, 139, 152, 184, 189, 191, 236, 240, 287, 302, 370, 388, 393, 404, 432, 492], [6, 12, 15, 49, 52, 55, 70, 83, 91, 104, 116, 117, 138, 147, 148, 192, 195, 202, 230, 235, 258, 269, 284, 293, 300, 304, 307, 345, 355, 383, 396, 415, 438, 490], [14, 19, 33, 57, 59, 79, 102, 106, 136, 164, 177, 194, 201, 298, 303, 338, 344, 365, 371, 418, 465, 507], [67, 125, 211, 283, 420, 447], [464], [452], []], 344, 4, 17)"
