Generation,mean,best
0,315.23731343283583,288.5
1,314.95671641791046,279.0
2,312.99303482587067,262.0
3,312.67164179104475,262.0
4,313.092039800995,262.0
5,311.49004975124376,262.0
6,313.09452736318406,262.0
7,310.8144278606965,262.0
8,310.30845771144277,262.0
9,308.3412935323383,262.0
10,307.58308457711445,262.0
11,307.6373134328358,262.0
12,307.0825870646766,262.0
13,307.53880597014927,262.0
14,306.61592039800996,262.0
15,305.17512437810944,262.0
16,304.581592039801,262.0
17,303.42537313432837,262.0
18,303.3442786069652,262.0
19,302.78457711442786,262.0
20,301.91592039801,262.0
21,301.00099502487564,262.0
22,301.12587064676615,262.0
23,300.1547263681592,262.0
24,300.018407960199,262.0
25,299.2253731343284,260.3
26,296.9213930348259,260.0
27,297.4597014925373,260.0
28,295.7507462686567,260.0
29,296.43482587064676,258.6
30,295.1756218905473,258.6
31,295.036815920398,258.6
32,294.22636815920396,258.4
33,294.7412935323383,258.4
34,293.57960199004975,258.4
35,291.79800995024874,251.1
36,291.63283582089554,251.1
37,291.52487562189054,251.1
38,290.6189054726368,251.1
39,289.44378109452737,233.1
40,290.61940298507466,233.1
41,290.05174129353236,233.1
42,288.52487562189054,233.1
43,288.9776119402985,233.1
44,287.7218905472637,233.1
45,287.1820895522388,233.1
46,286.081592039801,233.1
47,287.0771144278607,233.1
48,285.12039800995024,233.1
49,286.4497512437811,233.1
50,284.6268656716418,233.1
51,284.752736318408,233.1
52,284.70746268656717,233.1
53,281.9592039800995,233.1
54,283.7686567164179,233.1
55,283.28656716417913,233.1
56,282.7840796019901,233.1
57,281.84676616915425,233.1
58,282.41492537313434,233.1
59,283.58905472636815,233.1
60,280.8820895522388,233.1
61,281.47910447761194,233.1
62,280.0676616915423,233.1
63,280.68756218905474,233.1
64,279.4124378109453,233.1
65,278.9686567164179,233.1
66,278.26467661691544,233.1
67,277.99900497512436,233.1
68,278.37960199004976,233.1
69,278.03731343283584,233.1
70,277.1756218905473,233.1
71,277.1781094527363,233.1
72,277.24427860696517,233.1
73,275.607960199005,233.1
74,276.22587064676617,233.1
75,276.0636815920398,233.1
76,275.71691542288556,233.1
77,274.4980099502488,233.1
78,274.8860696517413,233.1
79,274.0144278606965,233.1
80,273.72985074626865,233.1
81,275.7930348258706,233.1
82,273.4985074626866,233.1
83,274.21542288557214,233.1
84,273.0860696517413,233.1
85,272.09203980099505,233.1
86,273.2875621890547,233.1
87,272.2343283582089,233.1
88,272.33482587064674,229.6
89,272.2348258706468,229.6
90,271.71144278606965,229.6
91,271.18805970149253,229.6
92,271.69253731343287,229.6
93,271.99303482587067,229.6
94,271.5880597014925,229.6
95,271.87512437810943,229.6
96,272.0681592039801,229.6
97,271.41641791044776,229.6
98,271.6462686567164,229.6
99,270.55223880597015,229.6
random,"([[3], [142, 271, 493], [233, 282, 287, 339, 354, 374, 391, 401, 408, 427, 442], [5, 7, 19, 25, 31, 41, 57, 64, 71, 99, 119, 144, 150, 151, 158, 169, 184, 212, 238, 247, 248, 250, 256, 273, 291, 293, 294, 301, 307, 310, 319, 333, 363, 368, 375, 381, 395, 403, 417, 426, 450, 452, 453, 470], [15, 46, 48, 50, 52, 70, 76, 81, 104, 137, 146, 160, 164, 198, 202, 234, 236, 260, 265, 279, 289, 292, 299, 302, 330, 346, 385, 397, 399, 400, 413, 428, 429, 437, 443, 445, 457, 460, 465, 472, 484, 496, 505], [8, 13, 27, 32, 39, 47, 49, 51, 54, 56, 58, 62, 69, 72, 77, 78, 85, 86, 93, 100, 103, 111, 116, 117, 118, 130, 138, 152, 168, 182, 183, 191, 192, 197, 209, 211, 229, 242, 246, 252, 264, 272, 275, 312, 314, 317, 322, 334, 344, 353, 359, 382, 389, 394, 396, 410, 415, 423, 431, 444, 448, 456, 459, 476, 478, 485, 486, 488, 494, 498, 508], [2, 18, 22, 82, 84, 92, 102, 105, 106, 120, 121, 122, 128, 129, 159, 175, 177, 180, 196, 201, 206, 208, 214, 219, 224, 231, 241, 243, 251, 254, 259, 267, 281, 296, 303, 313, 335, 348, 357, 364, 371, 377, 390, 398, 402, 404, 405, 414, 418, 421, 440, 449, 455, 463, 466, 467, 474, 475, 477, 481, 487, 495, 497, 499], [17, 20, 30, 53, 67, 73, 89, 91, 108, 115, 143, 153, 155, 166, 170, 171, 174, 188, 189, 200, 204, 205, 210, 215, 216, 222, 225, 227, 228, 239, 262, 268, 274, 277, 283, 290, 298, 311, 320, 352, 365, 372, 373, 384, 388, 393, 425, 433, 436, 441, 471, 489, 510], [1, 23, 40, 94, 97, 101, 163, 178, 181, 217, 245, 325, 331, 342, 355, 358, 376, 387, 392, 420, 461, 483], [28, 38, 90, 112, 124, 136, 176, 186, 195, 305, 315, 378, 434], [6, 125, 257, 295, 328, 454], [4, 131, 232, 509], []], 335, 3, 11)"
