gen >0, new best = 325.200
gen >0, new best = 265.700
gen >0, new best = 264.200
gen >0, new best = 262.200
gen >0, new best = 255.400
gen >0, new best = 248.100
gen >0, new best = 240.400
gen >0, new best = 209.900
gen: 0 best: 209.9 mean: 311.7057213930348
gen >1, new best = 148.800
gen: 1 best: 148.8 mean: 308.17114427860696
gen: 2 best: 148.8 mean: 303.4303482587065
gen: 3 best: 148.8 mean: 300.48955223880597
gen: 4 best: 148.8 mean: 295.0074626865672
gen: 5 best: 148.8 mean: 293.10547263681593
gen: 6 best: 148.8 mean: 292.2129353233831
gen: 7 best: 148.8 mean: 288.8960199004975
gen: 8 best: 148.8 mean: 284.29950248756217
gen: 9 best: 148.8 mean: 288.32338308457713
gen: 10 best: 148.8 mean: 285.4522388059701
gen: 11 best: 148.8 mean: 281.59203980099505
gen: 12 best: 148.8 mean: 282.88905472636816
gen: 13 best: 148.8 mean: 274.4522388059701
gen: 14 best: 148.8 mean: 275.50995024875624
gen: 15 best: 148.8 mean: 271.8412935323383
gen: 16 best: 148.8 mean: 271.37810945273634
gen: 17 best: 148.8 mean: 269.09402985074627
gen: 18 best: 148.8 mean: 270.16766169154226
gen: 19 best: 148.8 mean: 271.80099502487565
gen: 20 best: 148.8 mean: 271.0900497512438
gen: 21 best: 148.8 mean: 269.5144278606965
gen: 22 best: 148.8 mean: 267.1084577114428
gen: 23 best: 148.8 mean: 268.92089552238804
gen: 24 best: 148.8 mean: 263.9691542288557
gen: 25 best: 148.8 mean: 266.46019900497515
gen: 26 best: 148.8 mean: 267.45174129353234
gen: 27 best: 148.8 mean: 260.6507462686567
gen: 28 best: 148.8 mean: 261.75572139303483
gen: 29 best: 148.8 mean: 262.58407960199
gen: 30 best: 148.8 mean: 257.3950248756219
gen: 31 best: 148.8 mean: 259.5417910447761
gen: 32 best: 148.8 mean: 257.63432835820896
gen: 33 best: 148.8 mean: 257.073631840796
gen: 34 best: 148.8 mean: 258.29253731343283
gen: 35 best: 148.8 mean: 254.64228855721393
gen: 36 best: 148.8 mean: 254.07412935323384
gen: 37 best: 148.8 mean: 257.54278606965175
gen: 38 best: 148.8 mean: 255.58457711442787
gen: 39 best: 148.8 mean: 252.94278606965173
gen: 40 best: 148.8 mean: 251.92139303482588
gen: 41 best: 148.8 mean: 249.28805970149253
gen: 42 best: 148.8 mean: 250.60199004975124
gen: 43 best: 148.8 mean: 251.85671641791043
gen: 44 best: 148.8 mean: 251.16517412935323
gen: 45 best: 148.8 mean: 250.51492537313433
gen: 46 best: 148.8 mean: 246.5099502487562
gen: 47 best: 148.8 mean: 245.31194029850747
gen: 48 best: 148.8 mean: 244.78706467661692
gen: 49 best: 148.8 mean: 244.50746268656715
gen: 50 best: 148.8 mean: 246.86218905472637
gen: 51 best: 148.8 mean: 244.90248756218907
gen: 52 best: 148.8 mean: 244.58507462686566
gen: 53 best: 148.8 mean: 246.47462686567164
gen: 54 best: 148.8 mean: 241.75721393034826
gen: 55 best: 148.8 mean: 243.6587064676617
gen: 56 best: 148.8 mean: 239.82885572139304
gen: 57 best: 148.8 mean: 242.86766169154228
gen: 58 best: 148.8 mean: 243.03532338308457
gen: 59 best: 148.8 mean: 242.23930348258708
gen: 60 best: 148.8 mean: 242.07363184079603
gen: 61 best: 148.8 mean: 243.2507462686567
gen: 62 best: 148.8 mean: 242.45572139303482
gen: 63 best: 148.8 mean: 240.96965174129352
gen: 64 best: 148.8 mean: 240.13532338308457
gen: 65 best: 148.8 mean: 241.46915422885573
gen: 66 best: 148.8 mean: 239.4009950248756
gen: 67 best: 148.8 mean: 241.03383084577115
gen: 68 best: 148.8 mean: 238.53034825870645
gen: 69 best: 148.8 mean: 239.44875621890546
gen: 70 best: 148.8 mean: 237.8995024875622
gen: 71 best: 148.8 mean: 238.7308457711443
gen: 72 best: 148.8 mean: 236.9313432835821
gen: 73 best: 148.8 mean: 235.50746268656715
gen: 74 best: 148.8 mean: 237.63034825870648
gen: 75 best: 148.8 mean: 236.59800995024875
gen: 76 best: 148.8 mean: 234.86716417910446
gen: 77 best: 148.8 mean: 234.57512437810945
gen: 78 best: 148.8 mean: 235.07462686567163
gen: 79 best: 148.8 mean: 236.8910447761194
gen: 80 best: 148.8 mean: 235.58457711442787
gen: 81 best: 148.8 mean: 232.04179104477612
gen: 82 best: 148.8 mean: 232.80248756218904
gen: 83 best: 148.8 mean: 234.96069651741294
gen: 84 best: 148.8 mean: 235.60746268656717
gen: 85 best: 148.8 mean: 232.01890547263682
gen: 86 best: 148.8 mean: 234.52885572139303
gen: 87 best: 148.8 mean: 231.9865671641791
gen: 88 best: 148.8 mean: 234.955223880597
gen: 89 best: 148.8 mean: 232.86915422885573
gen: 90 best: 148.8 mean: 232.83880597014925
gen: 91 best: 148.8 mean: 230.43830845771143
gen: 92 best: 148.8 mean: 233.455223880597
gen: 93 best: 148.8 mean: 231.24427860696517
gen: 94 best: 148.8 mean: 231.2960199004975
gen: 95 best: 148.8 mean: 233.5283582089552
gen: 96 best: 148.8 mean: 233.94477611940297
gen: 97 best: 148.8 mean: 232.36716417910446
gen: 98 best: 148.8 mean: 230.41641791044776
gen: 99 best: 148.8 mean: 230.544776119403
