Generation,mean,best
0,321.1470149253731,276.1
1,318.1925373134328,275.2
2,314.344776119403,271.5
3,310.2069651741294,271.5
4,309.0880597014925,262.1
5,303.83084577114425,262.1
6,304.7084577114428,258.2
7,301.2641791044776,258.2
8,300.3328358208955,258.2
9,299.30845771144277,258.2
10,299.48059701492537,255.7
11,296.5199004975124,255.7
12,296.5641791044776,255.7
13,294.2199004975124,254.4
14,294.79701492537316,254.4
15,293.88756218905473,254.4
16,291.59601990049754,253.1
17,289.35273631840795,253.1
18,291.23532338308456,244.9
19,288.444776119403,244.9
20,287.69751243781093,244.9
21,286.80348258706465,236.9
22,285.6044776119403,236.9
23,286.72587064676617,236.9
24,284.69502487562187,236.9
25,283.5218905472637,236.9
26,282.32487562189056,236.9
27,282.6796019900498,236.9
28,281.6208955223881,236.9
29,281.68955223880596,236.9
30,280.6517412935323,227.1
31,280.67910447761193,227.1
32,279.61044776119405,227.1
33,280.0716417910448,227.1
34,278.26616915422886,227.1
35,279.3348258706468,227.1
36,279.32835820895525,227.1
37,277.37810945273634,227.1
38,277.0776119402985,227.1
39,276.76616915422886,227.1
40,276.6134328358209,227.1
41,277.6283582089552,227.1
42,276.61442786069654,227.1
43,275.9800995024876,227.1
44,274.2621890547264,227.1
45,275.5935323383085,227.1
46,275.73034825870644,227.1
47,275.49900497512436,227.1
48,274.97363184079603,227.1
49,275.0189054726368,227.1
50,274.5218905472637,227.1
51,275.47910447761194,227.1
52,275.96965174129355,227.1
53,273.9776119402985,227.1
54,275.7621890547264,227.1
55,271.4955223880597,227.1
56,274.5223880597015,227.1
57,274.3557213930348,227.1
58,272.50597014925376,227.1
59,274.2452736318408,227.1
60,271.56318407960197,227.1
61,273.43482587064676,227.1
62,274.1462686567164,227.1
63,272.97512437810946,227.1
64,273.173631840796,227.1
65,272.5477611940299,227.1
66,272.0422885572139,227.1
67,270.58706467661693,227.1
68,270.7676616915423,227.1
69,270.77611940298505,227.1
70,271.963184079602,227.1
71,271.49800995024873,227.1
72,271.34328358208955,227.1
73,270.7562189054726,227.1
74,270.5776119402985,227.1
75,271.3547263681592,227.1
76,270.6761194029851,227.1
77,271.5004975124378,227.1
78,270.5592039800995,227.1
79,272.4875621890547,227.1
80,269.4726368159204,227.1
81,271.44825870646764,227.1
82,270.76119402985074,227.1
83,270.6233830845771,227.1
84,271.54328358208954,227.1
85,269.5582089552239,227.1
86,269.48457711442785,227.1
87,268.69303482587065,224.0
88,268.6338308457712,224.0
89,269.43880597014925,224.0
90,269.97363184079603,224.0
91,269.7915422885572,224.0
92,270.5567164179104,224.0
93,268.6099502487562,224.0
94,270.1303482587065,224.0
95,268.17860696517414,224.0
96,270.0452736318408,224.0
97,270.14925373134326,224.0
98,267.5915422885572,224.0
99,269.7746268656716,224.0
random,"([[9], [304], [56, 191], [29, 129, 148, 285, 388, 474], [70, 204, 236, 415, 446, 487], [37, 40, 49, 55, 57, 60, 63, 69, 75, 79, 135, 177, 184, 192, 201, 230, 235, 237, 267, 268, 269, 275, 277, 283, 303, 338, 344, 351, 354, 356, 365, 383, 411, 432, 447, 463], [2, 5, 11, 12, 31, 33, 39, 41, 51, 52, 73, 76, 81, 83, 99, 101, 104, 112, 113, 116, 117, 134, 147, 151, 165, 170, 196, 211, 221, 232, 246, 249, 254, 258, 259, 271, 273, 278, 284, 288, 289, 291, 310, 314, 319, 324, 345, 355, 396, 401, 406, 414, 416, 421, 422, 426, 451, 460, 490, 502, 508], [3, 7, 14, 16, 30, 34, 35, 61, 62, 86, 93, 95, 109, 110, 132, 136, 172, 195, 198, 202, 212, 215, 228, 247, 257, 281, 290, 297, 302, 322, 328, 329, 349, 350, 353, 374, 377, 379, 394, 400, 408, 409, 412, 413, 440, 442, 443, 450, 455, 457, 458, 467, 483, 495], [1, 64, 65, 67, 77, 82, 98, 102, 119, 152, 154, 168, 171, 180, 182, 206, 225, 241, 243, 251, 280, 293, 298, 309, 335, 339, 359, 362, 386, 390, 417, 439, 454, 473], [17, 111, 121, 126, 149, 161, 162, 219, 222, 295, 299, 301, 316, 405, 452, 465, 499], [44, 185, 220, 239, 274, 360, 376, 402, 464, 500], [48, 91, 94, 137, 140, 174, 352, 378, 428, 491], [20, 123, 130, 315, 330, 468], [159, 369, 389, 486], [22, 115, 188, 227, 336, 469, 489, 510], [32, 108, 250, 305, 331, 392, 461, 477], [87, 166, 205, 343, 497], [370], []], 270, 6, 10)"
