gen >0, new best = 333.300
gen >0, new best = 313.900
gen: 0 best: 313.9 mean: 340.74751243781094
gen: 1 best: 313.9 mean: 339.5
gen: 2 best: 313.9 mean: 339.10646766169157
gen >3, new best = 312.900
gen: 3 best: 312.9 mean: 338.9636815920398
gen: 4 best: 312.9 mean: 338.5323383084577
gen >5, new best = 299.300
gen: 5 best: 299.3 mean: 336.9681592039801
gen: 6 best: 299.3 mean: 336.37860696517413
gen: 7 best: 299.3 mean: 336.2651741293532
gen: 8 best: 299.3 mean: 334.7716417910448
gen: 9 best: 299.3 mean: 334.5353233830846
gen: 10 best: 299.3 mean: 334.49303482587067
gen: 11 best: 299.3 mean: 333.2965174129353
gen: 12 best: 299.3 mean: 333.28507462686565
gen: 13 best: 299.3 mean: 332.644776119403
gen: 14 best: 299.3 mean: 332.2512437810945
gen >15, new best = 297.000
gen: 15 best: 297.0 mean: 331.65671641791045
gen: 16 best: 297.0 mean: 330.8592039800995
gen: 17 best: 297.0 mean: 331.57412935323384
gen: 18 best: 297.0 mean: 329.8845771144279
gen: 19 best: 297.0 mean: 329.89104477611943
gen: 20 best: 297.0 mean: 330.41990049751246
gen: 21 best: 297.0 mean: 328.43283582089555
gen: 22 best: 297.0 mean: 328.8587064676617
gen: 23 best: 297.0 mean: 329.34278606965177
gen: 24 best: 297.0 mean: 328.99154228855724
gen: 25 best: 297.0 mean: 327.65621890547266
gen: 26 best: 297.0 mean: 328.18407960199005
gen: 27 best: 297.0 mean: 326.2199004975124
gen: 28 best: 297.0 mean: 327.263184079602
gen >29, new best = 294.600
gen: 29 best: 294.6 mean: 324.7990049751244
gen: 30 best: 294.6 mean: 325.66517412935326
gen >31, new best = 293.100
gen: 31 best: 293.1 mean: 324.326368159204
gen: 32 best: 293.1 mean: 324.68009950248756
gen: 33 best: 293.1 mean: 323.78109452736317
gen: 34 best: 293.1 mean: 323.33980099502486
gen >35, new best = 288.300
gen: 35 best: 288.3 mean: 323.2253731343284
gen: 36 best: 288.3 mean: 321.7601990049751
gen: 37 best: 288.3 mean: 322.07462686567163
gen: 38 best: 288.3 mean: 320.99701492537315
gen: 39 best: 288.3 mean: 320.50646766169154
gen: 40 best: 288.3 mean: 320.16169154228857
gen >41, new best = 278.600
gen: 41 best: 278.6 mean: 319.99154228855724
gen: 42 best: 278.6 mean: 319.11144278606963
gen: 43 best: 278.6 mean: 320.0169154228856
gen: 44 best: 278.6 mean: 319.5039800995025
gen: 45 best: 278.6 mean: 318.81791044776116
gen: 46 best: 278.6 mean: 318.6457711442786
gen: 47 best: 278.6 mean: 317.4004975124378
gen: 48 best: 278.6 mean: 318.1154228855721
gen: 49 best: 278.6 mean: 317.7268656716418
gen: 50 best: 278.6 mean: 317.8696517412935
gen: 51 best: 278.6 mean: 316.9646766169154
gen: 52 best: 278.6 mean: 316.8681592039801
gen: 53 best: 278.6 mean: 317.1885572139303
gen: 54 best: 278.6 mean: 316.1796019900498
gen: 55 best: 278.6 mean: 316.7129353233831
gen: 56 best: 278.6 mean: 315.463184079602
gen: 57 best: 278.6 mean: 315.8537313432836
gen: 58 best: 278.6 mean: 315.6542288557214
gen: 59 best: 278.6 mean: 315.7945273631841
gen: 60 best: 278.6 mean: 316.43333333333334
gen: 61 best: 278.6 mean: 316.4467661691542
gen: 62 best: 278.6 mean: 315.07910447761196
gen: 63 best: 278.6 mean: 315.84527363184077
gen: 64 best: 278.6 mean: 316.42437810945273
gen: 65 best: 278.6 mean: 314.0771144278607
gen: 66 best: 278.6 mean: 314.9034825870647
gen: 67 best: 278.6 mean: 313.7089552238806
gen: 68 best: 278.6 mean: 313.7542288557214
gen >69, new best = 277.000
gen: 69 best: 277.0 mean: 314.2691542288557
gen: 70 best: 277.0 mean: 313.09253731343284
gen: 71 best: 277.0 mean: 313.1810945273632
gen: 72 best: 277.0 mean: 312.23731343283583
gen: 73 best: 277.0 mean: 312.85771144278607
gen >74, new best = 265.300
gen: 74 best: 265.3 mean: 311.73830845771147
gen: 75 best: 265.3 mean: 313.10746268656715
gen: 76 best: 265.3 mean: 311.46616915422885
gen: 77 best: 265.3 mean: 311.9303482587065
gen: 78 best: 265.3 mean: 311.63432835820896
gen: 79 best: 265.3 mean: 310.94278606965173
gen: 80 best: 265.3 mean: 310.69850746268656
gen: 81 best: 265.3 mean: 310.19154228855723
gen: 82 best: 265.3 mean: 310.67512437810944
gen: 83 best: 265.3 mean: 310.5402985074627
gen: 84 best: 265.3 mean: 310.0134328358209
gen: 85 best: 265.3 mean: 310.92935323383085
gen: 86 best: 265.3 mean: 310.54825870646766
gen: 87 best: 265.3 mean: 310.38557213930346
gen: 88 best: 265.3 mean: 310.8726368159204
gen: 89 best: 265.3 mean: 310.5462686567164
gen: 90 best: 265.3 mean: 309.9189054726368
gen: 91 best: 265.3 mean: 309.0771144278607
gen: 92 best: 265.3 mean: 309.29004975124377
gen: 93 best: 265.3 mean: 309.7492537313433
gen: 94 best: 265.3 mean: 309.97164179104476
gen: 95 best: 265.3 mean: 309.6154228855721
gen: 96 best: 265.3 mean: 309.1641791044776
gen: 97 best: 265.3 mean: 310.1412935323383
gen: 98 best: 265.3 mean: 309.88905472636816
gen: 99 best: 265.3 mean: 309.426368159204
