gen >0, new best = 329.000
gen >0, new best = 296.200
gen >0, new best = 258.400
gen: 0 best: 258.4 mean: 311.17164179104475
gen >1, new best = 243.000
gen: 1 best: 243.0 mean: 303.40796019900495
gen: 2 best: 243.0 mean: 303.673631840796
gen: 3 best: 243.0 mean: 299.763184079602
gen >4, new best = 242.300
gen: 4 best: 242.3 mean: 298.5089552238806
gen: 5 best: 242.3 mean: 296.181592039801
gen: 6 best: 242.3 mean: 293.7905472636816
gen >7, new best = 241.400
gen >7, new best = 240.200
gen: 7 best: 240.2 mean: 294.33930348258707
gen >8, new best = 238.300
gen: 8 best: 238.3 mean: 290.97960199004973
gen: 9 best: 238.3 mean: 288.4233830845771
gen >10, new best = 237.500
gen >10, new best = 217.100
gen: 10 best: 217.1 mean: 286.92985074626864
gen: 11 best: 217.1 mean: 287.5567164179104
gen: 12 best: 217.1 mean: 285.41691542288555
gen: 13 best: 217.1 mean: 286.0233830845771
gen: 14 best: 217.1 mean: 281.8900497512438
gen: 15 best: 217.1 mean: 283.2159203980099
gen: 16 best: 217.1 mean: 279.7840796019901
gen: 17 best: 217.1 mean: 277.61990049751245
gen: 18 best: 217.1 mean: 276.64378109452736
gen: 19 best: 217.1 mean: 275.74228855721395
gen: 20 best: 217.1 mean: 274.94427860696516
gen: 21 best: 217.1 mean: 274.77910447761195
gen: 22 best: 217.1 mean: 274.247263681592
gen: 23 best: 217.1 mean: 269.71890547263683
gen: 24 best: 217.1 mean: 269.23034825870644
gen: 25 best: 217.1 mean: 267.30696517412935
gen: 26 best: 217.1 mean: 267.2213930348259
gen: 27 best: 217.1 mean: 268.0233830845771
gen: 28 best: 217.1 mean: 265.43482587064676
gen: 29 best: 217.1 mean: 265.87960199004976
gen: 30 best: 217.1 mean: 265.67661691542287
gen: 31 best: 217.1 mean: 265.5965174129353
gen: 32 best: 217.1 mean: 265.5507462686567
gen: 33 best: 217.1 mean: 265.4044776119403
gen: 34 best: 217.1 mean: 262.82487562189056
gen >35, new best = 206.200
gen: 35 best: 206.2 mean: 262.7820895522388
gen: 36 best: 206.2 mean: 261.6318407960199
gen: 37 best: 206.2 mean: 262.607960199005
gen: 38 best: 206.2 mean: 260.8681592039801
gen: 39 best: 206.2 mean: 259.76069651741295
gen: 40 best: 206.2 mean: 258.6611940298507
gen: 41 best: 206.2 mean: 256.952736318408
gen: 42 best: 206.2 mean: 257.4875621890547
gen: 43 best: 206.2 mean: 255.88358208955225
gen: 44 best: 206.2 mean: 257.5676616915423
gen: 45 best: 206.2 mean: 255.46467661691543
gen: 46 best: 206.2 mean: 255.97611940298506
gen: 47 best: 206.2 mean: 252.87213930348258
gen: 48 best: 206.2 mean: 254.88805970149252
gen: 49 best: 206.2 mean: 252.9094527363184
gen: 50 best: 206.2 mean: 251.65323383084578
gen: 51 best: 206.2 mean: 253.46169154228855
gen: 52 best: 206.2 mean: 251.80149253731344
gen: 53 best: 206.2 mean: 251.13233830845772
gen: 54 best: 206.2 mean: 251.64776119402984
gen: 55 best: 206.2 mean: 250.25323383084577
gen: 56 best: 206.2 mean: 249.75572139303483
gen: 57 best: 206.2 mean: 250.16965174129353
gen: 58 best: 206.2 mean: 249.2134328358209
gen: 59 best: 206.2 mean: 249.17960199004975
gen >60, new best = 200.500
gen: 60 best: 200.5 mean: 248.09950248756218
gen: 61 best: 200.5 mean: 248.31094527363183
gen: 62 best: 200.5 mean: 246.62786069651742
gen: 63 best: 200.5 mean: 249.05820895522388
gen: 64 best: 200.5 mean: 248.02089552238806
gen: 65 best: 200.5 mean: 249.14825870646766
gen: 66 best: 200.5 mean: 249.77064676616916
gen: 67 best: 200.5 mean: 248.5
gen: 68 best: 200.5 mean: 248.61094527363184
gen: 69 best: 200.5 mean: 248.2726368159204
gen: 70 best: 200.5 mean: 248.44029850746267
gen: 71 best: 200.5 mean: 248.31492537313432
gen: 72 best: 200.5 mean: 247.88905472636816
gen: 73 best: 200.5 mean: 246.4457711442786
gen: 74 best: 200.5 mean: 248.63880597014926
gen: 75 best: 200.5 mean: 247.97860696517412
gen: 76 best: 200.5 mean: 246.27512437810944
gen: 77 best: 200.5 mean: 245.8323383084577
gen: 78 best: 200.5 mean: 246.56965174129354
gen: 79 best: 200.5 mean: 245.2044776119403
gen: 80 best: 200.5 mean: 246.2905472636816
gen: 81 best: 200.5 mean: 246.09800995024875
gen: 82 best: 200.5 mean: 248.1547263681592
gen: 83 best: 200.5 mean: 247.26069651741292
gen: 84 best: 200.5 mean: 245.2820895522388
gen: 85 best: 200.5 mean: 246.24577114427862
gen: 86 best: 200.5 mean: 246.96616915422885
gen: 87 best: 200.5 mean: 246.89253731343283
gen: 88 best: 200.5 mean: 246.75522388059701
gen: 89 best: 200.5 mean: 245.81741293532338
gen: 90 best: 200.5 mean: 247.1950248756219
gen: 91 best: 200.5 mean: 246.0990049751244
gen: 92 best: 200.5 mean: 246.22139303482587
gen: 93 best: 200.5 mean: 247.681592039801
gen: 94 best: 200.5 mean: 245.41542288557213
gen: 95 best: 200.5 mean: 246.02189054726367
gen: 96 best: 200.5 mean: 247.50199004975124
gen: 97 best: 200.5 mean: 245.9771144278607
gen: 98 best: 200.5 mean: 247.35174129353234
gen: 99 best: 200.5 mean: 245.99402985074627
