Generation,mean,best
0,312.09601990049754,280.0
1,311.5995024875622,280.0
2,309.89452736318407,280.0
3,310.2129353233831,280.0
4,309.32338308457713,280.0
5,309.9278606965174,275.3
6,308.60547263681593,275.3
7,308.24776119402986,275.3
8,306.4412935323383,274.5
9,306.2228855721393,270.8
10,304.7681592039801,270.8
11,304.1119402985075,270.8
12,304.40248756218904,270.8
13,303.72985074626865,270.8
14,302.70049751243783,270.8
15,302.3179104477612,270.8
16,301.55621890547263,270.8
17,300.36169154228855,270.8
18,300.3726368159204,270.8
19,300.75771144278605,270.8
20,301.0049751243781,267.0
21,299.9139303482587,267.0
22,298.8,267.0
23,298.3870646766169,267.0
24,298.1323383084577,267.0
25,298.4890547263682,267.0
26,299.1741293532338,267.0
27,297.55621890547263,267.0
28,297.3865671641791,267.0
29,296.4860696517413,262.3
30,295.73532338308456,262.3
31,295.30298507462686,262.3
32,294.144776119403,257.3
33,293.2039800995025,257.3
34,293.84378109452734,257.3
35,292.7776119402985,257.3
36,294.0417910447761,257.3
37,293.1273631840796,257.3
38,292.5601990049751,257.3
39,292.8915422885572,257.3
40,292.24477611940296,257.3
41,292.7129353233831,257.3
42,291.93283582089555,257.3
43,290.43532338308455,257.3
44,291.3044776119403,257.3
45,290.9358208955224,257.3
46,290.163184079602,257.3
47,289.7407960199005,251.0
48,289.5641791044776,251.0
49,289.1373134328358,251.0
50,288.97462686567167,251.0
51,288.3776119402985,251.0
52,288.6427860696517,251.0
53,286.8044776119403,251.0
54,287.5865671641791,251.0
55,287.8144278606965,251.0
56,287.2069651741294,251.0
57,287.573631840796,251.0
58,286.7253731343284,251.0
59,286.2378109452736,251.0
60,286.0751243781095,251.0
61,285.82935323383083,251.0
62,287.4,251.0
63,287.981592039801,251.0
64,286.50995024875624,251.0
65,285.80646766169156,251.0
66,286.555223880597,251.0
67,286.3273631840796,251.0
68,286.16218905472635,251.0
69,286.144776119403,251.0
70,287.08009950248754,251.0
71,286.43482587064676,251.0
72,286.6223880597015,251.0
73,286.21144278606965,251.0
74,285.6611940298507,251.0
75,286.8273631840796,251.0
76,285.6179104477612,251.0
77,285.60149253731345,251.0
78,286.00248756218906,251.0
79,285.2542288557214,251.0
80,285.6636815920398,251.0
81,284.86019900497513,251.0
82,285.6980099502488,251.0
83,285.4,247.3
84,284.04129353233833,247.3
85,285.00199004975127,247.3
86,284.52537313432833,247.3
87,285.734328358209,247.3
88,285.21343283582087,247.3
89,284.126368159204,243.8
90,285.5825870646766,243.8
91,284.4363184079602,243.8
92,284.44278606965173,243.8
93,284.3825870646766,243.8
94,284.3606965174129,243.8
95,284.17661691542287,243.8
96,283.82835820895525,241.4
97,283.02039800995027,241.4
98,284.14925373134326,241.4
99,283.2716417910448,241.4
random,"([[9], [304], [56], [70, 236, 285, 388, 487], [49, 60, 69, 83, 117, 184, 191, 192, 195, 201, 204, 230, 235, 237, 246, 267, 268, 283, 344, 354, 356, 401, 411, 460, 474], [5, 11, 12, 14, 31, 40, 73, 76, 81, 99, 101, 104, 110, 112, 113, 116, 134, 147, 170, 173, 211, 249, 260, 273, 278, 293, 303, 310, 345, 396, 415, 422, 438, 450, 451, 462, 471, 490, 502], [19, 21, 30, 37, 41, 47, 50, 52, 64, 79, 86, 95, 97, 105, 109, 129, 138, 139, 140, 176, 177, 194, 196, 199, 212, 221, 242, 248, 255, 270, 338, 361, 365, 366, 380, 405, 408, 432, 443, 456, 463, 486, 495, 508], [3, 8, 13, 25, 26, 32, 39, 44, 63, 87, 106, 135, 150, 158, 160, 180, 198, 206, 207, 233, 239, 259, 265, 271, 289, 290, 294, 339, 362, 371, 381, 395, 406, 416, 425, 442, 445, 452, 457, 459, 465, 470, 478, 483, 489, 505], [22, 46, 48, 55, 58, 62, 65, 68, 96, 98, 111, 137, 151, 157, 171, 179, 190, 193, 203, 250, 286, 287, 296, 297, 313, 314, 337, 346, 372, 374, 375, 377, 386, 391, 397, 402, 412, 427, 437, 444, 453, 468, 477, 482, 493], [74, 93, 94, 102, 108, 155, 159, 188, 215, 225, 251, 257, 266, 274, 276, 299, 319, 327, 334, 336, 384, 413, 414, 421, 428, 430, 434, 441, 449, 497], [1, 7, 20, 45, 92, 123, 132, 142, 164, 174, 182, 187, 219, 305, 315, 317, 318, 330, 333, 335, 348, 358, 393, 433, 435, 439, 461, 467, 500], [15, 72, 82, 90, 124, 141, 161, 162, 222, 227, 232, 263, 280, 308, 325, 343, 369, 382, 392, 454], [66, 121, 122, 131, 143, 153, 244, 312, 329, 387, 503], [2, 210, 261], [35, 189, 309], [295, 494], [243], [311, 424], []], 308, 4, 13)"
