gen >0, new best = 274.200
gen >0, new best = 224.200
gen: 0 best: 224.2 mean: 309.41840796019903
gen >1, new best = 218.800
gen >1, new best = 217.200
gen >1, new best = 207.200
gen: 1 best: 207.2 mean: 296.9094527363184
gen: 2 best: 207.2 mean: 296.5820895522388
gen: 3 best: 207.2 mean: 292.72587064676617
gen >4, new best = 206.600
gen: 4 best: 206.6 mean: 285.05970149253733
gen: 5 best: 206.6 mean: 282.65820895522387
gen >6, new best = 202.600
gen: 6 best: 202.6 mean: 277.7960199004975
gen: 7 best: 202.6 mean: 272.5592039800995
gen >8, new best = 192.500
gen: 8 best: 192.5 mean: 270.51940298507463
gen >9, new best = 167.200
gen: 9 best: 167.2 mean: 265.24776119402986
gen: 10 best: 167.2 mean: 262.19353233830844
gen: 11 best: 167.2 mean: 262.663184079602
gen: 12 best: 167.2 mean: 258.5278606965174
gen: 13 best: 167.2 mean: 262.0238805970149
gen: 14 best: 167.2 mean: 257.9960199004975
gen: 15 best: 167.2 mean: 250.13781094527363
gen: 16 best: 167.2 mean: 250.60199004975124
gen: 17 best: 167.2 mean: 251.31144278606965
gen: 18 best: 167.2 mean: 248.88905472636816
gen: 19 best: 167.2 mean: 251.73582089552238
gen: 20 best: 167.2 mean: 246.3398009950249
gen: 21 best: 167.2 mean: 246.52537313432836
gen: 22 best: 167.2 mean: 242.4412935323383
gen: 23 best: 167.2 mean: 243.08507462686566
gen: 24 best: 167.2 mean: 240.47114427860697
gen: 25 best: 167.2 mean: 238.75771144278607
gen: 26 best: 167.2 mean: 240.40547263681592
gen: 27 best: 167.2 mean: 240.10199004975124
gen: 28 best: 167.2 mean: 236.77412935323383
gen: 29 best: 167.2 mean: 236.47611940298506
gen: 30 best: 167.2 mean: 235.57014925373133
gen: 31 best: 167.2 mean: 233.14726368159205
gen: 32 best: 167.2 mean: 234.83034825870647
gen: 33 best: 167.2 mean: 232.20547263681593
gen: 34 best: 167.2 mean: 230.23731343283583
gen: 35 best: 167.2 mean: 233.71094527363184
gen: 36 best: 167.2 mean: 231.19452736318408
gen: 37 best: 167.2 mean: 232.5502487562189
gen: 38 best: 167.2 mean: 231.6452736318408
gen: 39 best: 167.2 mean: 230.40995024875622
gen: 40 best: 167.2 mean: 230.15124378109454
gen: 41 best: 167.2 mean: 230.8597014925373
gen: 42 best: 167.2 mean: 227.04726368159203
gen: 43 best: 167.2 mean: 229.9731343283582
gen: 44 best: 167.2 mean: 230.6099502487562
gen: 45 best: 167.2 mean: 232.89154228855722
gen: 46 best: 167.2 mean: 231.0681592039801
gen: 47 best: 167.2 mean: 224.5328358208955
gen: 48 best: 167.2 mean: 223.35223880597016
gen: 49 best: 167.2 mean: 228.01442786069651
gen: 50 best: 167.2 mean: 224.75721393034826
gen: 51 best: 167.2 mean: 224.07412935323384
gen: 52 best: 167.2 mean: 224.45273631840797
gen: 53 best: 167.2 mean: 221.35721393034825
gen: 54 best: 167.2 mean: 221.4945273631841
gen: 55 best: 167.2 mean: 220.6273631840796
gen: 56 best: 167.2 mean: 221.13830845771145
gen: 57 best: 167.2 mean: 221.05373134328357
gen: 58 best: 167.2 mean: 220.1820895522388
gen: 59 best: 167.2 mean: 218.31243781094528
gen: 60 best: 167.2 mean: 221.03432835820897
gen: 61 best: 167.2 mean: 218.59353233830845
gen: 62 best: 167.2 mean: 218.8323383084577
gen: 63 best: 167.2 mean: 219.5328358208955
gen: 64 best: 167.2 mean: 219.9412935323383
gen: 65 best: 167.2 mean: 216.67363184079602
gen: 66 best: 167.2 mean: 219.56268656716418
gen: 67 best: 167.2 mean: 217.11044776119402
gen: 68 best: 167.2 mean: 216.65771144278608
gen: 69 best: 167.2 mean: 216.08955223880596
gen: 70 best: 167.2 mean: 216.0905472636816
gen: 71 best: 167.2 mean: 216.33781094527365
gen: 72 best: 167.2 mean: 217.09253731343284
gen: 73 best: 167.2 mean: 215.64427860696517
gen: 74 best: 167.2 mean: 215.36467661691543
gen: 75 best: 167.2 mean: 218.51492537313433
gen: 76 best: 167.2 mean: 214.14825870646766
gen: 77 best: 167.2 mean: 216.918407960199
gen: 78 best: 167.2 mean: 216.88805970149255
gen: 79 best: 167.2 mean: 216.27462686567165
gen: 80 best: 167.2 mean: 214.418407960199
gen: 81 best: 167.2 mean: 213.88009950248755
gen: 82 best: 167.2 mean: 215.02487562189054
gen: 83 best: 167.2 mean: 213.74825870646765
gen: 84 best: 167.2 mean: 213.92338308457713
gen: 85 best: 167.2 mean: 214.481592039801
gen: 86 best: 167.2 mean: 214.4681592039801
gen: 87 best: 167.2 mean: 212.71840796019902
gen: 88 best: 167.2 mean: 211.80099502487562
gen: 89 best: 167.2 mean: 214.36169154228855
gen >90, new best = 165.100
gen: 90 best: 165.1 mean: 211.5318407960199
gen: 91 best: 165.1 mean: 214.8398009950249
gen: 92 best: 165.1 mean: 212.41194029850746
gen: 93 best: 165.1 mean: 212.2507462686567
gen: 94 best: 165.1 mean: 211.90995024875622
gen: 95 best: 165.1 mean: 214.35273631840795
gen: 96 best: 165.1 mean: 210.6228855721393
gen: 97 best: 165.1 mean: 212.72039800995026
gen: 98 best: 165.1 mean: 212.73383084577114
gen: 99 best: 165.1 mean: 211.98805970149255
