Generation,mean,best
0,306.30273631840794,221.2
1,300.2542288557214,204.3
2,294.91840796019903,204.3
3,292.173631840796,204.3
4,282.434328358209,194.5
5,282.8681592039801,194.5
6,273.65621890547266,194.5
7,270.06517412935324,194.5
8,268.17512437810944,194.5
9,265.1139303482587,187.3
10,259.9671641791045,185.1
11,258.35074626865674,185.1
12,253.2492537313433,176.9
13,253.08507462686566,176.9
14,253.06268656716418,176.9
15,247.61641791044775,176.9
16,246.17910447761193,176.9
17,243.544776119403,176.9
18,240.95771144278606,176.9
19,241.15223880597014,176.9
20,238.97114427860697,176.9
21,237.95572139303482,176.9
22,238.4129353233831,168.3
23,240.61641791044775,168.3
24,237.63432835820896,168.3
25,235.78407960199004,168.3
26,237.18059701492538,168.3
27,233.53781094527363,168.3
28,234.9313432835821,168.3
29,232.24129353233832,168.3
30,231.68855721393035,168.3
31,229.05174129353233,168.3
32,227.91741293532337,168.3
33,225.51940298507463,168.3
34,225.40248756218907,168.3
35,225.1492537313433,168.3
36,229.68507462686568,168.3
37,224.2507462686567,168.3
38,223.04726368159203,168.3
39,225.3398009950249,168.3
40,224.22885572139305,168.3
41,222.955223880597,168.3
42,222.00696517412936,168.3
43,224.25174129353235,168.3
44,224.59253731343284,168.3
45,220.45124378109452,168.3
46,220.68258706467662,168.3
47,223.7726368159204,168.3
48,221.01492537313433,168.3
49,216.2721393034826,168.3
50,220.8452736318408,168.3
51,220.00199004975124,168.3
52,219.2134328358209,168.3
53,219.02089552238806,168.3
54,216.32039800995025,168.3
55,216.34925373134328,168.3
56,215.00646766169154,168.3
57,214.1273631840796,168.3
58,216.50049751243782,168.3
59,215.44825870646767,167.8
60,214.85671641791046,167.8
61,214.10547263681593,167.8
62,217.65771144278608,167.8
63,214.5636815920398,167.8
64,215.77910447761195,167.8
65,214.50796019900497,167.8
66,213.8094527363184,167.8
67,212.56119402985075,167.8
68,211.1820895522388,167.8
69,212.17462686567166,167.8
70,209.5,167.8
71,211.45223880597015,167.8
72,212.23432835820896,167.8
73,212.44378109452737,167.8
74,210.58656716417912,160.9
75,210.14626865671642,160.9
76,209.7721393034826,160.9
77,210.07114427860697,160.9
78,211.65771144278608,160.9
79,208.34228855721392,160.9
80,209.79402985074626,160.9
81,210.09701492537314,160.9
82,209.8233830845771,160.9
83,210.82189054726368,160.9
84,208.3810945273632,160.9
85,209.7407960199005,160.9
86,209.8,160.9
87,209.955223880597,160.9
88,206.19402985074626,160.9
89,209.1820895522388,160.9
90,207.0318407960199,160.9
91,209.0134328358209,160.9
92,207.8363184079602,160.9
93,209.1502487562189,160.9
94,208.36169154228855,160.9
95,207.75572139303483,160.9
96,207.2537313432836,160.4
97,208.0905472636816,160.4
98,207.7497512437811,160.4
99,207.35373134328358,160.4
random,"([[9], [271, 304, 417], [3, 7, 26, 56, 139, 149, 233, 250, 282, 297, 339, 354, 374, 408, 453, 465], [62, 76, 87, 134, 150, 169, 191, 236, 307, 327, 427, 437, 452, 493, 502], [27, 45, 79, 117, 184, 196, 206, 241, 268, 279, 283, 285, 296, 328, 344, 346, 356, 360, 411, 415, 423, 432, 440, 443, 447, 456, 509], [8, 11, 31, 32, 37, 47, 52, 63, 73, 77, 91, 96, 106, 116, 137, 147, 209, 267, 269, 270, 284, 288, 290, 291, 292, 293, 303, 351, 355, 405, 416, 422, 425, 460, 490, 496], [2, 13, 22, 23, 36, 95, 97, 101, 105, 152, 162, 190, 195, 197, 224, 228, 239, 242, 313, 345, 357, 361, 406, 463, 476, 483, 486], [30, 48, 65, 108, 111, 115, 120, 140, 182, 221, 312, 320, 331, 350, 414, 450, 459, 461, 497], [92, 156, 160, 254, 317, 444, 499], [33, 413, 494], [35, 67, 74, 89, 128, 141, 174, 175, 187, 192, 220, 222, 243, 251, 286, 314, 318, 326, 332, 334, 335, 362, 407, 448, 455], [15, 17, 40, 43, 51, 136, 167, 180, 193, 200, 210, 281, 299, 309, 310, 311, 316, 319, 358, 376, 384, 418, 420, 424, 429, 434, 435, 439, 449, 481, 503, 508], [14, 18, 25, 38, 54, 72, 98, 102, 161, 168, 212, 234, 244, 249, 295, 298, 325, 338, 349, 364, 390, 466, 467, 479, 500], [110, 118, 121, 132, 215, 229, 280, 308, 375, 382, 391, 400, 441, 469, 473], [1, 82, 126, 198, 214, 225, 257, 393, 491, 511], [5, 80, 142, 143, 151, 159, 227, 259, 329, 377, 386, 419, 495], [41, 86, 104, 188, 217, 231, 261, 289, 305, 392, 428, 433, 458, 477, 482, 504, 510], [19, 20, 39, 60, 81, 85, 99, 170, 205, 211, 213, 237, 324, 330, 343, 394, 399, 402, 445, 457, 468], [61, 71, 83, 94, 103, 112, 166, 219, 223, 247, 248, 278, 302, 369, 378, 442], [109, 124, 146, 232, 253, 265, 321, 359, 379, 385, 430, 454, 485, 505], [4, 131, 199, 201, 202, 264, 276, 323, 341, 348], [12, 42, 157, 370], []], 356, 2, 9)"
