gen >0, new best = 292.800
gen >0, new best = 264.200
gen >0, new best = 223.500
gen >0, new best = 208.200
gen: 0 best: 208.2 mean: 303.24427860696517
gen: 1 best: 208.2 mean: 295.6781094527363
gen: 2 best: 208.2 mean: 295.0164179104478
gen: 3 best: 208.2 mean: 288.3557213930348
gen >4, new best = 196.900
gen >4, new best = 192.100
gen: 4 best: 192.1 mean: 288.1771144278607
gen: 5 best: 192.1 mean: 286.16965174129353
gen: 6 best: 192.1 mean: 285.56716417910445
gen: 7 best: 192.1 mean: 285.7532338308458
gen: 8 best: 192.1 mean: 277.4487562189055
gen: 9 best: 192.1 mean: 272.3975124378109
gen: 10 best: 192.1 mean: 274.0776119402985
gen: 11 best: 192.1 mean: 269.20597014925374
gen >12, new best = 191.400
gen: 12 best: 191.4 mean: 268.2014925373134
gen >13, new best = 189.500
gen: 13 best: 189.5 mean: 267.62935323383084
gen: 14 best: 189.5 mean: 269.30149253731344
gen: 15 best: 189.5 mean: 262.35621890547264
gen: 16 best: 189.5 mean: 258.40199004975125
gen: 17 best: 189.5 mean: 260.752736318408
gen: 18 best: 189.5 mean: 255.34278606965174
gen >19, new best = 188.400
gen >19, new best = 185.400
gen: 19 best: 185.4 mean: 250.0452736318408
gen: 20 best: 185.4 mean: 251.77562189054726
gen: 21 best: 185.4 mean: 250.2820895522388
gen: 22 best: 185.4 mean: 253.41641791044776
gen: 23 best: 185.4 mean: 250.33034825870647
gen: 24 best: 185.4 mean: 246.76417910447762
gen >25, new best = 170.400
gen: 25 best: 170.4 mean: 248.40796019900498
gen: 26 best: 170.4 mean: 245.01990049751245
gen: 27 best: 170.4 mean: 242.2004975124378
gen: 28 best: 170.4 mean: 243.6273631840796
gen: 29 best: 170.4 mean: 240.10398009950248
gen: 30 best: 170.4 mean: 240.43383084577115
gen: 31 best: 170.4 mean: 240.2955223880597
gen: 32 best: 170.4 mean: 239.17014925373135
gen: 33 best: 170.4 mean: 237.2726368159204
gen: 34 best: 170.4 mean: 238.93482587064676
gen: 35 best: 170.4 mean: 234.96616915422885
gen: 36 best: 170.4 mean: 234.20248756218905
gen: 37 best: 170.4 mean: 235.89054726368158
gen: 38 best: 170.4 mean: 236.2507462686567
gen: 39 best: 170.4 mean: 232.4457711442786
gen: 40 best: 170.4 mean: 234.13034825870648
gen: 41 best: 170.4 mean: 231.6139303482587
gen: 42 best: 170.4 mean: 231.84278606965174
gen: 43 best: 170.4 mean: 233.22487562189056
gen: 44 best: 170.4 mean: 229.4049751243781
gen: 45 best: 170.4 mean: 229.45621890547264
gen: 46 best: 170.4 mean: 228.73880597014926
gen: 47 best: 170.4 mean: 228.47014925373134
gen: 48 best: 170.4 mean: 226.2731343283582
gen: 49 best: 170.4 mean: 225.3597014925373
gen: 50 best: 170.4 mean: 226.42835820895522
gen: 51 best: 170.4 mean: 224.90049751243782
gen: 52 best: 170.4 mean: 226.9771144278607
gen: 53 best: 170.4 mean: 226.95323383084576
gen: 54 best: 170.4 mean: 227.14726368159205
gen: 55 best: 170.4 mean: 224.73830845771144
gen: 56 best: 170.4 mean: 225.63781094527363
gen: 57 best: 170.4 mean: 225.8547263681592
gen: 58 best: 170.4 mean: 223.6099502487562
gen: 59 best: 170.4 mean: 224.518407960199
gen: 60 best: 170.4 mean: 222.6218905472637
gen: 61 best: 170.4 mean: 223.40547263681592
gen: 62 best: 170.4 mean: 221.20597014925374
gen: 63 best: 170.4 mean: 222.9825870646766
gen: 64 best: 170.4 mean: 221.4
gen: 65 best: 170.4 mean: 221.37064676616916
gen: 66 best: 170.4 mean: 219.76965174129353
gen: 67 best: 170.4 mean: 223.43830845771143
gen: 68 best: 170.4 mean: 221.60199004975124
gen: 69 best: 170.4 mean: 223.55223880597015
gen: 70 best: 170.4 mean: 220.07363184079603
gen: 71 best: 170.4 mean: 220.6189054726368
gen: 72 best: 170.4 mean: 218.65671641791045
gen: 73 best: 170.4 mean: 219.16915422885572
gen: 74 best: 170.4 mean: 219.85174129353234
gen: 75 best: 170.4 mean: 218.40248756218907
gen: 76 best: 170.4 mean: 219.5776119402985
gen: 77 best: 170.4 mean: 218.32537313432837
gen: 78 best: 170.4 mean: 219.7268656716418
gen: 79 best: 170.4 mean: 216.31044776119404
gen: 80 best: 170.4 mean: 217.38756218905473
gen: 81 best: 170.4 mean: 217.08009950248757
gen: 82 best: 170.4 mean: 218.04626865671642
gen: 83 best: 170.4 mean: 218.70348258706468
gen: 84 best: 170.4 mean: 217.96467661691543
gen: 85 best: 170.4 mean: 218.26119402985074
gen: 86 best: 170.4 mean: 216.15124378109454
gen >87, new best = 168.300
gen: 87 best: 168.3 mean: 217.13880597014926
gen: 88 best: 168.3 mean: 216.8636815920398
gen: 89 best: 168.3 mean: 217.24477611940299
gen: 90 best: 168.3 mean: 216.36517412935322
gen: 91 best: 168.3 mean: 214.48407960199006
gen: 92 best: 168.3 mean: 215.14825870646766
gen: 93 best: 168.3 mean: 215.3412935323383
gen: 94 best: 168.3 mean: 215.2407960199005
gen: 95 best: 168.3 mean: 216.36865671641792
gen: 96 best: 168.3 mean: 213.24228855721393
gen: 97 best: 168.3 mean: 212.44726368159203
gen: 98 best: 168.3 mean: 215.21243781094526
gen: 99 best: 168.3 mean: 213.60597014925372
