gen >0, new best = 346.800
gen >0, new best = 309.500
gen >0, new best = 307.400
gen >0, new best = 306.300
gen >0, new best = 301.900
gen >0, new best = 288.400
gen >0, new best = 267.400
gen: 0 best: 267.4 mean: 324.36990049751245
gen: 1 best: 267.4 mean: 321.87412935323385
gen: 2 best: 267.4 mean: 322.3099502487562
gen: 3 best: 267.4 mean: 322.39104477611943
gen: 4 best: 267.4 mean: 321.69850746268656
gen >5, new best = 245.900
gen >5, new best = 244.600
gen: 5 best: 244.6 mean: 316.82139303482586
gen: 6 best: 244.6 mean: 315.39800995024876
gen: 7 best: 244.6 mean: 312.07910447761196
gen: 8 best: 244.6 mean: 312.51592039800994
gen >9, new best = 231.600
gen: 9 best: 231.6 mean: 312.88009950248755
gen: 10 best: 231.6 mean: 311.3054726368159
gen: 11 best: 231.6 mean: 310.08855721393036
gen: 12 best: 231.6 mean: 308.3721393034826
gen: 13 best: 231.6 mean: 310.3557213930348
gen: 14 best: 231.6 mean: 307.80298507462686
gen: 15 best: 231.6 mean: 309.40796019900495
gen: 16 best: 231.6 mean: 304.0751243781095
gen: 17 best: 231.6 mean: 305.25721393034826
gen: 18 best: 231.6 mean: 304.8283582089552
gen: 19 best: 231.6 mean: 303.32537313432834
gen: 20 best: 231.6 mean: 302.87860696517413
gen: 21 best: 231.6 mean: 302.3830845771144
gen: 22 best: 231.6 mean: 301.28905472636814
gen >23, new best = 211.800
gen: 23 best: 211.8 mean: 301.4094527363184
gen: 24 best: 211.8 mean: 300.09303482587063
gen: 25 best: 211.8 mean: 298.3825870646766
gen: 26 best: 211.8 mean: 299.58159203980097
gen: 27 best: 211.8 mean: 296.4860696517413
gen: 28 best: 211.8 mean: 297.87860696517413
gen: 29 best: 211.8 mean: 294.4577114427861
gen: 30 best: 211.8 mean: 295.38009950248755
gen: 31 best: 211.8 mean: 293.70199004975126
gen: 32 best: 211.8 mean: 293.90149253731346
gen: 33 best: 211.8 mean: 293.7676616915423
gen: 34 best: 211.8 mean: 295.13084577114427
gen: 35 best: 211.8 mean: 293.96567164179106
gen >36, new best = 209.800
gen: 36 best: 209.8 mean: 292.20199004975126
gen: 37 best: 209.8 mean: 294.3955223880597
gen: 38 best: 209.8 mean: 295.43283582089555
gen: 39 best: 209.8 mean: 294.9407960199005
gen: 40 best: 209.8 mean: 293.25721393034826
gen: 41 best: 209.8 mean: 291.65124378109454
gen: 42 best: 209.8 mean: 290.9189054726368
gen: 43 best: 209.8 mean: 291.72437810945274
gen: 44 best: 209.8 mean: 290.3830845771144
gen: 45 best: 209.8 mean: 289.6830845771144
gen: 46 best: 209.8 mean: 289.80248756218907
gen: 47 best: 209.8 mean: 288.6004975124378
gen: 48 best: 209.8 mean: 288.7502487562189
gen: 49 best: 209.8 mean: 290.22587064676617
gen: 50 best: 209.8 mean: 288.96119402985073
gen: 51 best: 209.8 mean: 289.52885572139303
gen: 52 best: 209.8 mean: 286.6427860696517
gen: 53 best: 209.8 mean: 288.75373134328356
gen: 54 best: 209.8 mean: 289.6756218905473
gen: 55 best: 209.8 mean: 287.5716417910448
gen: 56 best: 209.8 mean: 285.93333333333334
gen: 57 best: 209.8 mean: 289.7039800995025
gen: 58 best: 209.8 mean: 288.64378109452736
gen: 59 best: 209.8 mean: 286.61990049751245
gen: 60 best: 209.8 mean: 287.21144278606965
gen: 61 best: 209.8 mean: 286.0636815920398
gen: 62 best: 209.8 mean: 286.6611940298508
gen: 63 best: 209.8 mean: 285.7174129353234
gen: 64 best: 209.8 mean: 287.0582089552239
gen: 65 best: 209.8 mean: 285.8179104477612
gen: 66 best: 209.8 mean: 284.58855721393036
gen: 67 best: 209.8 mean: 283.93283582089555
gen: 68 best: 209.8 mean: 283.94776119402985
gen: 69 best: 209.8 mean: 284.1577114427861
gen: 70 best: 209.8 mean: 283.5751243781095
gen: 71 best: 209.8 mean: 283.25174129353235
gen: 72 best: 209.8 mean: 282.95721393034825
gen: 73 best: 209.8 mean: 283.0457711442786
gen: 74 best: 209.8 mean: 283.50597014925376
gen: 75 best: 209.8 mean: 284.01044776119403
gen: 76 best: 209.8 mean: 283.99203980099503
gen: 77 best: 209.8 mean: 283.0880597014925
gen: 78 best: 209.8 mean: 283.5512437810945
gen: 79 best: 209.8 mean: 283.1373134328358
gen: 80 best: 209.8 mean: 282.49353233830846
gen: 81 best: 209.8 mean: 284.57114427860694
gen: 82 best: 209.8 mean: 283.4522388059701
gen: 83 best: 209.8 mean: 281.47512437810946
gen: 84 best: 209.8 mean: 281.22487562189053
gen: 85 best: 209.8 mean: 282.9
gen: 86 best: 209.8 mean: 282.9064676616915
gen: 87 best: 209.8 mean: 282.20248756218905
gen: 88 best: 209.8 mean: 283.5955223880597
gen: 89 best: 209.8 mean: 282.67064676616917
gen: 90 best: 209.8 mean: 283.32537313432834
gen: 91 best: 209.8 mean: 281.97363184079603
gen: 92 best: 209.8 mean: 284.15273631840796
gen: 93 best: 209.8 mean: 282.136815920398
gen: 94 best: 209.8 mean: 280.57064676616915
gen: 95 best: 209.8 mean: 282.35820895522386
gen: 96 best: 209.8 mean: 281.28457711442786
gen: 97 best: 209.8 mean: 281.8313432835821
gen: 98 best: 209.8 mean: 280.8990049751244
gen: 99 best: 209.8 mean: 281.12388059701493
