gen >0, new best = 302.100
gen >0, new best = 284.000
gen >0, new best = 261.900
gen >0, new best = 257.300
gen >0, new best = 227.200
gen: 0 best: 227.2 mean: 298.70671641791046
gen: 1 best: 227.2 mean: 292.3318407960199
gen >2, new best = 205.400
gen >2, new best = 193.600
gen: 2 best: 193.6 mean: 286.44427860696516
gen: 3 best: 193.6 mean: 286.46019900497515
gen >4, new best = 188.700
gen: 4 best: 188.7 mean: 283.8636815920398
gen: 5 best: 188.7 mean: 283.14228855721393
gen >6, new best = 183.300
gen: 6 best: 183.3 mean: 281.8218905472637
gen: 7 best: 183.3 mean: 280.48457711442785
gen: 8 best: 183.3 mean: 272.79004975124377
gen: 9 best: 183.3 mean: 278.27412935323383
gen: 10 best: 183.3 mean: 273.11243781094527
gen: 11 best: 183.3 mean: 272.9497512437811
gen: 12 best: 183.3 mean: 269.56169154228854
gen: 13 best: 183.3 mean: 269.96069651741294
gen >14, new best = 169.200
gen: 14 best: 169.2 mean: 267.892039800995
gen: 15 best: 169.2 mean: 268.10646766169157
gen >16, new best = 165.100
gen: 16 best: 165.1 mean: 265.93930348258704
gen: 17 best: 165.1 mean: 265.15671641791045
gen: 18 best: 165.1 mean: 265.5910447761194
gen: 19 best: 165.1 mean: 263.4686567164179
gen: 20 best: 165.1 mean: 260.3149253731343
gen: 21 best: 165.1 mean: 257.62587064676615
gen: 22 best: 165.1 mean: 259.1900497512438
gen: 23 best: 165.1 mean: 255.5686567164179
gen: 24 best: 165.1 mean: 249.87014925373134
gen: 25 best: 165.1 mean: 249.873631840796
gen: 26 best: 165.1 mean: 251.88855721393034
gen: 27 best: 165.1 mean: 250.42487562189055
gen: 28 best: 165.1 mean: 249.2766169154229
gen: 29 best: 165.1 mean: 251.77611940298507
gen: 30 best: 165.1 mean: 245.9681592039801
gen: 31 best: 165.1 mean: 248.5407960199005
gen: 32 best: 165.1 mean: 244.8825870646766
gen: 33 best: 165.1 mean: 243.76218905472638
gen: 34 best: 165.1 mean: 245.4587064676617
gen: 35 best: 165.1 mean: 242.72139303482587
gen: 36 best: 165.1 mean: 243.7681592039801
gen: 37 best: 165.1 mean: 244.67263681592038
gen: 38 best: 165.1 mean: 240.7278606965174
gen: 39 best: 165.1 mean: 243.01542288557215
gen: 40 best: 165.1 mean: 240.7228855721393
gen: 41 best: 165.1 mean: 241.30696517412935
gen: 42 best: 165.1 mean: 239.01442786069651
gen: 43 best: 165.1 mean: 239.2910447761194
gen: 44 best: 165.1 mean: 235.46567164179103
gen: 45 best: 165.1 mean: 235.87860696517413
gen: 46 best: 165.1 mean: 237.0328358208955
gen: 47 best: 165.1 mean: 236.31044776119404
gen: 48 best: 165.1 mean: 235.7457711442786
gen: 49 best: 165.1 mean: 237.0726368159204
gen: 50 best: 165.1 mean: 237.52786069651742
gen: 51 best: 165.1 mean: 240.0412935323383
gen: 52 best: 165.1 mean: 237.54825870646766
gen: 53 best: 165.1 mean: 236.69552238805971
gen: 54 best: 165.1 mean: 237.58009950248757
gen: 55 best: 165.1 mean: 235.26965174129353
gen: 56 best: 165.1 mean: 233.93980099502488
gen: 57 best: 165.1 mean: 233.72089552238805
gen: 58 best: 165.1 mean: 234.18706467661693
gen: 59 best: 165.1 mean: 233.75323383084577
gen: 60 best: 165.1 mean: 233.31044776119404
gen: 61 best: 165.1 mean: 234.55522388059703
gen: 62 best: 165.1 mean: 234.24875621890547
gen: 63 best: 165.1 mean: 234.92935323383085
gen: 64 best: 165.1 mean: 235.36616915422886
gen: 65 best: 165.1 mean: 234.8398009950249
gen: 66 best: 165.1 mean: 236.97860696517412
gen: 67 best: 165.1 mean: 235.6144278606965
gen: 68 best: 165.1 mean: 234.24029850746268
gen: 69 best: 165.1 mean: 235.1721393034826
gen: 70 best: 165.1 mean: 234.8169154228856
gen: 71 best: 165.1 mean: 235.31194029850747
gen: 72 best: 165.1 mean: 232.63980099502487
gen: 73 best: 165.1 mean: 230.57014925373133
gen: 74 best: 165.1 mean: 235.32437810945274
gen: 75 best: 165.1 mean: 236.11990049751245
gen: 76 best: 165.1 mean: 233.99253731343285
gen: 77 best: 165.1 mean: 235.90248756218907
gen: 78 best: 165.1 mean: 235.1457711442786
gen: 79 best: 165.1 mean: 234.10248756218905
gen: 80 best: 165.1 mean: 233.3497512437811
gen: 81 best: 165.1 mean: 232.90298507462686
gen: 82 best: 165.1 mean: 232.61542288557214
gen: 83 best: 165.1 mean: 230.98059701492537
gen: 84 best: 165.1 mean: 231.51094527363185
gen: 85 best: 165.1 mean: 233.58756218905472
gen: 86 best: 165.1 mean: 231.80547263681592
gen >87, new best = 159.800
gen: 87 best: 159.8 mean: 232.69900497512438
gen: 88 best: 159.8 mean: 232.9363184079602
gen: 89 best: 159.8 mean: 232.51940298507463
gen: 90 best: 159.8 mean: 230.563184079602
gen: 91 best: 159.8 mean: 229.28805970149253
gen: 92 best: 159.8 mean: 229.5771144278607
gen: 93 best: 159.8 mean: 230.9547263681592
gen: 94 best: 159.8 mean: 231.5
gen: 95 best: 159.8 mean: 233.86965174129352
gen: 96 best: 159.8 mean: 229.60945273631842
gen: 97 best: 159.8 mean: 232.38009950248755
gen: 98 best: 159.8 mean: 230.22835820895523
gen: 99 best: 159.8 mean: 230.19552238805971
