Generation,mean,best
0,294.271144278607,205.4
1,292.0845771144279,205.4
2,291.4960199004975,205.4
3,289.58855721393036,205.4
4,282.0915422885572,205.4
5,277.19651741293535,205.4
6,275.74228855721395,205.4
7,276.2308457711443,194.7
8,272.66169154228857,194.7
9,271.9835820895522,194.7
10,269.71343283582087,194.7
11,264.25522388059704,194.7
12,266.0502487562189,194.7
13,261.31542288557216,185.7
14,261.73930348258705,185.7
15,260.6243781094527,185.7
16,259.3756218905473,185.7
17,257.4960199004975,185.7
18,257.7144278606965,180.6
19,254.82935323383086,180.6
20,253.2810945273632,174.8
21,251.25572139303483,174.8
22,250.77412935323383,174.8
23,253.28009950248756,174.8
24,254.34875621890546,174.8
25,255.4313432835821,174.8
26,253.86019900497513,174.8
27,246.60298507462687,174.8
28,249.79452736318407,174.8
29,249.7,174.8
30,248.21641791044777,174.8
31,249.61044776119402,174.8
32,249.52437810945273,174.8
33,246.0820895522388,174.8
34,248.0771144278607,174.8
35,245.51194029850745,174.8
36,244.08009950248757,174.8
37,242.418407960199,174.8
38,245.33084577114428,174.8
39,242.50497512437812,174.8
40,241.48059701492537,174.8
41,246.40149253731343,174.8
42,244.50049751243782,174.8
43,240.21144278606965,174.8
44,240.09452736318408,174.3
45,240.1099502487562,174.3
46,240.17860696517414,174.3
47,239.40199004975125,174.3
48,240.50099502487564,174.3
49,238.60398009950248,174.3
50,237.94328358208955,174.3
51,238.59004975124378,174.3
52,237.207960199005,174.3
53,235.49253731343285,174.3
54,234.28756218905474,174.3
55,237.87164179104477,174.3
56,236.54278606965175,174.3
57,235.71840796019902,174.3
58,235.96616915422885,174.3
59,236.7044776119403,174.3
60,233.78955223880598,174.3
61,236.2318407960199,174.3
62,235.34278606965174,174.3
63,235.04427860696518,173.3
64,236.1,173.3
65,231.06218905472636,173.3
66,236.0099502487562,173.3
67,232.68905472636817,173.3
68,235.09104477611942,173.3
69,233.41641791044776,171.4
70,233.16517412935323,171.4
71,232.4865671641791,171.4
72,232.37860696517413,171.4
73,232.48805970149255,171.4
74,234.15671641791045,171.4
75,231.3358208955224,171.4
76,232.9502487562189,171.4
77,230.41741293532337,171.4
78,232.62935323383084,171.4
79,230.1144278606965,171.4
80,233.30696517412935,171.4
81,234.5457711442786,171.4
82,231.27014925373135,171.4
83,231.23930348258708,171.4
84,230.52487562189054,171.4
85,230.75323383084577,171.4
86,233.2049751243781,171.4
87,231.31641791044777,171.4
88,230.50049751243782,171.4
89,231.4358208955224,167.8
90,228.21094527363184,167.7
91,230.1452736318408,167.7
92,230.75273631840795,166.3
93,230.54427860696518,166.3
94,231.93830845771143,166.3
95,229.3004975124378,166.3
96,231.41890547263682,166.3
97,227.36666666666667,166.3
98,227.82636815920398,166.3
99,228.69900497512438,166.3
random,"([[18], [105, 441, 508], [1, 5, 16, 41, 98, 106, 184, 190, 198, 225, 259, 420], [12, 14, 31, 32, 36, 37, 48, 53, 70, 78, 81, 86, 88, 112, 117, 137, 151, 195, 202, 221, 236, 258, 260, 267, 273, 279, 284, 292, 307, 318, 324, 338, 354, 366, 386, 393, 399, 404, 406, 409, 415, 419, 426, 443, 450, 451, 457, 458, 462, 465, 488, 492, 507], [40, 44, 52, 55, 80, 83, 108, 113, 116, 147, 163, 182, 201, 229, 237, 245, 263, 269, 271, 283, 297, 315, 351, 389, 396, 432, 463, 471, 472, 475, 487, 489, 490, 502], [15, 22, 25, 26, 79, 82, 94, 95, 130, 159, 186, 205, 211, 213, 247, 254, 265, 274, 327, 336, 345, 374, 377, 408, 414, 418, 427, 442, 460, 484], [2, 6, 39, 107, 110, 141, 158, 166, 219, 227, 238, 266, 288, 313, 329, 339, 381, 417, 428, 437, 470, 497, 511], [20, 46, 76, 145, 149, 165, 176, 204, 231, 239, 305, 405, 469], [45, 162, 242, 250, 268, 314, 342, 343, 361, 371, 401, 413, 449, 478], [77, 96, 161, 196, 222, 228, 241, 335, 364, 382, 384, 385, 429, 439, 467, 500], [118, 119, 122, 146, 193, 341, 483], [30, 65, 66, 194, 412], [180, 251, 362, 416, 479], [308], [280], []], 218, 3, 11)"
