Generation,mean,best
0,309.5716417910448,266.6
1,308.62985074626863,264.7
2,307.81243781094526,264.7
3,307.76666666666665,264.7
4,308.2084577114428,264.5
5,308.29800995024874,264.5
6,309.1099502487562,264.5
7,305.7547263681592,233.2
8,305.8950248756219,233.2
9,305.771144278607,233.2
10,305.1462686567164,233.2
11,304.1666666666667,233.2
12,302.75174129353235,233.2
13,300.8756218905473,233.2
14,301.6502487562189,233.2
15,300.9338308457711,233.2
16,300.9597014925373,233.2
17,301.05771144278606,233.2
18,299.4651741293532,233.2
19,298.0417910447761,233.2
20,298.1129353233831,233.2
21,296.9910447761194,233.2
22,297.51542288557215,233.2
23,298.12039800995024,233.2
24,298.6044776119403,233.2
25,297.2412935323383,233.2
26,296.86567164179104,231.1
27,295.9820895522388,231.1
28,296.14179104477614,231.1
29,295.0233830845771,231.1
30,295.31542288557216,231.1
31,294.2875621890547,231.1
32,295.97512437810946,231.1
33,295.9189054726368,231.1
34,292.93532338308455,231.1
35,292.41641791044776,231.1
36,292.79353233830847,231.1
37,292.04328358208954,231.1
38,293.2621890547264,231.1
39,291.4432835820896,231.1
40,291.16915422885575,231.1
41,290.62388059701493,231.1
42,291.7452736318408,231.1
43,292.0457711442786,231.1
44,290.1925373134328,231.1
45,290.73830845771147,231.1
46,289.3696517412935,231.1
47,287.50099502487564,231.1
48,289.26467661691544,231.1
49,287.8810945273632,231.1
50,286.52885572139303,231.1
51,287.6154228855721,231.1
52,288.4676616915423,231.1
53,287.46567164179106,231.1
54,287.8626865671642,231.1
55,285.0681592039801,231.1
56,285.6303482587065,231.1
57,286.16766169154226,221.7
58,284.16915422885575,221.7
59,285.8094527363184,221.7
60,284.92388059701494,221.7
61,284.381592039801,221.7
62,284.15671641791045,221.7
63,284.4890547263682,221.7
64,283.4676616915423,221.7
65,283.26169154228853,221.7
66,282.618407960199,221.7
67,284.06666666666666,221.7
68,282.1776119402985,217.6
69,281.9616915422886,217.6
70,281.1084577114428,217.6
71,280.6353233830846,217.6
72,280.0139303482587,217.6
73,279.71542288557214,217.6
74,279.5661691542289,217.6
75,279.6721393034826,217.6
76,279.7731343283582,217.6
77,278.9323383084577,217.6
78,278.7621890547264,217.6
79,279.38855721393037,217.6
80,278.61144278606963,217.6
81,278.62189054726366,217.6
82,278.4870646766169,217.6
83,279.18059701492535,217.6
84,277.1497512437811,217.6
85,277.60895522388057,217.6
86,277.87014925373137,217.6
87,278.5353233830846,217.6
88,276.56716417910445,217.6
89,276.55970149253733,217.6
90,276.6084577114428,217.6
91,276.91592039801,217.6
92,277.47014925373134,217.6
93,277.5621890547264,217.6
94,276.41691542288555,217.6
95,275.86218905472634,217.6
96,275.92587064676616,217.6
97,276.11442786069654,217.6
98,275.1467661691542,217.6
99,274.1233830845771,209.8
random,"([[18], [105, 420, 441], [1, 16, 41, 48, 98, 106, 184, 190, 225, 259], [5, 32, 36, 52, 85, 99, 112, 137, 151, 195, 202, 221, 236, 258, 267, 284, 289, 292, 307, 318, 324, 354, 355, 366, 399, 409, 415, 426, 450, 451, 457, 458, 462, 465, 498, 504], [37, 55, 56, 60, 69, 76, 80, 81, 84, 93, 104, 129, 138, 156, 161, 191, 192, 204, 213, 226, 229, 230, 237, 245, 247, 268, 271, 273, 291, 314, 315, 372, 396, 466, 475, 507, 508], [31, 33, 57, 61, 67, 78, 95, 96, 107, 108, 116, 147, 158, 186, 207, 222, 228, 241, 242, 261, 262, 263, 266, 275, 280, 281, 282, 285, 303, 304, 326, 336, 339, 344, 349, 353, 359, 364, 374, 377, 384, 398, 401, 413, 417, 418, 427, 429, 440, 446, 449, 453, 455, 471, 472, 474, 486, 487, 495], [6, 27, 29, 30, 35, 38, 62, 92, 94, 101, 110, 118, 119, 120, 128, 144, 149, 152, 162, 170, 174, 175, 176, 187, 193, 194, 201, 210, 220, 235, 238, 250, 251, 254, 288, 308, 337, 347, 376, 378, 388, 407, 408, 410, 411, 419, 423, 434, 435, 445, 452, 483, 500, 505], [26, 66, 74, 122, 182, 199, 233, 239, 248, 297, 309, 322, 328, 334, 338, 340, 346, 358, 362, 375, 381, 404, 405, 412, 430, 437, 444, 464, 468, 478, 481, 492], [2, 25, 64, 65, 68, 89, 123, 139, 141, 146, 163, 166, 209, 234, 296, 327, 363, 395, 403, 432, 470, 503], [39, 46, 91, 111, 169, 211, 301, 351, 365, 379, 383, 416, 477], [20, 159, 277, 390, 456], [44, 227, 231, 305, 330, 371], [343, 369, 392, 428, 433, 482], [205, 257, 269], [391], []], 288, 3, 10)"
