gen >0, new best = 302.600
gen >0, new best = 299.000
gen >0, new best = 275.700
gen >0, new best = 273.000
gen >0, new best = 270.000
gen: 0 best: 270.0 mean: 309.6310945273632
gen: 1 best: 270.0 mean: 309.9522388059701
gen >2, new best = 265.000
gen >2, new best = 261.100
gen: 2 best: 261.1 mean: 307.3995024875622
gen: 3 best: 261.1 mean: 308.88955223880595
gen: 4 best: 261.1 mean: 308.44278606965173
gen: 5 best: 261.1 mean: 306.4592039800995
gen >6, new best = 248.200
gen: 6 best: 248.2 mean: 307.6860696517413
gen >7, new best = 245.000
gen: 7 best: 245.0 mean: 305.12537313432836
gen: 8 best: 245.0 mean: 306.32487562189056
gen: 9 best: 245.0 mean: 305.17164179104475
gen >10, new best = 239.300
gen: 10 best: 239.3 mean: 306.16915422885575
gen: 11 best: 239.3 mean: 305.1039800995025
gen: 12 best: 239.3 mean: 303.41691542288555
gen: 13 best: 239.3 mean: 305.49303482587067
gen: 14 best: 239.3 mean: 303.7691542288557
gen: 15 best: 239.3 mean: 303.20646766169153
gen: 16 best: 239.3 mean: 302.8756218905473
gen >17, new best = 210.200
gen: 17 best: 210.2 mean: 302.97014925373134
gen: 18 best: 210.2 mean: 301.75223880597014
gen: 19 best: 210.2 mean: 301.5497512437811
gen: 20 best: 210.2 mean: 302.9218905472637
gen: 21 best: 210.2 mean: 302.14228855721393
gen: 22 best: 210.2 mean: 298.82487562189056
gen: 23 best: 210.2 mean: 299.5462686567164
gen: 24 best: 210.2 mean: 298.7363184079602
gen: 25 best: 210.2 mean: 298.2417910447761
gen: 26 best: 210.2 mean: 297.6557213930348
gen: 27 best: 210.2 mean: 296.84676616915425
gen: 28 best: 210.2 mean: 296.1084577114428
gen: 29 best: 210.2 mean: 296.52039800995027
gen: 30 best: 210.2 mean: 297.40746268656716
gen: 31 best: 210.2 mean: 294.6427860696517
gen: 32 best: 210.2 mean: 295.67313432835823
gen: 33 best: 210.2 mean: 295.37860696517413
gen: 34 best: 210.2 mean: 295.2716417910448
gen: 35 best: 210.2 mean: 294.3756218905473
gen: 36 best: 210.2 mean: 294.8044776119403
gen: 37 best: 210.2 mean: 294.0507462686567
gen: 38 best: 210.2 mean: 292.58905472636815
gen: 39 best: 210.2 mean: 292.5845771144279
gen: 40 best: 210.2 mean: 293.34875621890546
gen: 41 best: 210.2 mean: 293.16616915422884
gen: 42 best: 210.2 mean: 293.68407960199005
gen: 43 best: 210.2 mean: 293.17910447761193
gen: 44 best: 210.2 mean: 290.9308457711443
gen: 45 best: 210.2 mean: 290.7835820895522
gen: 46 best: 210.2 mean: 290.47960199004973
gen: 47 best: 210.2 mean: 291.68059701492535
gen: 48 best: 210.2 mean: 289.42587064676616
gen: 49 best: 210.2 mean: 290.8915422885572
gen: 50 best: 210.2 mean: 290.0716417910448
gen: 51 best: 210.2 mean: 289.2328358208955
gen: 52 best: 210.2 mean: 289.8074626865672
gen: 53 best: 210.2 mean: 290.2009950248756
gen: 54 best: 210.2 mean: 287.9338308457711
gen: 55 best: 210.2 mean: 287.1313432835821
gen: 56 best: 210.2 mean: 285.2825870646766
gen: 57 best: 210.2 mean: 285.87064676616916
gen: 58 best: 210.2 mean: 285.1134328358209
gen: 59 best: 210.2 mean: 285.692039800995
gen: 60 best: 210.2 mean: 284.7039800995025
gen: 61 best: 210.2 mean: 284.9592039800995
gen: 62 best: 210.2 mean: 285.30646766169156
gen: 63 best: 210.2 mean: 284.15273631840796
gen: 64 best: 210.2 mean: 284.21492537313435
gen: 65 best: 210.2 mean: 284.1174129353234
gen: 66 best: 210.2 mean: 283.7950248756219
gen: 67 best: 210.2 mean: 284.24228855721395
gen: 68 best: 210.2 mean: 282.85820895522386
gen: 69 best: 210.2 mean: 282.74278606965174
gen: 70 best: 210.2 mean: 283.3547263681592
gen: 71 best: 210.2 mean: 283.5726368159204
gen: 72 best: 210.2 mean: 284.452736318408
gen: 73 best: 210.2 mean: 283.6860696517413
gen: 74 best: 210.2 mean: 282.19353233830844
gen: 75 best: 210.2 mean: 282.34278606965177
gen: 76 best: 210.2 mean: 281.4855721393035
gen: 77 best: 210.2 mean: 281.9820895522388
gen: 78 best: 210.2 mean: 281.0492537313433
gen: 79 best: 210.2 mean: 280.0601990049751
gen: 80 best: 210.2 mean: 281.74825870646765
gen: 81 best: 210.2 mean: 280.336815920398
gen: 82 best: 210.2 mean: 280.34726368159204
gen: 83 best: 210.2 mean: 279.99402985074624
gen: 84 best: 210.2 mean: 279.9213930348259
gen: 85 best: 210.2 mean: 280.5054726368159
gen: 86 best: 210.2 mean: 278.8019900497512
gen: 87 best: 210.2 mean: 279.5910447761194
gen: 88 best: 210.2 mean: 279.53383084577115
gen: 89 best: 210.2 mean: 279.2875621890547
gen: 90 best: 210.2 mean: 277.6796019900498
gen: 91 best: 210.2 mean: 279.4323383084577
gen: 92 best: 210.2 mean: 278.32885572139304
gen: 93 best: 210.2 mean: 276.91641791044776
gen: 94 best: 210.2 mean: 276.9044776119403
gen: 95 best: 210.2 mean: 276.50845771144276
gen: 96 best: 210.2 mean: 276.2014925373134
gen: 97 best: 210.2 mean: 277.5149253731343
gen: 98 best: 210.2 mean: 276.95870646766167
gen: 99 best: 210.2 mean: 276.2676616915423
