Generation,mean,best
0,516.2935323383084,491.8
1,516.0333333333333,491.8
2,515.3781094527363,489.4
3,515.1925373134328,489.4
4,513.5731343283583,489.4
5,514.6850746268657,489.4
6,513.8243781094527,489.4
7,513.6751243781094,489.4
8,512.6696517412936,489.4
9,510.5457711442786,477.7
10,510.64179104477614,477.7
11,510.1278606965174,477.7
12,509.1860696517413,477.7
13,508.3363184079602,477.7
14,507.42935323383085,477.7
15,507.11990049751245,477.7
16,506.2218905472637,476.3
17,505.2378109452736,476.3
18,504.6313432835821,476.3
19,504.20796019900496,476.3
20,502.5512437810945,473.4
21,503.1611940298507,473.4
22,502.2084577114428,473.4
23,502.265671641791,473.4
24,502.8353233830846,473.4
25,501.9398009950249,473.4
26,502.20248756218905,473.4
27,500.736815920398,473.4
28,500.8,473.4
29,501.63482587064675,473.4
30,499.12935323383084,473.4
31,500.16218905472635,473.4
32,498.4194029850746,473.4
33,498.5139303482587,473.4
34,497.98805970149255,466.3
35,496.9945273631841,466.3
36,495.92537313432837,466.3
37,496.89253731343285,466.3
38,496.8641791044776,466.3
39,497.25721393034826,466.3
40,495.59452736318406,466.3
41,496.1139303482587,466.3
42,495.644776119403,466.3
43,493.95870646766167,466.3
44,495.1825870646766,466.3
45,493.6457711442786,466.2
46,493.01044776119403,466.2
47,493.29004975124377,466.2
48,492.8353233830846,466.2
49,491.9676616915423,466.2
50,492.1741293532338,466.2
51,492.2452736318408,463.0
52,492.7955223880597,463.0
53,492.2766169154229,463.0
54,491.35621890547264,463.0
55,490.93333333333334,463.0
56,489.74427860696517,463.0
57,490.428855721393,463.0
58,490.3995024875622,463.0
59,490.75671641791047,463.0
60,491.4562189054726,463.0
61,488.8606965174129,463.0
62,490.31592039800995,463.0
63,490.07562189054727,463.0
64,489.82935323383083,462.8
65,488.60547263681593,461.1
66,487.80099502487565,461.1
67,489.3681592039801,461.1
68,488.10895522388057,461.1
69,488.3174129353234,461.1
70,487.96119402985073,461.1
71,488.1542288557214,461.1
72,488.26965174129356,461.1
73,486.7587064676617,461.1
74,486.97562189054725,461.1
75,486.55223880597015,461.1
76,487.907960199005,461.1
77,485.51940298507463,461.1
78,487.35970149253734,461.1
79,486.87860696517413,461.1
80,487.8482587064677,461.1
81,486.2457711442786,461.1
82,486.28308457711444,461.1
83,486.1721393034826,461.1
84,485.75572139303483,461.1
85,486.87611940298507,461.1
86,484.37462686567164,447.1
87,485.13880597014924,447.1
88,485.4721393034826,447.1
89,485.5776119402985,447.1
90,484.93930348258704,447.1
91,485.1467661691542,447.1
92,486.71144278606965,447.1
93,485.4955223880597,447.1
94,485.24328358208953,447.1
95,485.5810945273632,447.1
96,486.344776119403,447.1
97,485.35572139303486,447.1
98,486.65223880597017,447.1
99,485.66169154228857,447.1
