Generation,mean,best
0,499.74825870646765,403.8
1,490.63980099502487,354.4
2,481.3825870646766,354.4
3,471.32338308457713,354.4
4,460.1084577114428,354.4
5,451.92388059701494,334.0
6,444.52487562189054,324.0
7,448.8606965174129,324.0
8,444.8805970149254,324.0
9,442.8756218905473,324.0
10,435.33781094527365,296.1
11,428.1208955223881,296.1
12,426.0512437810945,296.1
13,412.5278606965174,296.1
14,412.92537313432837,296.1
15,403.84378109452734,287.5
16,401.87014925373137,287.5
17,396.5970149253731,287.5
18,395.3298507462687,287.5
19,394.8402985074627,287.5
20,391.68059701492535,287.5
21,390.4223880597015,287.5
22,391.5910447761194,287.5
23,387.1313432835821,287.5
24,384.6029850746269,287.5
25,382.9283582089552,287.5
26,379.9870646766169,287.5
27,380.5477611940299,287.5
28,377.963184079602,287.5
29,373.1318407960199,287.5
30,374.71194029850744,287.5
31,373.6139303482587,287.5
32,370.25771144278605,287.5
33,365.9124378109453,287.5
34,366.9338308457711,287.5
35,363.92985074626864,287.5
36,360.00248756218906,287.5
37,360.410447761194,284.8
38,358.1741293532338,282.5
39,358.68407960199005,282.5
40,358.27412935323383,272.4
41,352.87810945273634,272.4
42,356.9781094527363,272.4
43,355.50995024875624,272.4
44,356.37661691542286,272.4
45,357.93880597014925,272.4
46,354.56119402985075,272.4
47,350.01592039800994,272.4
48,348.6825870646766,272.4
49,348.18756218905474,272.4
50,348.8756218905473,272.4
51,346.4189054726368,272.4
52,346.0258706467662,272.4
53,341.50199004975127,272.4
54,343.9985074626866,272.4
55,343.75771144278605,272.4
56,342.2328358208955,272.4
57,342.3537313432836,272.4
58,342.11592039800996,272.4
59,340.01542288557215,272.4
60,342.40199004975125,272.4
61,340.728855721393,272.4
62,339.57014925373136,272.4
63,339.68407960199005,272.4
64,342.38756218905473,272.4
65,340.6044776119403,272.4
66,336.96218905472637,272.4
67,336.43830845771146,272.4
68,337.96119402985073,272.4
69,337.53432835820894,272.4
70,336.8517412935323,272.4
71,339.8422885572139,272.4
72,337.3646766169154,272.4
73,334.3298507462687,272.4
74,336.66766169154226,272.4
75,336.50696517412933,272.4
76,334.52139303482585,272.4
77,335.2402985074627,272.4
78,337.3547263681592,272.4
79,335.72039800995026,272.4
80,332.318407960199,272.4
81,335.30149253731344,272.4
82,334.03781094527363,272.4
83,331.92587064676616,272.4
84,332.236815920398,272.4
85,333.52487562189054,272.4
86,330.39353233830843,272.4
87,334.86169154228855,272.4
88,331.4810945273632,272.4
89,332.35671641791043,272.4
90,333.5507462686567,272.4
91,331.03880597014927,270.1
92,332.381592039801,270.1
93,329.28308457711444,270.1
94,330.40696517412937,270.1
95,330.83383084577116,270.1
96,332.2676616915423,270.1
97,330.1358208955224,270.1
98,331.0915422885572,270.1
99,328.82686567164177,270.1
