Generation,mean,best
0,501.6487562189055,462.2
1,498.68905472636817,459.9
2,495.4358208955224,458.7
3,495.06865671641793,425.9
4,494.36567164179104,425.9
5,490.3970149253731,425.9
6,489.77960199004974,425.9
7,488.53432835820894,425.9
8,491.0636815920398,425.9
9,485.8731343283582,417.0
10,485.6482587064677,417.0
11,484.9766169154229,417.0
12,482.3626865671642,417.0
13,480.8497512437811,417.0
14,479.6502487562189,417.0
15,479.57412935323384,402.9
16,478.15820895522387,402.9
17,476.65671641791045,402.9
18,473.6855721393035,395.8
19,476.2671641791045,395.8
20,473.12885572139305,395.8
21,474.63830845771145,395.8
22,472.55771144278606,395.8
23,471.31542288557216,395.8
24,473.1721393034826,395.8
25,470.4636815920398,395.8
26,470.8547263681592,395.8
27,469.36119402985076,395.8
28,469.392039800995,395.8
29,467.3363184079602,395.8
30,464.83980099502486,395.8
31,465.58855721393036,395.8
32,465.30298507462686,395.8
33,464.4029850746269,395.8
34,463.4547263681592,395.8
35,464.5587064676617,395.8
36,462.1726368159204,395.8
37,460.22437810945274,395.8
38,460.8716417910448,395.8
39,460.8592039800995,395.8
40,460.47711442786067,395.8
41,460.02835820895524,395.8
42,458.56716417910445,395.8
43,458.91492537313434,395.8
44,458.63880597014924,395.8
45,457.4721393034826,395.8
46,459.4487562189055,395.8
47,457.8990049751244,395.8
48,457.1587064676617,395.8
49,456.8626865671642,395.8
50,457.0582089552239,395.8
51,456.7164179104478,395.8
52,456.0547263681592,395.8
53,457.35223880597016,395.8
54,454.64726368159205,395.8
55,452.78457711442786,395.8
56,452.2691542288557,395.8
57,454.37960199004976,395.8
58,452.6910447761194,395.8
59,451.2656716417911,395.8
60,452.02537313432833,395.8
61,453.0169154228856,395.8
62,452.8661691542288,395.8
63,452.08358208955224,395.8
64,451.74228855721395,395.8
65,451.4761194029851,391.4
66,452.08507462686566,391.4
67,447.5601990049751,391.4
68,449.89104477611943,391.4
69,449.4731343283582,391.4
70,449.2492537313433,391.4
71,450.34278606965177,391.4
72,448.8776119402985,391.4
73,449.64776119402984,391.4
74,449.84676616915425,391.4
75,448.7990049751244,391.4
76,448.3442786069652,386.9
77,449.15671641791045,386.9
78,447.8502487562189,386.9
79,449.11094527363184,386.9
80,449.644776119403,386.9
81,446.76268656716417,386.3
82,447.6865671641791,386.3
83,447.2049751243781,386.3
84,446.0422885572139,386.3
85,445.90248756218904,386.3
