gen >0, new best = 467.800
gen >0, new best = 449.100
gen >0, new best = 334.700
gen: 0 best: 334.7 mean: 471.0820895522388
gen: 1 best: 334.7 mean: 461.43681592039803
gen: 2 best: 334.7 mean: 454.8497512437811
gen: 3 best: 334.7 mean: 450.00845771144276
gen: 4 best: 334.7 mean: 445.4985074626866
gen >5, new best = 318.600
gen: 5 best: 318.6 mean: 439.5532338308458
gen >6, new best = 309.200
gen: 6 best: 309.2 mean: 435.2870646766169
gen: 7 best: 309.2 mean: 429.9268656716418
gen: 8 best: 309.2 mean: 425.97462686567167
gen: 9 best: 309.2 mean: 419.00646766169154
gen: 10 best: 309.2 mean: 420.4860696517413
gen >11, new best = 302.700
gen: 11 best: 302.7 mean: 415.4049751243781
gen: 12 best: 302.7 mean: 412.0223880597015
gen: 13 best: 302.7 mean: 410.32338308457713
gen: 14 best: 302.7 mean: 405.0716417910448
gen: 15 best: 302.7 mean: 406.20796019900496
gen: 16 best: 302.7 mean: 402.41094527363185
gen: 17 best: 302.7 mean: 401.1641791044776
gen >18, new best = 297.100
gen: 18 best: 297.1 mean: 394.3298507462687
gen: 19 best: 297.1 mean: 392.41641791044776
gen: 20 best: 297.1 mean: 389.7398009950249
gen: 21 best: 297.1 mean: 385.40547263681594
gen: 22 best: 297.1 mean: 383.9835820895522
gen: 23 best: 297.1 mean: 386.4363184079602
gen >24, new best = 293.300
gen: 24 best: 293.3 mean: 385.0313432835821
gen: 25 best: 293.3 mean: 383.00696517412933
gen >26, new best = 284.700
gen: 26 best: 284.7 mean: 378.19751243781093
gen: 27 best: 284.7 mean: 378.2641791044776
gen: 28 best: 284.7 mean: 373.37810945273634
gen: 29 best: 284.7 mean: 372.9283582089552
gen: 30 best: 284.7 mean: 372.75223880597014
gen: 31 best: 284.7 mean: 372.3512437810945
gen: 32 best: 284.7 mean: 373.644776119403
gen: 33 best: 284.7 mean: 370.77363184079604
gen: 34 best: 284.7 mean: 372.61094527363184
gen: 35 best: 284.7 mean: 373.536815920398
gen: 36 best: 284.7 mean: 365.09303482587063
gen: 37 best: 284.7 mean: 369.7218905472637
gen: 38 best: 284.7 mean: 371.5437810945274
gen >39, new best = 284.500
gen: 39 best: 284.5 mean: 370.10646766169157
gen: 40 best: 284.5 mean: 368.047263681592
gen: 41 best: 284.5 mean: 368.036815920398
gen: 42 best: 284.5 mean: 367.2905472636816
gen: 43 best: 284.5 mean: 366.38955223880595
gen: 44 best: 284.5 mean: 368.2358208955224
gen: 45 best: 284.5 mean: 364.94825870646764
gen: 46 best: 284.5 mean: 367.0935323383085
gen: 47 best: 284.5 mean: 362.0179104477612
gen: 48 best: 284.5 mean: 365.30099502487565
gen: 49 best: 284.5 mean: 361.0318407960199
gen: 50 best: 284.5 mean: 360.9557213930348
gen: 51 best: 284.5 mean: 363.37960199004976
gen: 52 best: 284.5 mean: 360.9318407960199
gen: 53 best: 284.5 mean: 358.9547263681592
gen: 54 best: 284.5 mean: 360.4462686567164
gen: 55 best: 284.5 mean: 360.55174129353236
gen: 56 best: 284.5 mean: 358.4194029850746
gen: 57 best: 284.5 mean: 359.0691542288557
gen: 58 best: 284.5 mean: 357.4681592039801
gen: 59 best: 284.5 mean: 355.5781094527363
gen: 60 best: 284.5 mean: 353.181592039801
gen: 61 best: 284.5 mean: 356.59452736318406
gen: 62 best: 284.5 mean: 354.6373134328358
gen: 63 best: 284.5 mean: 352.45124378109455
gen: 64 best: 284.5 mean: 354.3686567164179
gen: 65 best: 284.5 mean: 353.673631840796
gen: 66 best: 284.5 mean: 352.25174129353235
gen: 67 best: 284.5 mean: 349.6825870646766
gen: 68 best: 284.5 mean: 353.00298507462685
gen: 69 best: 284.5 mean: 352.7875621890547
gen: 70 best: 284.5 mean: 351.836815920398
gen: 71 best: 284.5 mean: 351.94825870646764
gen: 72 best: 284.5 mean: 353.0318407960199
gen: 73 best: 284.5 mean: 350.20597014925374
gen: 74 best: 284.5 mean: 353.5875621890547
gen: 75 best: 284.5 mean: 350.72935323383086
gen: 76 best: 284.5 mean: 354.0512437810945
gen: 77 best: 284.5 mean: 349.5681592039801
gen: 78 best: 284.5 mean: 347.19502487562187
gen: 79 best: 284.5 mean: 348.42437810945273
gen: 80 best: 284.5 mean: 348.68756218905474
gen: 81 best: 284.5 mean: 347.2840796019901
gen: 82 best: 284.5 mean: 348.5164179104478
gen: 83 best: 284.5 mean: 349.9139303482587
gen: 84 best: 284.5 mean: 345.79203980099504
gen: 85 best: 284.5 mean: 351.33084577114425
gen: 86 best: 284.5 mean: 345.0462686567164
gen: 87 best: 284.5 mean: 347.8358208955224
gen: 88 best: 284.5 mean: 344.97114427860697
gen: 89 best: 284.5 mean: 347.59203980099505
gen: 90 best: 284.5 mean: 347.1084577114428
gen: 91 best: 284.5 mean: 344.25771144278605
gen: 92 best: 284.5 mean: 343.8646766169154
gen: 93 best: 284.5 mean: 344.9144278606965
gen: 94 best: 284.5 mean: 346.9537313432836
gen: 95 best: 284.5 mean: 345.6
gen: 96 best: 284.5 mean: 347.70597014925374
gen: 97 best: 284.5 mean: 346.64378109452736
gen: 98 best: 284.5 mean: 342.0149253731343
gen: 99 best: 284.5 mean: 344.6587064676617
