Generation,mean,best
0,474.1820895522388,372.4
1,465.663184079602,372.4
2,463.1855721393035,352.9
3,457.2129353233831,352.9
4,448.95174129353234,329.9
5,449.0905472636816,294.8
6,443.6721393034826,294.8
7,439.4577114427861,294.8
8,439.51044776119403,294.8
9,434.30845771144277,294.8
10,433.7746268656716,294.8
11,430.37611940298507,294.8
12,428.6960199004975,294.8
13,423.02039800995027,294.8
14,422.09601990049754,294.8
15,414.8731343283582,294.8
16,415.19154228855723,294.8
17,413.602487562189,294.8
18,411.1298507462687,294.8
19,409.88009950248755,294.8
20,405.19701492537314,294.8
21,410.3865671641791,294.8
22,400.79800995024874,294.8
23,403.93134328358207,294.8
24,396.68059701492535,294.8
25,393.1850746268657,294.8
26,393.5751243781095,294.8
27,393.05223880597015,294.8
28,391.2860696517413,294.8
29,395.59253731343284,294.8
30,390.2034825870647,294.8
31,387.22935323383086,294.8
32,388.02985074626866,294.8
33,384.20995024875623,294.8
34,386.4616915422886,294.8
35,381.50298507462685,294.8
36,380.80248756218907,294.8
37,382.09203980099505,294.8
38,378.3646766169154,294.8
39,379.23930348258705,294.8
40,375.86517412935325,294.8
41,374.4029850746269,294.8
42,373.8353233830846,294.8
43,371.9174129353234,294.8
44,370.7860696517413,294.8
45,367.373631840796,294.8
46,368.573631840796,294.8
47,367.68955223880596,294.8
48,368.31542288557216,294.8
49,364.8502487562189,294.8
50,364.1910447761194,294.8
51,363.03333333333336,294.8
52,362.7597014925373,294.8
53,361.53930348258706,294.8
54,361.6099502487562,294.8
55,359.09303482587063,294.8
56,360.210447761194,292.8
57,357.52835820895524,292.8
58,358.49751243781094,292.8
59,358.6626865671642,292.8
60,358.1870646766169,292.8
61,355.73830845771147,292.8
62,356.1855721393035,289.9
63,355.51741293532336,282.1
64,354.61442786069654,282.1
65,357.5,282.1
66,355.72636815920396,282.1
67,357.18059701492535,282.1
68,354.68407960199005,282.1
69,356.04477611940297,282.1
70,353.13482587064675,282.1
71,352.192039800995,282.1
72,352.52487562189054,282.1
73,352.30845771144277,282.1
74,353.7776119402985,282.1
75,351.1537313432836,282.1
76,350.27960199004974,282.1
77,350.6860696517413,282.1
78,350.89850746268655,282.1
79,350.88855721393037,282.1
80,352.75223880597014,282.1
81,349.11442786069654,282.1
82,351.728855721393,282.1
83,351.7253731343284,282.1
84,350.863184079602,282.1
85,350.92437810945273,282.1
86,351.6243781094527,282.1
87,348.9283582089552,282.1
88,350.6965174129353,282.1
89,349.05024875621893,282.1
90,350.2820895522388,282.1
91,348.20199004975126,282.1
92,347.7328358208955,282.1
93,352.18955223880596,282.1
94,345.9646766169154,282.1
95,347.87512437810943,282.1
96,349.3676616915423,282.1
97,349.0318407960199,282.1
98,345.8805970149254,282.1
99,345.25223880597014,282.1
random,"([[24], [312], [10, 50, 81, 93, 241, 279, 342, 402, 430, 522, 739], [5, 14, 16, 26, 41, 66, 68, 80, 83, 90, 97, 103, 108, 121, 130, 141, 149, 160, 170, 177, 185, 190, 195, 205, 206, 236, 243, 257, 274, 276, 278, 285, 292, 298, 300, 302, 310, 331, 366, 379, 382, 391, 404, 423, 428, 433, 435, 436, 437, 443, 493, 499, 532, 539, 548, 583, 599, 606, 622, 642, 667, 668, 687, 689, 694, 696, 704, 705, 711, 714, 731, 737, 745, 748, 751, 754, 762], [17, 35, 55, 59, 62, 63, 100, 106, 115, 118, 137, 144, 148, 168, 181, 186, 203, 208, 252, 284, 287, 333, 336, 343, 370, 378, 381, 385, 387, 388, 389, 395, 398, 400, 401, 441, 464, 468, 472, 478, 485, 508, 567, 570, 590, 596, 601, 602, 607, 610, 611, 629, 635, 657, 661, 671, 675, 685, 688, 701, 709, 713, 717, 759, 764], [8, 30, 47, 75, 76, 82, 94, 156, 182, 183, 216, 238, 239, 249, 253, 264, 301, 319, 320, 327, 328, 330, 348, 352, 355, 365, 377, 392, 393, 407, 442, 466, 524, 541, 544, 547, 559, 580, 582, 589, 620, 625, 628, 633, 659, 673, 700, 716, 726, 743, 746, 758, 761], [27, 36, 39, 40, 60, 86, 95, 107, 117, 171, 237, 261, 341, 356, 445, 452, 460, 474, 513, 543, 563, 594, 626, 637, 654, 681, 697, 699, 708, 747], [2, 28, 102, 147, 225, 234, 247, 262, 283, 286, 335, 351, 418, 488, 496, 551, 560, 651, 655, 656, 669, 670, 684, 733, 749, 756, 765], [125, 150, 207, 210, 220, 282, 373, 490, 536, 703, 744], [89, 146, 213, 214, 480, 525, 595], [116, 273, 305, 461, 471, 498, 504, 646, 723, 741], [7, 34, 70, 110, 173, 176, 299, 334, 353, 354, 406, 426, 450, 556, 621, 645, 760, 763], [18, 25, 29, 43, 67, 124, 140, 159, 161, 163, 288, 307, 358, 360, 363, 424, 469, 494, 527, 533, 550, 710], [9, 22, 31, 37, 79, 119, 123, 145, 232, 233, 244, 251, 260, 304, 316, 362, 397, 405, 409, 479, 506, 576, 585, 604, 614, 639, 707, 719], [13, 87, 120, 126, 215, 222, 254, 314, 359, 364, 383, 448, 463, 515, 521, 523, 530, 537, 597, 640, 664, 740, 742], [53, 127, 143, 229, 267, 272, 340, 432, 451, 497, 507, 517, 575, 662], [85, 135, 188, 269, 326, 440, 528], [505, 511], [296, 309, 557, 692], [15, 294, 347, 376, 475, 477, 487, 650, 682], [38, 136, 165, 172, 399, 565, 584, 663, 691], [129, 345, 367, 375, 540, 636, 680], [467], [289], []], 438, 3, 9)"
